product_name,rating,title,location_and_date,options,verified_purchase,text,helpful_count
"Acer 21.5 Inch Full HD (1920 x 1080) IPS Ultra-Thin Zero Frame Computer Monitor (HDMI & VGA Port), SB220Q bi",5.0,Great Budget Monitor!,"Reviewed in the United States 🇺🇸 on September 9, 2020",,True,"This review is for the SB220Q series (1920x1080) 75Hz monitor variant.  At a $90 price point as of July 2020, all of the praise this monitor has gotten and continues to get is pretty well deserved.  Right out of the box the factory calibration is pretty awful as with most TVs and monitors (I’ll never understand why that is), but Acer’s built-in menu gives you a wide range of control to tweak the image quality to your liking.  Here are some of the most noticeable Pros & Cons after using this monitor daily for the past three weeks:PROS:- The colors can be very vibrant and the sharpness makes everything nice and crisp both up close and from a distance without going overboard.  Although the spec sheet does not specify the exact Adobe or sRGB color gamut range, it does have a stated 72% NTSC coverage (keep in mind that the NTSC color gamut has the highest level of color reproduction), which would imply that it should have close to 100% sRGB coverage.  This is pretty standard for most sub $200 monitors (note: the unit that TechSpot tested came in at around 93% of sRGB coverage mostly losing detail in the green range so your unit’s reproduction may vary).  The 6-bits + FRC (equal to 8-bits) color depth is also an industry standard for entry level monitors and is completely fine for casual use.- This montior’s “100,000,000:1” Dynamic Contrast Ratio (DCR) (non-standardized measure of contrast for videos) definitely seems to outperform my other slightly more expensive budget IPS monitors (the HP VH240a and ViewSonic VS2412-H)  that only have 20,000,000:1 and 50,000,000:1 contrast ratios respectively.  However, note that it still has an industry standard 1000:1 Static Contrast Ratio (measure for non-moving images) which isn’t great but is perfectly acceptable for casual viewing since only the highest tiered ($400+) IPS panels exceed that point with 1,500:1 being the maximum native contrast typically achievable with an IPS.~ A quick side note about that “100,000,000:1” DCR number:  there is no industry standard methodology for this particular measurement so the number itself is mostly useless marketing fluff.  But as I noted, compared to the two other monitors with the same industry standard SCR, this monitor did seem to outperform them both in that area.- Its 102 PPI pixel density actually makes a subtle difference in image quality when viewing up close compared to my 24 inch 1080p monitors that have a 92 PPI.  Text seems to be a bit smoother in comparison.  This is purely an advantage of having the smaller 21.5 inch screen.- The Color Adjustment Menu allows you to adjust both the RGB and CMY gains, bias, hues, and saturation levels to get a better color balance.- The Picture Menu lets you adjust the screen’s brightness, contrast, gamma, and blackness (“black boost”) levels while also providing a ‘blue light’, ‘adaptive constrast’ (ACM), and a ‘Super Sharpness’ on/off switch.- The Game Menu has FreeSync (for AMD GPUs) and Overdrive optionsCONS:- The bezels are a bit thicker than I woud’ve liked (they’re about 1 cm on the top, left, and right sides) making the frameless design nothing more than a gimmick.- The top-down viewing angle is noticeably darker compared to looking at the screen head on.- Despite having a good DCR of 100M:1, the blacks are still a bit too bright for watching anything with heavy dark scenes since the display itself does not have any HDR capabilities with high contrast control zones aka local dimming (to be fair, this is completely expected at this $90 price point and is only being mentioned as reference for those that may be thinking of using this monitor to watch TV/movies).- The Picture Menu’s ‘Super Sharpness’ option is just an on/off switch; it does not give you a more granular adjustment control over the amount of sharpness to apply.- Even with all of the image quality adjustment options available in the settings, the whites remain on the slightly warmer side of the color temperature chart.  It’s not that noticeable when viewing on this monitor alone, but the difference can be seen if you have another slightly cooler display adjacent to it.  This is most likely just an issue with my particular unit since other reviews have noted their unit had a more neutral or “near perfect” white temp.- It only has a paltry 15° degree back tilt compared to most other budget monitors being able to tilt closer to 30° degrees (this is super nitpicky as compromises are to be expected at a sub $100 price point).- The Power button is completely indistinguishable from the rest of the menu buttons (both in shape and spacing).Overall, if you’re looking for a nice quality budget monitor to look at spreadsheets, word documents, and do some internet browsing or even some light casual gaming, then this is a great choice.  If you are a competitive gamer, photographer, professional editor, or a content creator then you’ll obviously need to invest in a higher spec monitor.",102 people found this helpful
"Acer 21.5 Inch Full HD (1920 x 1080) IPS Ultra-Thin Zero Frame Computer Monitor (HDMI & VGA Port), SB220Q bi",5.0,Absolutely Amazing Value - Some other features not even listed!,"Reviewed in the United States 🇺🇸 on November 12, 2018",,True,"This monitor is definitely a good value. Does it have superb color and contrast? No. Does it boast the best refresh rate on the market? No. But if you're tight on money, this thing looks and preforms great for the money. It has a Matte screen which does a great job at eliminating glare. The chassis it's enclosed within is absolutely stunning. It features a VGA and and HDMI port. The screen automatically detects signals and turns on when a source is turned on. When the selected source turns off it quickly scans and switches to any other sources. If no connections are available it goes into standby automatically. The power chord is a good 6 or more feet and easy to wrap with half of it being very thin wire. The ON LED is not distracting or too bright. When it's off it looks like a borderless monitor. And unlike what other people say it does have tilt, just not forward or left to right. It stands up straight or leans back. Unfortunately it doesn't have VESA mount holes, but under 100 you can't be that serious about your monitor setup. Small text has some problems fully rendering when using VGA so I recommend using HDMI. If you use the Windows 10 settings to configure how text is displayed though it fixes this, but not all will know how to do that. It doesn't have speaker, and I am thankful that most monitors don't. This monitor has A LOT of settings for gaming, night use, color adjustments, and general settings and all can be saved into 3 different gaming profiles. You can even change what settings appear in the quick menu. When u press any of the menu buttons, the menu pops up and clearly illustrates all the buttons. This monitors menus are super easy to understand and navigate and that's a rarity in its own. Also worth noting; it can display crosshairs and display the monitors current refresh rate. It also packs FreeSync for AMD graphics card users. If you only have DVI, you can get DVI to HDMI chords as long as your computer's video out supports it. The base and monitor couple together with one screw that features a hand flap so you don't need a screw diver if you don't want to use one. It is decently sturdy and the screen doesn't distort even when pressed on with strong pressure. The base is quite large, but wont be a problem for most. I haven't noticed any screen delay compared to my 300 dollar 1ms response time monitor (and I'm pretty picky). It's contrast is a little flat in some scenarios but appears much more dynamic in games, especially with some tweaking. With that said, I like that it looks flat when working on documents because it makes it much easier to focus.All in all, this monitor is filled with a good balance of features and looks like a very solid 1080p 75Hz IPS screen for any monitor under $160, let alone the $80 I paid. If you don't absolutely need a better refresh rate and aren't planning on spending more than 200 dollars then I would say just buy this monitor. It's durable, feature packed, and looks fantastic in all use-case scenarios. I'd give it 1000 stars if I could.","1,547 people found this helpful"
"Acer 21.5 Inch Full HD (1920 x 1080) IPS Ultra-Thin Zero Frame Computer Monitor (HDMI & VGA Port), SB220Q bi",5.0,No complaints so far,"Reviewed in the United States 🇺🇸 on April 1, 2023",,True,Shopping was delayed by one day. Package arrived in great condition and with plenty of extra cords. The base was slightly hard to get on but use a little muscle and ur good. I got this as a second smaller screen for my gaming set up and it’s very helpful for filming and gaming and all the other multitasking things at the same time lol the base seems sturdy too and has a slightly larger footprint which is great since I’m clumsy and shake the table often. As a simple and affordable monitor I recommend it. Makes my switch look great.,3 people found this helpful
"Acer 21.5 Inch Full HD (1920 x 1080) IPS Ultra-Thin Zero Frame Computer Monitor (HDMI & VGA Port), SB220Q bi",4.0,"Affordable, decent quality, occasional pixilation, very green (RGB)","Reviewed in the United States 🇺🇸 on March 28, 2023",,True,"Bought this after my Asus monitor started to get bad. At first, I had a problem where the image was very yellow, which I noticed when the white Acer logo appeared green. I was not able to fix it on my computer, I had to mess with the monitor's RGB Gains, which was aggravating my hand since the controls were on the underside of the monitor. After a couple of days of trouble shooting, I got the whites to an acceptable tone. Occasionally, in areas covered by a flat bright color, such as an image of the sky, I could see the pixels, but it can be overlooked, especially if you are playing a game or watching an action movie.",
"Acer 21.5 Inch Full HD (1920 x 1080) IPS Ultra-Thin Zero Frame Computer Monitor (HDMI & VGA Port), SB220Q bi",4.0,Don't forget to buy an HDMI,"Reviewed in the United States 🇺🇸 on February 8, 2023",,True,"This is my second of these monitors that I have purchased, so even though I have not used this particular one yet, I will review my previous one.  I am bookkeeper, not a gamer.  This screen has served me so well as a second screen for my iMac, that I am purchasing another one so I can have 3 screens.  Sidenote, I have even packed this screen up and taken it on the road, the screen got scratched (of course) but otherwise, I had no issues dragging it around with me in a laundry basket in my rough riding pickup.Let's get to where this product lost a star.... it doesn't come with an hdmi cable.  It has the old pin style connector in the package.  If it was the only screen I was connecting, this would be fine, but if you're buying this as a second or third screen, order an hdmi cable (or whatever you prefer).  I feel like hdmi mostly replaced the old pin style a long time ago, and it would not have cost acer much to put both cables in the box, hence... 1 star lost.  Overall, a plenty good screen.",12 people found this helpful
"Acer 21.5 Inch Full HD (1920 x 1080) IPS Ultra-Thin Zero Frame Computer Monitor (HDMI & VGA Port), SB220Q bi",5.0,Great!,"Reviewed in the United States 🇺🇸 on April 10, 2023",,True,Great for a second monitor. I read through a lot of reviews before purchasing this monitor. & This was a great value for the price. I'm very glad I decided to get this one. It was really easy to setup how I wanted it. & The picture/colors are crisp.,
"Acer 21.5 Inch Full HD (1920 x 1080) IPS Ultra-Thin Zero Frame Computer Monitor (HDMI & VGA Port), SB220Q bi",5.0,Excellent for gaming or for work,"Reviewed in the United States 🇺🇸 on April 2, 2023",,True,"The clarity of the picture is beautiful on this monitor! My husband loves it. I ordered it for him when his other one went out on him and for the value, we could not have asked for a better price. I highly recommend this!",2 people found this helpful
"Acer 21.5 Inch Full HD (1920 x 1080) IPS Ultra-Thin Zero Frame Computer Monitor (HDMI & VGA Port), SB220Q bi",4.0,It’s good,"Reviewed in the United States 🇺🇸 on March 24, 2023",,True,"I wanted to upgrade from my old monitor and picked this up on sale. Plug and play with a HDMI cable. My only problem is that sometimes the screen will cut to black when looking through photos, then immediately come back in. Not sure if it’s a driver related issue or something to do with my setup, but 90% of the time it’s a great monitor for gaming and videos. The price was right and the quality is good.",One person found this helpful
"Acer 21.5 Inch Full HD (1920 x 1080) IPS Ultra-Thin Zero Frame Computer Monitor (HDMI & VGA Port), SB220Q bi",5.0,Great budget monitor,"Reviewed in the United States 🇺🇸 on April 8, 2023",,True,"Not much to add which hasn't been written yet. This monitor does everything it says it does.So far so good, but this review may change in the future.",
"Acer 21.5 Inch Full HD (1920 x 1080) IPS Ultra-Thin Zero Frame Computer Monitor (HDMI & VGA Port), SB220Q bi",4.0,"Welcome to my ""space"" station","Reviewed in the United States 🇺🇸 on April 12, 2023",,True,"I have a desk at the home office, this screen was perfect for the space and quality, so far, is awesome.  Not sure it's gamer quality but I'm not looking to play games.",
