product_name,rating,title,location_and_date,options,verified_purchase,text,helpful_count
"Apple 2021 10.2-inch iPad (Wi-Fi, 64GB) - Space Gray (9th Generation)",5.0,"Apple does it again, the best of Apple in a great price!","Reviewed in the United States 🇺🇸 on March 26, 2023",Style: WiFi | Size: 64GB | Color: Silver,True,"I have had my iPad 9th Generation 64GB Wi-Fi since the end of November, 2022. It has been about 5 months. I upgraded from an iPad Air 2 32GB Wi-Fi (2014 model) that I had for almost 6 years! I have to say that there is a reason why Apple iPads are sold at such a premium price. That's because they provide valuable practical use for far longer than the vast majority of what is available in the tablet market.With that said the 2021 iPad 9th Generation is a base iPad with a limited amount of fancy features and a dated iPad design. Quite frankly, I actually use my iPad on the go and all of the iPads I have had go directly into an Otterbox Defender case. So I hardly notice the little aesthetics in design when my iPads area always in an Otterbox Defender case.I won't make this review long and will highlight the particular reason why I feel the need to write this review at all. I would say there's three top reasons why I believe the iPad 9th generation is excellent: 1. Good CPU performance/64GB base memory capacity, 2. Value pricing, and 3. Apple Pencil/Freeform.1. CPU performance is good with the A13 CPU from the iPhone 11. I am confident that I will be able to use this iPad for at least 4 more years, if not 5. I bought my iPad Air 2 (2014 model) in 2016 and it was supported with OS updates up until iPadOS 15, which is a total of 8 years. But the iPad Air 2 was among the longest supported iPads in Apple's tablet history. So it is not likely to be repeated. But I think that the iPad 9th generation should be supported for at least 6 years, 2021 to 2027. Plus, the 64GB base capacity is excellent for my basic use of the iPad.2. The pricing for the iPad 9th Generation 64GB retails at $329.99, but it is often for sale at $269.99. That's how much I purchased it for during Cyber Monday 2022. It has been on sale for as low as $249.99 at some other retailers as well. So overall, the pricing is very affordable for a device this capable with support for many years to come.3. I know that the Apple Pencil has been out for years, but I have only now tried it. It was not supported with my iPad Air 2 (2014 model) and I never gave it much thought as being useful to me. I always thought that the Apple Pencil was geared towards artists, which to some extent it is. I tried the Apple Pencil on my iPad 9th Generation about a month after getting mine. It was a revolutionary experience for me. I have been looking for a viable substitute for a whiteboard for the longest time. But there is not any real replacement for what you can do on a whiteboard. The Apple Pencil with FreeForm is the closest that I've come to the experience I get on a whiteboard. Although, I do still use a 4'x8' whiteboard for some brainstorming sessions, the Apple Pencil has afforded me to do some basic brainstorming in FreeForm. This is a massive benefit and I can only see Apple getting better with its FreeForm app. Not to mention app developers releasing new apps to take advantage of the Apple Pencil for brainstorming on a virtual whiteboard.Overall, I highly recommend the iPad 9th Generation.",102 people found this helpful
"Apple 2021 10.2-inch iPad (Wi-Fi, 64GB) - Space Gray (9th Generation)",5.0,American made product,"Reviewed in the United States 🇺🇸 on April 9, 2023",Style: WiFi | Size: 64GB | Color: Space Gray,True,I received the very latest android tablet as gift for my birthday. Right off the top it wouldn’t read the SD memory.. The software was setup to load everything personal into areas that are best kept private. Admittedly it usually takes time to learn and get use to new software but there was the problem with the SD memory. I returned it for an Apple 9th generation 10.2 tablet.. I couldn’t believe how easy it was to get started.. also I didn’t have to find and download an app that would transfer data from my iPhone..  Just easier that’s all. I’m very pleased with this device and would tell anyone to go for it.,22 people found this helpful
"Apple 2021 10.2-inch iPad (Wi-Fi, 64GB) - Space Gray (9th Generation)",5.0,So far so good,"Reviewed in the United States 🇺🇸 on April 17, 2023",Style: WiFi | Size: 64GB | Color: Space Gray,True,I’ve had this for a bit but just open it today. Really nice iPad. We did have one issue where we couldn’t do iMessage or FaceTime. My wife got with Apple support and got it resolved. May had been something to do with the parental lock. Not sure. It was for my sons 8th birthday and he was absolutely in love.,3 people found this helpful
"Apple 2021 10.2-inch iPad (Wi-Fi, 64GB) - Space Gray (9th Generation)",5.0,Bad apple,"Reviewed in the United States 🇺🇸 on April 11, 2023",Style: WiFi | Size: 64GB | Color: Space Gray,True,Well ..I received a Ipad brand new in a ipad box wrap and sealed. Open it tried setting it up and it turned off about 10 different times within an hour. Called apple care and amazon customer they both walked me through different ways to get it to stop shutting off ..and nothing! Long story short I received a bad Ipad. Also the battery was bad wouldn't charge. RETURNED!!!!,19 people found this helpful
"Apple 2021 10.2-inch iPad (Wi-Fi, 64GB) - Space Gray (9th Generation)",5.0,Great Tablet,"Reviewed in the United States 🇺🇸 on April 15, 2023",Style: WiFi | Size: 64GB | Color: Silver,True,It came on time. I don’t have to worry about a factory reset. My son-in-law helped me set it up.I like working on the tablet better then my desk top or lap top.,6 people found this helpful
"Apple 2021 10.2-inch iPad (Wi-Fi, 64GB) - Space Gray (9th Generation)",5.0,Great iPad!,"Reviewed in the United States 🇺🇸 on April 14, 2023",Style: WiFi | Size: 64GB | Color: Silver,True,"Great iPad, never had a problem with it but I wish I would have order it with the wifi and internet feature but it’s a good product and it was amazing for gaming and school",4 people found this helpful
"Apple 2021 10.2-inch iPad (Wi-Fi, 64GB) - Space Gray (9th Generation)",4.0,Not much of an upgrade for me,"Reviewed in the United States 🇺🇸 on April 8, 2023",Style: WiFi | Size: 64GB | Color: Space Gray,True,"I had an iPad Air 2 (2014 model) and thought  it would be great to upgrade to a newer model. The A2606 has a longer battery life, but I didn't find it to be faster for what I use it for--basic email, apps and internet. Then sadly, the new iPad fell two feet from my lap to the floor and the screen shattered. Replacing the screen would be only $20 less than buying a whole new one so I'm not doing it. Fortunately, I kept my old iPad.",7 people found this helpful
"Apple 2021 10.2-inch iPad (Wi-Fi, 64GB) - Space Gray (9th Generation)",5.0,I love my new iPad,"Reviewed in the United States 🇺🇸 on March 21, 2023",Style: WiFi | Size: 256GB | Color: Silver,True,"I was a little upset it didn’t come the day it was supposed to come but it’s ok, it came the next morning and I got right to it. I’ve been contemplating on getting an iPad for months now and I’m glad I finally got one! I am a content creator so I use this to edit my videos and keep all my social media platforms on to kinda keep me productive but only had it a couple of days and I love it. It came in perfect condition so no complaints here besides it coming a little late.",40 people found this helpful
"Apple 2021 10.2-inch iPad (Wi-Fi, 64GB) - Space Gray (9th Generation)",5.0,Compact and powerful.,"Reviewed in the United States 🇺🇸 on April 4, 2023",Style: WiFi | Size: 256GB | Color: Silver,True,This is a replacement for an older Ipad. There is no comparison. This new one is so much better. A great display. Camera takes great pictures. The newer operating system is more robust and the battery drain is minimal as compared to the older one. The price was very good.,16 people found this helpful
"Apple 2021 10.2-inch iPad (Wi-Fi, 64GB) - Space Gray (9th Generation)",5.0,Great value for new,"Reviewed in the United States 🇺🇸 on March 17, 2023",Style: WiFi | Size: 64GB | Color: Silver,True,"These ipads come with the A bionic chip so they arent m1 or m2.  Having said that, this ipad is excellent tech that isnt that old at all and works great.  The screen is a little smaller than my moms but it is perfect for my purposes of running a guitar pedal display.  This technology is of a similar level as the iphone 12.  This is a fantastic deal for the money and its no wonder they have sold so many.  You might want to consider buying a good sturdy case to protect it.",32 people found this helpful
"Apple 2021 10.2-inch iPad (Wi-Fi, 64GB) - Space Gray (9th Generation)",5.0,Great price!,"Reviewed in the United States 🇺🇸 on April 3, 2023",Style: WiFi | Size: 256GB | Color: Space Gray,True,"Needed to upgrade when my 32GB ran out of storage.  Couldn’t believe I was able to move up to 256GB for $100 less than I paid 3 years ago!  This is a super deal.  Apple makes transferring all your data easey-peasy, in fact, it was a magical experience!",19 people found this helpful
"Apple 2021 10.2-inch iPad (Wi-Fi, 64GB) - Space Gray (9th Generation)",5.0,Definitely Worth,"Reviewed in the United States 🇺🇸 on April 3, 2023",Style: WiFi | Size: 256GB | Color: Space Gray,True,I bought this for mostly school for art but I’ve relearned my hobby for art and the iPad is great for entertainment. It lasts for a long time especially with no use for a few days.,2 people found this helpful
"Apple 2021 10.2-inch iPad (Wi-Fi, 64GB) - Space Gray (9th Generation)",5.0,WOW!!,"Reviewed in the United States 🇺🇸 on April 4, 2023",Style: WiFi | Size: 64GB | Color: Space Gray,True,This is the first Apple IPad I have owned and its absolutely stunning! The screen is the perfect size to read Ebooks on and even the kindle app works perfectly fine on it. Battery last pretty long as well.,9 people found this helpful
"Apple 2021 10.2-inch iPad (Wi-Fi, 64GB) - Space Gray (9th Generation)",5.0,Just what I wanted!,"Reviewed in the United States 🇺🇸 on April 2, 2023",Style: WiFi | Size: 64GB | Color: Silver,True,"Love this Ipad! Arrived in perfect condition. Shipping was very fast. Beautiful picture, especially since I upgraded from a kindle fire tablet! Brand new, in Apple box with Apple charger. Hope to use this for several years.",3 people found this helpful
"Apple 2021 10.2-inch iPad (Wi-Fi, 64GB) - Space Gray (9th Generation)",5.0,Love this ipad,"Reviewed in the United States 🇺🇸 on April 17, 2023",Style: WiFi | Size: 64GB | Color: Silver,True,Amazing value for the money. Works very well for just about everything,
"Apple 2021 10.2-inch iPad (Wi-Fi, 64GB) - Space Gray (9th Generation)",5.0,Blown away,"Reviewed in the United States 🇺🇸 on March 23, 2023",Style: WiFi | Size: 256GB | Color: Space Gray,True,"iPads sure have come a long long way.I’m a landscape photographer and I started noticing that I was able to do basic edits from my iPhone.  So that got me thinking “I wonder what the iPad could do”.  Turns out a whole lot.  Not only am I able to perform full Lightroom edits but I have almost full access to photoshop and all its tools.  The Apple Pencil also works very very well with this.  Getting this on sale was a slam dunk too at under 400$. With a good third party keyboard, you’ve got a legit laptop replacement.",45 people found this helpful
"Apple 2021 10.2-inch iPad (Wi-Fi, 64GB) - Space Gray (9th Generation)",5.0,Amazing to watch content,"Reviewed in the United States 🇺🇸 on March 30, 2023",Style: WiFi | Size: 64GB | Color: Silver,True,"If you are looking for a reliable tablet just to consume media and maybe write emails, this might the product. It's thin and light, you can use it on the go or in your bed to watch movies or read books",8 people found this helpful
"Apple 2021 10.2-inch iPad (Wi-Fi, 64GB) - Space Gray (9th Generation)",5.0,Even better than expected,"Reviewed in the United States 🇺🇸 on April 9, 2023",Style: WiFi | Size: 64GB | Color: Space Gray,True,Great purchase for the price. Returned the fire tablet 10hd for this iPad. Does everything I needed it for and much more.,One person found this helpful
"Apple 2021 10.2-inch iPad (Wi-Fi, 64GB) - Space Gray (9th Generation)",5.0,Great price,"Reviewed in the United States 🇺🇸 on April 8, 2023",Style: WiFi | Size: 64GB | Color: Silver,True,Caught this item at a good discount. I personally don't like apple products but mom loves it so that's all that matters.,One person found this helpful
"Apple 2021 10.2-inch iPad (Wi-Fi, 64GB) - Space Gray (9th Generation)",5.0,Great Deal!!,"Reviewed in the United States 🇺🇸 on April 3, 2023",Style: WiFi | Size: 64GB | Color: Silver,True,I paid under $270.00 for my iPad. It is Wi-Fi only but it has been a treat to use. Thanks.Rio,One person found this helpful
"Apple 2021 10.2-inch iPad (Wi-Fi, 64GB) - Space Gray (9th Generation)",5.0,I am impressed,"Reviewed in the United States on April 1, 2023",Style: WiFi | Size: 64GB | Color: Silver,True,It was seal with a clear wrap and when I examined it no scratches at all on iPad period. Good product I am very happy with it .,5 people found this helpful
"Apple 2021 10.2-inch iPad (Wi-Fi, 64GB) - Space Gray (9th Generation)",5.0,Excellent for the price!,"Reviewed in the United States on April 11, 2023",Style: WiFi | Size: 64GB | Color: Silver,True,I bought this for work and it's been a great tablet so far.,
"Apple 2021 10.2-inch iPad (Wi-Fi, 64GB) - Space Gray (9th Generation)",5.0,Love my 9th generation iPad!,"Reviewed in the United States on April 13, 2023",Style: WiFi | Size: 64GB | Color: Space Gray,True,Great iPad. So easy to installQuick shipReasonable price!Love it! Ty,
"Apple 2021 10.2-inch iPad (Wi-Fi, 64GB) - Space Gray (9th Generation)",5.0,Thumbs up,"Reviewed in the United States on April 12, 2023",Style: WiFi | Size: 64GB | Color: Silver,True,I needed this for my son’s school..,
"Apple 2021 10.2-inch iPad (Wi-Fi, 64GB) - Space Gray (9th Generation)",5.0,Like BRAND NEW!,"Reviewed in the United States on April 5, 2023",Style: WiFi | Size: 64GB | Color: Space Gray,True,My iPad came with all the original packaging. WOW!! It is like NEW! Worth every penny. The charge was up to 69%. Apple products are the best without question!,2 people found this helpful
"Apple 2021 10.2-inch iPad (Wi-Fi, 64GB) - Space Gray (9th Generation)",5.0,Apple iPad…..,"Reviewed in the United States on April 11, 2023",Style: WiFi | Size: 256GB | Color: Space Gray,True,Great product. Same as buying from Apple.,One person found this helpful
"Apple 2021 10.2-inch iPad (Wi-Fi, 64GB) - Space Gray (9th Generation)",5.0,Item as stated,"Reviewed in the United States on April 13, 2023",Style: WiFi | Size: 64GB | Color: Space Gray,True,My husband so enjoys his iPad .,
"Apple 2021 10.2-inch iPad (Wi-Fi, 64GB) - Space Gray (9th Generation)",5.0,I love this Brand-New iPad! 9th gen=more affordable!,"Reviewed in the United States on April 4, 2023",Style: WiFi | Size: 256GB | Color: Space Gray,True,Price was right and exactly what I wanted. A Brand-New iPad that is working perfectly as advertised; Yeah!,
"Apple 2021 10.2-inch iPad (Wi-Fi, 64GB) - Space Gray (9th Generation)",5.0,Great iPad!,"Reviewed in the United States on April 5, 2023",Style: WiFi | Size: 64GB | Color: Space Gray,True,This new iPad is very user friendly (I bought it for my non-tech husband) and light weight. It's very responsive and has a beautiful screen quality.,4 people found this helpful
"Apple 2021 10.2-inch iPad (Wi-Fi, 64GB) - Space Gray (9th Generation)",5.0,Very great product,"Reviewed in the United States on March 19, 2023",Style: WiFi | Size: 64GB | Color: Space Gray,True,"No problems no scratches, easy set up, soft ware up to date. I got both like new with box and one in good condition, that didn’t come with box but had apple charger no knock off. Very good purchases",4 people found this helpful
"Apple 2021 10.2-inch iPad (Wi-Fi, 64GB) - Space Gray (9th Generation)",5.0,IT’s authentic,"Reviewed in the United States on April 5, 2023",Style: WiFi | Size: 256GB | Color: Silver,True,It is authentic. I love my new iPad for school. I’m glad I made this purchase.,
"Apple 2021 10.2-inch iPad (Wi-Fi, 64GB) - Space Gray (9th Generation)",5.0,Nice,"Reviewed in the United States on April 16, 2023",Style: WiFi | Size: 64GB | Color: Space Gray,True,"Love it, replaced old Air",
"Apple 2021 10.2-inch iPad (Wi-Fi, 64GB) - Space Gray (9th Generation)",5.0,Just great as was promised,"Reviewed in the United States on March 31, 2023",Style: WiFi | Size: 64GB | Color: Space Gray,True,"Perfect all around, screen, touch and battery life all get 5 stars came quick in Apple box was easy to set up.  Was a great price too.  Thank you",6 people found this helpful
"Apple 2021 10.2-inch iPad (Wi-Fi, 64GB) - Space Gray (9th Generation)",5.0,Noice! Price!,"Reviewed in the United States on April 7, 2023",Style: WiFi | Size: 64GB | Color: Space Gray,True,I thought it was refurbished at that price but it was new! ☺️,One person found this helpful
"Apple 2021 10.2-inch iPad (Wi-Fi, 64GB) - Space Gray (9th Generation)",5.0,Super fast delivery,"Reviewed in the United States on March 31, 2023",Style: WiFi | Size: 256GB | Color: Silver,True,"My old one died at 9pm last night had this new one in hands at 7.30am this morning, no work hours lost and it paired beautifully so setup was seamless.",4 people found this helpful
"Apple 2021 10.2-inch iPad (Wi-Fi, 64GB) - Space Gray (9th Generation)",5.0,I don't regret buying this iPad,"Reviewed in the United States on April 17, 2023",Style: WiFi | Size: 64GB | Color: Space Gray,True,I love it,
"Apple 2021 10.2-inch iPad (Wi-Fi, 64GB) - Space Gray (9th Generation)",5.0,good article,"Reviewed in the United States on April 17, 2023",Style: WiFi | Size: 64GB | Color: Space Gray,True,very good article,
"Apple 2021 10.2-inch iPad (Wi-Fi, 64GB) - Space Gray (9th Generation)",5.0,Awesome for the price,"Reviewed in the United States on April 13, 2023",Style: WiFi | Size: 256GB | Color: Space Gray,True,Very easy to set up…very clear,
"Apple 2021 10.2-inch iPad (Wi-Fi, 64GB) - Space Gray (9th Generation)",5.0,Great price!!!!,"Reviewed in the United States on April 16, 2023",Style: WiFi | Size: 64GB | Color: Silver,True,Very good!!,
"Apple 2021 10.2-inch iPad (Wi-Fi, 64GB) - Space Gray (9th Generation)",5.0,You can do so much with this device!,"Reviewed in the United States on April 1, 2023",Style: WiFi | Size: 64GB | Color: Space Gray,True,"I had an older I Pad, but, when I started using this I Pad, I realized what an improvement, impressive!",
"Apple 2021 10.2-inch iPad (Wi-Fi, 64GB) - Space Gray (9th Generation)",5.0,Great iPad,"Reviewed in the United States on April 6, 2023",Style: WiFi | Size: 64GB | Color: Space Gray,True,Works great! I needed an upgrade,
"Apple 2021 10.2-inch iPad (Wi-Fi, 64GB) - Space Gray (9th Generation)",5.0,iPad,"Reviewed in the United States on March 22, 2023",Style: WiFi | Size: 64GB | Color: Space Gray,True,This is a really great iPad. I got it for my daughter for her birthday. She loves it and it’s really great for her.,2 people found this helpful
"Apple 2021 10.2-inch iPad (Wi-Fi, 64GB) - Space Gray (9th Generation)",5.0,Really nice iPad,"Reviewed in the United States on March 29, 2023",Style: WiFi | Size: 64GB | Color: Silver,True,Really good iPad. Does everything it’s intended to do and the Apple Pencil works perfectly with it.,One person found this helpful
"Apple 2021 10.2-inch iPad (Wi-Fi, 64GB) - Space Gray (9th Generation)",5.0,Great product,"Reviewed in the United States on March 30, 2023",Style: WiFi | Size: 64GB | Color: Silver,True,"All I needed at an unbelievable price, as mot Apple products are quite expensive. This was within my budget, new and original product.",3 people found this helpful
"Apple 2021 10.2-inch iPad (Wi-Fi, 64GB) - Space Gray (9th Generation)",5.0,The perfect upgrade from iPad Air 2!,"Reviewed in the United States on March 9, 2023",Style: WiFi | Size: 64GB | Color: Silver,True,"My wife upgraded from her iPad Air 2. She plays a game that was slowing down and glitching in that iPad, which was originally issued in 2014 and was getting long in the tooth. The 9th Generation has no problem with her game and is super fast with all her apps. Great upgrade for the sale price of $250. She loves it and this iPad should be good for several more years. Apple really does a fine job supporting their products with software updates and it’s ecosystem is excellent. 5 stars.",33 people found this helpful
"Apple 2021 10.2-inch iPad (Wi-Fi, 64GB) - Space Gray (9th Generation)",5.0,"Too big for an eye pad, but great for everything else","Reviewed in the United States on March 15, 2023",Style: WiFi | Size: 64GB | Color: Silver,True,"This is my third iPad, and I couldn't be happier. I use this literally every day for an hour or two, and as much as I use it, I can't find anything that I'd change. My wife and I both have one, and we wouldn't trade them for anything.",8 people found this helpful
"Apple 2021 10.2-inch iPad (Wi-Fi, 64GB) - Space Gray (9th Generation)",5.0,Great product!,"Reviewed in the United States on April 3, 2023",Style: WiFi | Size: 64GB | Color: Space Gray,True,Product works just as described!,One person found this helpful
"Apple 2021 10.2-inch iPad (Wi-Fi, 64GB) - Space Gray (9th Generation)",5.0,Nice,"Reviewed in the United States on April 6, 2023",Style: WiFi | Size: 256GB | Color: Space Gray,True,Happy with my new iPad,
"Apple 2021 10.2-inch iPad (Wi-Fi, 64GB) - Space Gray (9th Generation)",5.0,Won’t keep a charge.,"Reviewed in the United States on March 23, 2023",Style: WiFi | Size: 64GB | Color: Space Gray,True,I e been an iPad owner for many years and have always been very happy with them.  This one is the exception.  The battery drains VERY fast.  I’ve been getting less than 45 minutes of battery life. Yesterday it wouldn’t even charge.,18 people found this helpful
"Apple 2021 10.2-inch iPad (Wi-Fi, 64GB) - Space Gray (9th Generation)",5.0,Love my iPad,"Reviewed in the United States on March 14, 2023",Style: WiFi | Size: 64GB | Color: Space Gray,True,"I've move from my 9 year old iPad air 2 to this 9 generation iPad and I love it.  It is responsive, the screen is great for touch and the colors are clear and amazing.  It was easy to transfer all my information and apps from my air 2 and I know I will enjoy this one for a very long time.",21 people found this helpful
"Apple 2021 10.2-inch iPad (Wi-Fi, 64GB) - Space Gray (9th Generation)",4.0,good product,"Reviewed in the United States 🇺🇸 on April 13, 2023",Style: WiFi | Size: 64GB | Color: Space Gray,True,bought it as a gift and they really loved it,
"Apple 2021 10.2-inch iPad (Wi-Fi, 64GB) - Space Gray (9th Generation)",5.0,Love it,"Reviewed in the United States 🇺🇸 on March 15, 2023",Style: WiFi | Size: 64GB | Color: Space Gray,True,"I have only had this for about five months or so, but so far, I absolutely love it!  The battery has been holding up exceptionally well. Unlike a new iPhone, this does come with a charger and not just the cable.",6 people found this helpful
"Apple 2021 10.2-inch iPad (Wi-Fi, 64GB) - Space Gray (9th Generation)",5.0,Last of the button iPad,"Reviewed in the United States 🇺🇸 on March 22, 2023",Style: WiFi | Size: 64GB | Color: Silver,True,"The price was great for this at about 200.00 less than the next generation with the retina scan. If you don’t mind using the fingerprint button for everything and paying less money for this than the next generation, then buy one.",9 people found this helpful
"Apple 2021 10.2-inch iPad (Wi-Fi, 64GB) - Space Gray (9th Generation)",5.0,Perfect!,"Reviewed in the United States 🇺🇸 on March 15, 2023",Style: WiFi | Size: 64GB | Color: Space Gray,True,Just what i wanted and needed. Works with new square stand. Comes in Apple Box and looks all right. Great Price! Quick Shipping and worth the money. I was hesitant because the price but its all good working order.,7 people found this helpful
"Apple 2021 10.2-inch iPad (Wi-Fi, 64GB) - Space Gray (9th Generation)",5.0,Fine Apple product,"Reviewed in the United States 🇺🇸 on March 22, 2023",Style: WiFi | Size: 64GB | Color: Silver,True,"No complaints, exactly as described.  Good packaging, fast shipping, charging cable and mini brick included, and everything as described in the product description.",2 people found this helpful
"Apple 2021 10.2-inch iPad (Wi-Fi, 64GB) - Space Gray (9th Generation)",5.0,My new iPad,"Reviewed in the United States 🇺🇸 on March 26, 2023",Style: WiFi + Cellular | Size: 64GB | Color: Space Gray,True,My fourth iPad…this is my nicest. Looks and works great! I hope the battery lasts…,One person found this helpful
"Apple 2021 10.2-inch iPad (Wi-Fi, 64GB) - Space Gray (9th Generation)",5.0,Excelente,"Reviewed in the United States 🇺🇸 on April 5, 2023",Style: WiFi | Size: 64GB | Color: Silver,True,I like this,
"Apple 2021 10.2-inch iPad (Wi-Fi, 64GB) - Space Gray (9th Generation)",5.0,Great price for an iPad,"Reviewed in the United States 🇺🇸 on April 2, 2023",Style: WiFi | Size: 64GB | Color: Space Gray,True,Got it as a gift and she absolutely loved it,One person found this helpful
"Apple 2021 10.2-inch iPad (Wi-Fi, 64GB) - Space Gray (9th Generation)",5.0,Mom loves it!,"Reviewed in the United States 🇺🇸 on March 26, 2023",Style: WiFi | Size: 64GB | Color: Silver,True,We bought this IPad for my Mother to play games on. She absolutely loves it!,3 people found this helpful
"Apple 2021 10.2-inch iPad (Wi-Fi, 64GB) - Space Gray (9th Generation)",5.0,Muy bonito,"Reviewed in the United States 🇺🇸 on April 7, 2023",Style: WiFi + Cellular | Size: 256GB | Color: Silver,True,,
"Apple 2021 10.2-inch iPad (Wi-Fi, 64GB) - Space Gray (9th Generation)",5.0,Great tablet,"Reviewed in the United States 🇺🇸 on December 27, 2022",Style: WiFi | Size: 64GB | Color: Space Gray,True,"I use the iPAD 10.2"" exclusively for work - for teaching or content creation and I am extremely satisfied. If I travel anywhere (not for work) I take with me a small and very mobile iPAD mini on which I do everything outside of work.I bought this 10.2"" iPAD deliberately, after much deliberation, because I wanted the lightning connector, home button and wider bezels (it just suits me that way) and since it's the last iPAD in this configuration, I didn't hesitate to buy it. When they discounted it below 9000,- there wasn't much to decide.If I teach online I use this iPAD, where I draw in pre-prepared pictures and show the analysis procedure. Students really like this format and I find it easy to work this way too.I don't take the iPAD with me anywhere I have it more for work use at home. In fact, I find it too big to take it anywhere, the iPAD mini is good for that. But on the other hand, if one needs to go somewhere with a Mac, one can make a second monitor with this iPAD and work well again.Quite often I get the question whether it would be better to pay extra and buy an iPAD Air or Pro with Apple Pencil 2nd generation. Speaking honestly for myself, I see no reason to upgrade.If you are teaching and just need to ""draw, write and explain"", this is plenty sufficient. The 1st generation Apple Pencil is fine too. It needs extra charging, but I don't see the problem.",52 people found this helpful
"Apple 2021 10.2-inch iPad (Wi-Fi, 64GB) - Space Gray (9th Generation)",5.0,Works well and easy setup,"Reviewed in the United States 🇺🇸 on March 20, 2023",Style: WiFi | Size: 64GB | Color: Space Gray,True,Hats off to Apple. This iPad doesn’t disappoint. Transferring from old to new was so very easy I was stunned.  Thank you,One person found this helpful
"Apple 2021 10.2-inch iPad (Wi-Fi, 64GB) - Space Gray (9th Generation)",5.0,Perfect,"Reviewed in the United States 🇺🇸 on March 27, 2023",Style: WiFi | Size: 256GB | Color: Space Gray,True,"Perfect , works great",
"Apple 2021 10.2-inch iPad (Wi-Fi, 64GB) - Space Gray (9th Generation)",5.0,Great product!,"Reviewed in the United States 🇺🇸 on March 31, 2023",Style: WiFi | Size: 64GB | Color: Silver,True,I like this product!,
"Apple 2021 10.2-inch iPad (Wi-Fi, 64GB) - Space Gray (9th Generation)",5.0,You can’t use this iPad with backbone,"Reviewed in the United States 🇺🇸 on March 24, 2023",Style: WiFi | Size: 256GB | Color: Space Gray,True,I can’t use my backbone with my ipad,
