product_name,rating,title,location_and_date,options,verified_purchase,text,helpful_count
Apple Pencil (2nd Generation),5.0,Should all tablets have one?,"Reviewed in the United States on March 28, 2023",,True,"The stylus seems to be a feature fewer and fewer tablets have these days. I do like the improved accuracy you get vs your finger, especially when you move from mobile optimized sites to desktop ones. And yes desktop view looks better on a big screen, so I say the answer is yes, all tablets should have a proper stylus.The Apple Pencil Mk2 does pair and charge easily via magnetic snapping. Note the iPad does not have a housing for the pencil, I recommend getting a third party case/cover that does. Even though it is magnetic doesn’t mean it can’t come loose and be lost and this accessory is not cheap. The flat, touch sensitive interface feels awkward and I don’t think Apple has fully realized its usage. The more tactile “volume dial” of a Wacom (or similar) stylus is better for implementing controls and switches when painting/drawing…but such discussion is of scope considering we are talking about an iPad accessory, and this isn’t a review of the iPad drawing experience.",22 people found this helpful
Apple Pencil (2nd Generation),5.0,READ BEFORE BUYING OFF AMAZON WAREHOUSE,"Reviewed in the United States on April 10, 2023",,True,"TL;DR. Have serious caution when buying off of Amazon Warehouse.I originally purchased this 2nd gen Apple Pencil for a discounted rate off of the Amazon warehouse. It was supposed to be a 2 day delivery, ended up being 6. Fine, no big deal, I saved money. The package shows up in original packaging AND THERE WAS NO PENCIL. None. I paid $80 for a box. I could not contact Amazon about the order or leave a review, so I requested a refund.I ended up buying the pencil for full price. And it works great! Definitely recommend it.",13 people found this helpful
Apple Pencil (2nd Generation),5.0,Works like a charm,"Reviewed in the United States on April 2, 2023",,True,Really nice pencil/stylus from Apple. Genuine Apple pencil 2. I got it for a backup to my other Apple pencil 2 for when the battery gets low after using it for hours. It works perfectly. Now I can switch out pencils and not have to wait for one to recharge before resuming drawing. NOTE: A big issue is that you can't charge one pencil on the iPad while using the other one. It's only one pencil per iPad at a time. So you have to charge the other pencil on a different iPad. This is something Apple needs to change.,8 people found this helpful
Apple Pencil (2nd Generation),5.0,Most efficient for apple,"Reviewed in the United States on March 28, 2023",,True,"I bought it for my iPad about two months ago and it is the best combination, being in the apple eco-system it is highly compatible with it, however, it doesn't work with the other devices if you were curious. The magnetic hold is strong and doesn't fall off easily, and the touch has never been an issue, I have not explicitly tried but I have never run out of battery, and being a student I use the pencil for 3 hours straight twice or even thrice a day without any charging issues. Finally, the only real issue is that you'll need to download and might even have to pay for the right apps to get the best out of it.",17 people found this helpful
Apple Pencil (2nd Generation),5.0,Works like new!,"Reviewed in the United States on April 13, 2023",,True,"Love the functionality of this thing! Works amazingly with my ipad pro. I couldn't t be happier and glad I got the renewed over a new one, works beautifully! Don't forget to buy some extra tips you will need them! I'm obsessed with this thing now 😋",4 people found this helpful
Apple Pencil (2nd Generation),5.0,Good but pricey,"Reviewed in the United States on April 15, 2023",,True,"Mine came with the tip slightly damaged which causes it to be scratchy on the screen, but they’re replaceable. I love my pencil but there’s definitely cheaper alternatives.",
Apple Pencil (2nd Generation),4.0,Great to use but there are issues,"Reviewed in the United States on March 17, 2023",,True,"The pencil when it connects to the iPad works great. But there are bugs maybe to the iPad os or to the pencil itself that makes it disconnect to the iPad and no matter what it doesn’t connect back. Happened to me and I hit forget device, reconnected, and it worked. Happened again after a month, so I hit forget this device and it was gone. Tried everything but nothing worked. Thankfully Amazon still took it back after the 30 days were up. Mind you the pencil was but 4 months in use and hadn’t been damaged in the slightest. I also heard if taken to the Apple Store they will usually take the broken one back and get you another one (probably done within the one year manufacture warranty).",35 people found this helpful
Apple Pencil (2nd Generation),5.0,"good,It's my dish","Reviewed in the United States on April 3, 2023",,True,"Apple Pencil (second generation) has added a hover feature in the iPad Pro 2022, which allows users to see preview effects in advance during hovering (the tip of the pen is 12mm away from the screen), allowing them to determine whether to paint or not.This feature is simply fantastic！",2 people found this helpful
Apple Pencil (2nd Generation),4.0,Works great but a little too tap sensitive which I fixed with a little fabric.,"Reviewed in the United States on March 29, 2023",,True,"Overall, it works great! But it keeps thinking I'm tapping it so it changes tips when i don't want it to change. So, I made a thin sleeve out of fabric, 1-2 thicknesses. I hold it together with 3 thin strips of tape. (cut the fabric to size, wrap around the pencil and hold tight, and tape.) Now I can still tap to change tips but it doesn't change on its own very much any more. I take it off to charge the pencil.With this, I'd give it 5 stars.",8 people found this helpful
Apple Pencil (2nd Generation),5.0,Apple Pen Works Best,"Reviewed in the United States on April 5, 2023",,True,"I love it! It feels different, smooth, and professional when I draw any picture. I draw thin to thick smooth line when I want it like that. Apple Pen makes me want to draw better pictures. I received it earlier than I expected. Thank you .. 🙂",2 people found this helpful
Apple Pencil (2nd Generation),5.0,Love this pen for my iPad Pro,"Reviewed in the United States on April 1, 2023",,True,I love using the Apple Pencil for graphics apps on my iPad. I couldnt do it without it. It is also very good for taking notes. The accuracy of the pen is great. I highly recommend the Apple Pencil for your iPad needs.,
