product_name,rating,title,location_and_date,options,verified_purchase,text,helpful_count
"EMEET 1080P Webcam with Microphone, C960 Web Camera, 2 Mics Streaming Webcam with Privacy Cover, 90°View Computer Camera, Plug&Play USB Webcam for Calls/Conference, Zoom/Skype/YouTube, Laptop/Desktop",5.0,Super high quality with wonderful auto focus capabilities,"Reviewed in the United States 🇺🇸 on April 13, 2023",Color: Black,True,"I am extremely impressed with the EMEET 1080P Webcam with Microphone. This webcam provides a crystal-clear picture and sound quality that is essential for conference calls, online classes, and video chats. The 90-degree view also ensures that you can easily capture everything you need during video calls.I love that this webcam comes with a privacy cover that ensures your security and peace of mind. This feature is especially important when it comes to sensitive information being discussed during calls.The setup process for this webcam is incredibly easy and straightforward. Simply plug it into your computer and it is ready to go! This makes it perfect for anyone who is not tech-savvy and needs a webcam that is easy to use.Overall, I highly recommend the EMEET 1080P Webcam with Microphone to anyone in need of a reliable and high-quality webcam. It is perfect for both personal and professional use and is a great addition to any laptop or desktop computer.",
"EMEET 1080P Webcam with Microphone, C960 Web Camera, 2 Mics Streaming Webcam with Privacy Cover, 90°View Computer Camera, Plug&Play USB Webcam for Calls/Conference, Zoom/Skype/YouTube, Laptop/Desktop",4.0,"Okay webcam, excellent for the price","Reviewed in the United States 🇺🇸 on April 4, 2023",Color: Black,True,"For the price ($30 at the time of review), this is a fantastic webcam. As with most things, you get what you pay for. I don't use the built-in mic, so I can't comment on that, however the picture quality is just a scooch under ""okay"". I use a C920 at a different computer and its picture quality is comparatively excellent, but it did cost over 4x the price of this one, so I can't really complain! Make sure you get the eMeetLink software to make some adjustments (brightness, contrast, saturation, white balance, etc.) but don't expect $130 performance/software from a $30 webcam!",One person found this helpful
"EMEET 1080P Webcam with Microphone, C960 Web Camera, 2 Mics Streaming Webcam with Privacy Cover, 90°View Computer Camera, Plug&Play USB Webcam for Calls/Conference, Zoom/Skype/YouTube, Laptop/Desktop",4.0,"Good quality, especially for the price","Reviewed in the United States 🇺🇸 on March 30, 2023",Color: Black,True,"I knew I needed a different camera than the one that was on my laptop, so I decided to look for one that had a hi-def qualify or close to it. Looked at about 10 or so and decided on this one due to the cost, good ratings & the features. It was a big difference! The fps, color saturation, quality was so much better (I've used it only once) & am glad I purchased this one! It took some time to go through my settings to make a some changes, other than that, it's been very easy!",
"EMEET 1080P Webcam with Microphone, C960 Web Camera, 2 Mics Streaming Webcam with Privacy Cover, 90°View Computer Camera, Plug&Play USB Webcam for Calls/Conference, Zoom/Skype/YouTube, Laptop/Desktop",5.0,"Looks Simple, but Works Very Well!","Reviewed in the United States 🇺🇸 on April 11, 2023",Color: Black,True,"Got this for myself for work at home and for church Zoom meetings and was very impressed with how clear the picture and sound was.  It really balance out the light well, but would suggest to have a small ring light to clip to the monitor to help, may want to purchase one of those too.  All in all very pleased and it has made my Zoom meeting more professional from just using a webcam on the laptop.",
"EMEET 1080P Webcam with Microphone, C960 Web Camera, 2 Mics Streaming Webcam with Privacy Cover, 90°View Computer Camera, Plug&Play USB Webcam for Calls/Conference, Zoom/Skype/YouTube, Laptop/Desktop",4.0,Good as expected,"Reviewed in the United States 🇺🇸 on April 1, 2023",Color: Black,True,"Product is well made and is as described. It is stable even on my laptop that has quite a thin screen. The quality is good. The angle is not too wide, good for one or max 2 people. The only limitation regards the contrast between bright and dark parts: in general, you need to be in a bright environment to use it (note that it doesn't have a light integrated on the camera and the computer screen illumination is not enough)",2 people found this helpful
"EMEET 1080P Webcam with Microphone, C960 Web Camera, 2 Mics Streaming Webcam with Privacy Cover, 90°View Computer Camera, Plug&Play USB Webcam for Calls/Conference, Zoom/Skype/YouTube, Laptop/Desktop",5.0,Exceeded my expectation :-) !!,"Reviewed in the United States 🇺🇸 on April 2, 2023",Color: Black,True,"Now I know why this product had the 'most recommended' status on Amazon!!  THIS camera (which I bought for my desktop PC) arrived very quickly (sooner than I expected), and was installed, and up & running in a very few minutes....and I am sooooooooo pleased with it !!!  It works with Skype and Zoom perfectly and is well worth every dollar to buy it (imho), and I, too, like Amazon, highly recommend this excellent Peripheral device for your computer. This is, indeed, one of my smarter online purchases :-) !!!",One person found this helpful
"EMEET 1080P Webcam with Microphone, C960 Web Camera, 2 Mics Streaming Webcam with Privacy Cover, 90°View Computer Camera, Plug&Play USB Webcam for Calls/Conference, Zoom/Skype/YouTube, Laptop/Desktop",4.0,Great starter cam,"Reviewed in the United States 🇺🇸 on January 31, 2023",Color: Black,True,"If you need to upgrade from basic laptop cam then this is a great starter cam. You just plug it in and it's ready to go. The camera view is pretty wide and natural sunlight makes the picture look super washed out, but looks pretty good in lower light. I use an edison bulb overhead at night and the quality looks really good. The cord is very long and plugs directly into your laptop with usb, it will not connect via bluetooth or wifi, which is fine for me. I am still learning about webcams and video quality, but this product suits my needs for the time being. Happy with the purchase.Update: after doing more research I now wish I had taken the time to find a webcam with narrower FOV because this camera shows too much of my background on cam and also distorts my features. It's still a great starter cam, but if you need it for modeling purposes or online spicy work then look for a webcam that has a narrow FOV closer to 60 degrees.",32 people found this helpful
"EMEET 1080P Webcam with Microphone, C960 Web Camera, 2 Mics Streaming Webcam with Privacy Cover, 90°View Computer Camera, Plug&Play USB Webcam for Calls/Conference, Zoom/Skype/YouTube, Laptop/Desktop",4.0,"great webcam, but lacks in adjustments.","Reviewed in the United States 🇺🇸 on March 17, 2023",Color: Black,True,"The webcam is easy to hook up although the instructions are not clear or correct.  The camera does not turn on when you plug it in (this is what is stated in the manual and on the videos).  You must open up a camera op on your computer and then the power light comes on.  Also, there is no way to zoom in or out, it definitely lacks any fine tuning other than brightness.",4 people found this helpful
"EMEET 1080P Webcam with Microphone, C960 Web Camera, 2 Mics Streaming Webcam with Privacy Cover, 90°View Computer Camera, Plug&Play USB Webcam for Calls/Conference, Zoom/Skype/YouTube, Laptop/Desktop",4.0,"It works, and is a good price.","Reviewed in the United States 🇺🇸 on March 11, 2023",Color: Grey,True,"The picture quality is good and the privacy flap is a nice addition.  Overall it is a very decent piece of hardware for the price, the only reason I took off a star is because the second time it was used, on a brand new computer with a fresh copy of Windows 11, it had to be unplugged and plugged back in due to not being detected.While that is not a massive failure, that doesn't exactly inspiring confidence in it long-term.",
"EMEET 1080P Webcam with Microphone, C960 Web Camera, 2 Mics Streaming Webcam with Privacy Cover, 90°View Computer Camera, Plug&Play USB Webcam for Calls/Conference, Zoom/Skype/YouTube, Laptop/Desktop",4.0,Gets the job done well and just works,"Reviewed in the United States 🇺🇸 on March 24, 2023",Color: Black,True,Picture quality is good.  The microphones pick up voice clearly.  I really like the driverless and software-less plug and play - super easy setup and it just works.The cord placement prevents you from using it on a flat surface - the top of my monitor is a little too high and it doesn't sit well on my desk.,One person found this helpful
