product_name,rating,title,location_and_date,options,verified_purchase,text,helpful_count
HP 24mh FHD Monitor - Computer Monitor with 23.8-Inch IPS Display (1080p) - Built-In Speakers and VESA Mounting - Height/Tilt Adjustment for Ergonomic Viewing - HDMI and DisplayPort - (1D0J9AA#ABA),5.0,A Very Satisfied Customer,"Reviewed in the United States 🇺🇸 on March 9, 2023",Style: Monitor,True,"I am writing this review specifically for one major reason. Tech reviewers on YouTube and elsewhere are wont to tell you that a 27"" 1440p monitor is now the ""sweet spot"" and should now be the standard monitor size for work and gaming. A few will tell you they can't use anything less than a 32"" monitor. Well, I have a 32"" monitor and I've tried a 27"" monitor too. Actually I recently bought two 27"" monitors, but I quickly returned them. My 32"" monitor is in one of my bedrooms, and I use it every now and then.Is a 24"" monitor big enough for work and play? YES. Plenty! Some folks use a 13"" laptop for all their computer tasks. The biggest laptop in the world at this moment is the Acer Predator 21X, which has a curved 21"" screen. So, everyone who uses a laptop for their computer tasks (and there a many, very many people who work this way), do so on computer screens less then a 24"" monitor. As far as I know, there are no monitors at my place of work bigger than 24"". In one Gadget Review article, Lawrence Bonk wrote, ""Professional gamers nearly always use 24-inch monitors instead of larger monitors.""Before I go further, let me quickly say that a 24"" 1080p monitor may very well be the perfect size for any type of task you perform on a computer. It has plenty of screen real estate, and it is not overwhelming. Monitors of this size are cheaper too. A 24"" monitor doesn't have much of the wasted spaces I found on my 27"" 1440p monitors.This 24"" HP monitor has two built-in speakers (thank you, HP!). Yes, I often connect my PC via Bluetooth to my JBL Partybox 310, but I love that I have an option of using the speakers in my monitor.I did not like how texts appeared on my 27"" 1440p monitors. Because of the higher pixel density, the texts were smaller than they appeared on this HP monitor, forcing me to scale up text and picture sizes on the 27"" monitors. Without even tweaking the settings on this 24"" monitor, pictures and texts were just right. I also played some videos on both the 27"" 1440p monitor and this 24"" 1080p monitor. And frankly, the quality was either practically the same on both or even better on this 24"" 1080p monitor.I don't game. I use my computer for everyday, ordinary tasks (emails, study, paying bills, shopping, VoIP calls, video calls, video conferencing, work-related tasks, web surfing, playing music, and watching videos and movies). I can report confidently that not only is this 24"" monitor adequate for these tasks, I also prefer this monitor to the 27"" 1440p monitor (which I have already returned).Presently, I use two of this 24"" monitors in an ""Extend these displays,"" dual monitor setup. I love it, but just one monitor would have been adequate for my needs. Some bloggers are adamant that having three monitors is the best for productivity, but I found that to be counterproductive. Not only does a three-monitor setup require more desk space, it also becomes a distraction. I kept asking myself, ""What should I display on the third monitor?"" The third monitor was totally dispensable.",25 people found this helpful
HP 24mh FHD Monitor - Computer Monitor with 23.8-Inch IPS Display (1080p) - Built-In Speakers and VESA Mounting - Height/Tilt Adjustment for Ergonomic Viewing - HDMI and DisplayPort - (1D0J9AA#ABA),4.0,"Good monitor for the price, despite backlight failure at 9 months","Reviewed in the United States 🇺🇸 on February 19, 2023",Style: Monitor,True,"I bought this to enhance my WFH setup and return my work monitor to my actual office setup. Out-of-the-box assembly was pretty quick - take it out, stick the stand on, plug and play.It did take some adjustment in the on-screen menu to get the settings right. I thought the defaults a bit rough. But once the sharpness and black settings were tweaked, it was quite good. I don’t know that I would use this for hefty graphics work, but as a side monitor for watching YouTube and responding to email, it’s great for the price.After 627 hours of use, it suffered a backlight failure (picture of the failure against the backdrop of my attempt to chat with them attached). As I’m under warranty, I reached out to support. Typical large-company support situation - time-consuming and near-painful tier 1 support, having me restart and change settings. After two hours they agreed to send me a box, citing a 8-10 day turnaround. Honestly, I’m debating just buying another (or this or another brand) and calling it a day. If they find it’s damaged then I’m on the hook. I can’t fathom it would be as it hasn’t moved in 9 months.But I recognize I’m more the exception than the rule. For its price, it’s a nice, name-brand monitor for day-to-day use.",6 people found this helpful
HP 24mh FHD Monitor - Computer Monitor with 23.8-Inch IPS Display (1080p) - Built-In Speakers and VESA Mounting - Height/Tilt Adjustment for Ergonomic Viewing - HDMI and DisplayPort - (1D0J9AA#ABA),5.0,"So happy this is easy set-up, great picture quality","Reviewed in the United States 🇺🇸 on April 8, 2023",Style: Monitor,True,"I bought this as a dual monitor for my home office. I am kind of surprise the set-up was so quick and easy. I don't play game and I mainly use it for work, I test out the speaker volume, the sound are very good and loud enough for me. This is a good monitor for the price, I highly recommended.",One person found this helpful
HP 24mh FHD Monitor - Computer Monitor with 23.8-Inch IPS Display (1080p) - Built-In Speakers and VESA Mounting - Height/Tilt Adjustment for Ergonomic Viewing - HDMI and DisplayPort - (1D0J9AA#ABA),4.0,great monitor for price,"Reviewed in the United States 🇺🇸 on April 14, 2023",Style: Monitor,True,I was hesitant in getting this particular monitor but very glad I did. I do not do gaming but I do use for charting and collection of data feeds. I don't know the quality over time yet but I'll send myself a reminder and update. I'm debating about getting another one as 3 screens is ideal for me. Good Value,
HP 24mh FHD Monitor - Computer Monitor with 23.8-Inch IPS Display (1080p) - Built-In Speakers and VESA Mounting - Height/Tilt Adjustment for Ergonomic Viewing - HDMI and DisplayPort - (1D0J9AA#ABA),5.0,Very impressive,"Reviewed in the United States 🇺🇸 on February 9, 2023",Style: Monitor,True,"I've only had the monitor for a short time, so maybe reliability could become an issue, but this is an amazing visual experience. I mostly watch old TV shows and movies so the color isn't as critical as it might be to some, but the color quality on 30 year old movies is excellent. What I can't believe is the clarity of watching old shows like Perry Mason and Dick Van Dyke. Extremely pleased.I should also comment on the volume control, as I struggled to understand it. This was part of a review written by Lindguini, so I'm plagiarizing:HOW TO FIX LOW VOLUME SOUND: The built-in speakers are better than some reviewers indicate. I believe most people don't discover that the monitor menu has its own volume control that's set to 50% volume by factory default. If you just connect this monitor to the PC you'll automatically get sound through the HP speakers via HDMI or DisplayPort (you only have to use the separate audio cable when using the VGA input). But no matter how high you turn up your PC volume control, you'll only get 50% volume from the monitor's speakers which is why people complain about low volume. To fix this, all you need to do is go to the ""Management"" tab of the monitor menu, select ""Audio"", and then turn up the volume control from 50 (default) to 100 and you'll find the monitor speakers are plenty loud. After that, you'll only have to use your PC volume control as normal.",24 people found this helpful
HP 24mh FHD Monitor - Computer Monitor with 23.8-Inch IPS Display (1080p) - Built-In Speakers and VESA Mounting - Height/Tilt Adjustment for Ergonomic Viewing - HDMI and DisplayPort - (1D0J9AA#ABA),5.0,happy,"Reviewed in the United States 🇺🇸 on March 10, 2023",Style: Monitor,True,"I was a bit apprehensive, but after an easy hookup and not messing with any settings yet, it's working great.  No dead pixels that I can see.  Really like the vertical height adjustment, and the rotation capability.A great  picture! Better than my other IPS monitors, LG, Acer, and Samsung in a similar quality range.Auto input select. Looks well built.  Good controls at lower right.  I do not care for joystick controls or buttons on the back, and this monitor does not have that.  Big icons on screen right above the buttons, and a larger power button.",3 people found this helpful
HP 24mh FHD Monitor - Computer Monitor with 23.8-Inch IPS Display (1080p) - Built-In Speakers and VESA Mounting - Height/Tilt Adjustment for Ergonomic Viewing - HDMI and DisplayPort - (1D0J9AA#ABA),5.0,Dependable workhorses for cheap!,"Reviewed in the United States 🇺🇸 on April 11, 2023",Style: Monitor,True,I actually really like these monitors and this is the 5th one I have ordered. I have never had a problem with them.,
HP 24mh FHD Monitor - Computer Monitor with 23.8-Inch IPS Display (1080p) - Built-In Speakers and VESA Mounting - Height/Tilt Adjustment for Ergonomic Viewing - HDMI and DisplayPort - (1D0J9AA#ABA),5.0,Easy HDMI plug & play monitor,"Reviewed in the United States 🇺🇸 on April 10, 2023",Style: Monitor,True,"Includes HDMI cable, 10-year old laptop runs it out of the box, great resolution.",
HP 24mh FHD Monitor - Computer Monitor with 23.8-Inch IPS Display (1080p) - Built-In Speakers and VESA Mounting - Height/Tilt Adjustment for Ergonomic Viewing - HDMI and DisplayPort - (1D0J9AA#ABA),5.0,Fast shipping,"Reviewed in the United States 🇺🇸 on April 10, 2023",Style: Monitor,True,I bought this for my wife and she loves it. Really good picture quality.,
HP 24mh FHD Monitor - Computer Monitor with 23.8-Inch IPS Display (1080p) - Built-In Speakers and VESA Mounting - Height/Tilt Adjustment for Ergonomic Viewing - HDMI and DisplayPort - (1D0J9AA#ABA),4.0,Good but not 21.5 x 18.25,"Reviewed in the United States 🇺🇸 on March 15, 2023",Style: Monitor,True,"I use this for reading long contracts for my work, and it works great for that.I was a little disappointed because one of the pictures on the listing says that it's 21.5 x 18.25 inches.  It's actually about 21.5 x 11.75 inches. Someone who's good at math would probably know that was wrong from the fact that it's 23.8 inches diagonally, but like I said, I read contracts.",3 people found this helpful
