product_name,rating,title,location_and_date,options,verified_purchase,text,helpful_count
"Logitech C920x HD Pro Webcam, Full HD 1080p/30fps Video Calling, Clear Stereo Audio, HD Light Correction, Works with Skype, Zoom, FaceTime, Hangouts, PC/Mac/Laptop/Macbook/Tablet - Black",5.0,Solid webcam,"Reviewed in the United States on March 9, 2023",Style: Webcam,True,I needed a new camera for my streams and all of my friends suggested this as they use it themselves. The cameras quality is superior to what I was using before. The camera is wide view so you get a good range of image. The only thing I would say is a negative is that my computer automatically shuts down on its own sometimes (for reasons unknown still) and will cause the camera to glitch upon next use and the camera sometimes won’t work unless I unplug and plug it back in.  I’ve noticed this issue mainly with discord but haven’t tested it elsewhere. It will freeze the call and not turn on unless I do as stated above. Slightly annoying. But still a solid webcam despite my slight issues. Would highly reccomend,One person found this helpful
"Logitech C920x HD Pro Webcam, Full HD 1080p/30fps Video Calling, Clear Stereo Audio, HD Light Correction, Works with Skype, Zoom, FaceTime, Hangouts, PC/Mac/Laptop/Macbook/Tablet - Black",5.0,Long lasting and high quality,"Reviewed in the United States on March 30, 2023",Style: Webcam,True,"I have several of these cameras. I've had one for several years, and it works as well as the day I purchased it.I was recently without that camera, and bought the one I am reviewing now, because while I imagine newer cameras may provide some new benefit I am not yet aware of, I have no desire to change my configuration since this camera works so well and has not failed me after years of service, and the stresses of traveling and storage.",One person found this helpful
"Logitech C920x HD Pro Webcam, Full HD 1080p/30fps Video Calling, Clear Stereo Audio, HD Light Correction, Works with Skype, Zoom, FaceTime, Hangouts, PC/Mac/Laptop/Macbook/Tablet - Black",5.0,Integrated with MS Teams on Lenovo laptop. Easy to mount and adjust position,"Reviewed in the United States on April 12, 2023",Style: Webcam,True,"I like that it worked as it should right out of the box. The construction feels robust and or high quality, which is to be expected with a Logitech product. Worth the extra couple of dollars for peace of mind.",
"Logitech C920x HD Pro Webcam, Full HD 1080p/30fps Video Calling, Clear Stereo Audio, HD Light Correction, Works with Skype, Zoom, FaceTime, Hangouts, PC/Mac/Laptop/Macbook/Tablet - Black",4.0,"Great camera, but software download is hard to find","Reviewed in the United States on March 9, 2023",Style: Webcam,True,"Great camera at a decent price. You will definitely want to download the Logi Tune software from Logitech to optimize your camera settings, and it isn't easy to find. If you register your product with the serial number found on the shipping box you will be taken to a link. Otherwise hover over the Support button on the Logitech website and select Logi Tune in the Software list. Do not select Downloads under the For Individuals list because you won't find it there. Software is available for Windows and Mac, and the Mac version works fine on Apple silicon (reboot after installation). I'm taking a star off the rating for the difficulty of finding and downloading the software.",6 people found this helpful
"Logitech C920x HD Pro Webcam, Full HD 1080p/30fps Video Calling, Clear Stereo Audio, HD Light Correction, Works with Skype, Zoom, FaceTime, Hangouts, PC/Mac/Laptop/Macbook/Tablet - Black",5.0,Works perfectly well,"Reviewed in the United States on March 31, 2023",Style: Webcam,True,"Consistently 1080p, very high quality microphone, and a premium look to your meetings.This isn’t necessarily a required part of coming off as professional, but it’s the details that add up. You will absolutely immediately look better than 90% of people in the same meetings as you. Highly recommend!",One person found this helpful
"Logitech C920x HD Pro Webcam, Full HD 1080p/30fps Video Calling, Clear Stereo Audio, HD Light Correction, Works with Skype, Zoom, FaceTime, Hangouts, PC/Mac/Laptop/Macbook/Tablet - Black",5.0,Clear Videos,"Reviewed in the United States on April 14, 2023",Style: Webcam,True,"This is definitely an upgrade from any of the cameras that come on my devices factory, it helps with clarity and looks more professional in zoom meetings.",
"Logitech C920x HD Pro Webcam, Full HD 1080p/30fps Video Calling, Clear Stereo Audio, HD Light Correction, Works with Skype, Zoom, FaceTime, Hangouts, PC/Mac/Laptop/Macbook/Tablet - Black",5.0,Works great. simple install - plug and play,"Reviewed in the United States on April 9, 2023",Style: Webcam,True,"I like the camera a lot, clear picture and sound, no issues so far. Only complaint there isn't a cover to the camera when not in use.",
"Logitech C920x HD Pro Webcam, Full HD 1080p/30fps Video Calling, Clear Stereo Audio, HD Light Correction, Works with Skype, Zoom, FaceTime, Hangouts, PC/Mac/Laptop/Macbook/Tablet - Black",4.0,Logitech desktop camera,"Reviewed in the United States on March 31, 2023",Style: Webcam,True,I've used this a handful of times and the picture is pretty good. I'd say for the price you could probably get something better and cheaper. But you can't go wrong with a big name brand. Plug in play and your zoom call looks far better than your boss Macbook pro camera.,One person found this helpful
"Logitech C920x HD Pro Webcam, Full HD 1080p/30fps Video Calling, Clear Stereo Audio, HD Light Correction, Works with Skype, Zoom, FaceTime, Hangouts, PC/Mac/Laptop/Macbook/Tablet - Black",4.0,Microphone Problems,"Reviewed in the United States on March 28, 2023",Style: Webcam,True,"Overall, it is a good webcam as long as you have a good light source.  Auto focus isn't 100% unless you remain still and don't have moving objects in the background.  I had to return my first delivery because the microphone was unintelligible 20% of the time.  The replacement seems to be fine.",One person found this helpful
"Logitech C920x HD Pro Webcam, Full HD 1080p/30fps Video Calling, Clear Stereo Audio, HD Light Correction, Works with Skype, Zoom, FaceTime, Hangouts, PC/Mac/Laptop/Macbook/Tablet - Black",5.0,Very good,"Reviewed in the United States on April 8, 2023",Style: Webcam,True,"I tried this camera( Logitech920x) today, auto setting , good picture, clear sound  within 1 meter,i will update this review after more usage",
