product_name,rating,title,location_and_date,options,verified_purchase,text,helpful_count
"Logitech MK270 Wireless Keyboard And Mouse Combo For Windows, 2.4 GHz Wireless, Compact Mouse, 8 Multimedia And Shortcut Keys, For PC, Laptop - Black",5.0,Pure Simple,"Reviewed in the United States 🇺🇸 on March 13, 2023",Size: 1 Pack,True,"I have been using this M&K combo for 2 months now.  Yet to run the included batteries out with daily usage and not turning the units off.  (AA and AAA) batts.  Durability: Don't drop it on the ground.  It has some flex.  Normal usage you're fine.  Noise: Key noise is about average.  On the quieter side of things, but not ultra quiet.  Longevity: Easy to clean, batteries last a good while/easy cheap to replace.  Connectivity: Just plug in and go.  No drivers, no bells and whistles.  Nothing to bloat up your PC  Why I bought it.  And IMPORTANT NOTE.  I use this to run a multimedia/server machine hooked up to my big screen TV.  I'm 7 feet away and don't want to trip over cables.  Don't have a mouse pad either.  The important note is this: Unlike some optical mice, this mouse works well on most surfaces.  So I'm on using the couch beside me to move the pointer about with no issues.  Keyboard is also a comfortable size to type, and to have just sitting beside me on the couch.  Cons: I wish it had a back/side button on the mouse.  It does not.",3 people found this helpful
"Logitech MK270 Wireless Keyboard And Mouse Combo For Windows, 2.4 GHz Wireless, Compact Mouse, 8 Multimedia And Shortcut Keys, For PC, Laptop - Black",5.0,Good keyboard with one problem,"Reviewed in the United States 🇺🇸 on March 14, 2023",Size: 1 Pack,True,"When my 8-year-old K800 finally began to miss keystrokes I started to look for a replacement. The MX Keys stands out but has no buttons for volume and the calculator. It lacks the legs that are used to create a tilt and the notebook-like keys may not be something I want. Clicky keys, found on the G915 and other boards, seem to have a problem with failed keystrokes. I have experienced problems with double-strike keystrokes using the G915.I decided to try out the K270 and was not disappointed. It feels solid and has short-cut buttons. The keys work well, and the combination of keyboard, wrist pad, MX mouse and large mat looks impressive. I have used the keyboard for over nine months.The problem with the keyboard concerns power control. I have two displays and wanted the PC button to turn them off without putting the computer to sleep. Unfortunately, the keyboard itself causes the displays to start back up after about 5 minutes. An old, corded keyboard I tested does not do this and a thorough check of wake timers did not help. The button is now used for sleep mode.",One person found this helpful
"Logitech MK270 Wireless Keyboard And Mouse Combo For Windows, 2.4 GHz Wireless, Compact Mouse, 8 Multimedia And Shortcut Keys, For PC, Laptop - Black",4.0,"great set, until it stops working properly","Reviewed in the United States 🇺🇸 on March 15, 2023",Size: 1 Pack,True,"I am going back and forth between the office and home to work. This is a great set for this as I have a similar set up in both offices with a riser for my laptop. Having one dongle for both the keyboard and mouse frees up the few USB ports for other items I may need to connect. After about 4 months, I noticed the mouse was getting sluggish on occasion. It was not as responsive as it first was, I replaced the battery. I was hoping to get a longer battery life from the mouse, I do turn it off when it travels so buttons are not pushed wasting the battery life. I read other reviews saying use a mouse pad, I have one in both places. Unfortunately, the mouse is very laggy and is not always very responsive to movement. The keyboard has no trouble and after about 6 months is still working perfect, no issues. I just wish the mouse would work better. Tried to find support through Lenovo, the store purchased from and I am having trouble finding their customer support information.",6 people found this helpful
"Logitech MK270 Wireless Keyboard And Mouse Combo For Windows, 2.4 GHz Wireless, Compact Mouse, 8 Multimedia And Shortcut Keys, For PC, Laptop - Black",5.0,Very basic but trouble free.,"Reviewed in the United States 🇺🇸 on April 9, 2023",Size: 1 Pack,True,Doesn't rely on the unifying receiver and it's buggy software so this is a very stable platform. No worries about interference from Wi-Fi or other devices in the vicinity. It's a really bare bones keyboard and mouse so if you're looking for fancy features like the back lighting RGB lighting or any of that kind of thing look somewhere else. If you want a basic keyboard and mouse that seems to be pretty much bulletproof you can't go wrong here.,
"Logitech MK270 Wireless Keyboard And Mouse Combo For Windows, 2.4 GHz Wireless, Compact Mouse, 8 Multimedia And Shortcut Keys, For PC, Laptop - Black",4.0,The USB dongle is attach to the lid of the box.,"Reviewed in the United States 🇺🇸 on March 17, 2023",Size: 1 Pack,True,"I was looking for something small and semi portable to be used in my kitchen when I want to step away from the office. This set was perfect for that because it’s as small as it’s going to get for a full-size keyboard.  The mouse is also very small, somewhat uncomfortable to use if you need it for long hours. I wish it was a bit bigger and more ergonomic.Pro tip: I was looking for the usb dongle inside the battery bay of the mouse where is typically stored, but it wasn’t there. I thought they forgot to include one and was preparing to box it back up for a return then notice it was attach to the lip of the box.",5 people found this helpful
"Logitech MK270 Wireless Keyboard And Mouse Combo For Windows, 2.4 GHz Wireless, Compact Mouse, 8 Multimedia And Shortcut Keys, For PC, Laptop - Black",4.0,So frustrating!,"Reviewed in the United States 🇺🇸 on March 27, 2023",Size: 1 Pack,True,"I normally like Logitech products.  I ordered the MK270 keyboard and mouse.  The mouse works okay but the keyboard has been sporadic and now doesn't work at all.  I've put in new batteries and just purchased another USB Unifying Receiver.  Nothing works.  Before it died, it would sporadically accept typing and then would pause and then rush the typing leaving out letters.  I will never purchase another Logitech wireless keyboard.  From other reviews, it doesn't sound realistic to try to contact Logitech if you only get a bot and then are put on hold for a long period of time.",4 people found this helpful
"Logitech MK270 Wireless Keyboard And Mouse Combo For Windows, 2.4 GHz Wireless, Compact Mouse, 8 Multimedia And Shortcut Keys, For PC, Laptop - Black",5.0,No click-clack here!,"Reviewed in the United States 🇺🇸 on March 31, 2023",Size: 1 Pack,True,I did due diligence between three keyboard (KB) mouse (M) combo….we found a winner! Very simple to set up and link both KB & M to your device. Less than 15 seconds. Bonus: aaa energizer batteries included for both items! Zero lag time when typing or pointing. KB very quiet yet satisfying. Scroll Wheel on M is quick.Both items have auto sleep features that work when inactive for an extended period of time.***NOT A PAID REVIEW*** NOT A ROBOT ***- You’re Welcome,2 people found this helpful
"Logitech MK270 Wireless Keyboard And Mouse Combo For Windows, 2.4 GHz Wireless, Compact Mouse, 8 Multimedia And Shortcut Keys, For PC, Laptop - Black",5.0,"Decent layout, good range, find the USB connector in one side of the box!","Reviewed in the United States 🇺🇸 on February 19, 2023",Size: 1 Pack,True,"I have used 2 of these units...The initial challenge is that the USB wireless adapter is easy to miss... it was in a side of the box next to a side flap, but nothing on the box said ""open this side"" or made that side seem special at all.  If you open the other side of the box, you can get the keyboard, mouse, and paperwork and never find the USB adapter.  There is a spot to keep the adapter inside the mouse (inside, past the bottom cover), but that's not where the adapter was during shipping.During use, this set has great performance at the ranges I have used.  I have used it with a projector with about 15 feet of distance from the receiving PC.  I have also played games on a different computer using one of these sets.  The keys may not have the response or feel that gamers may want, but this set works.  I have not had issues with pressing multiple keys at the same time games.  (Key rollover... problems occur on some other keyboards with combinations such as Shift+W+A... easily caused by running forward and to the left in a game.  This keyboard has not had any key combination problems so far.)",11 people found this helpful
"Logitech MK270 Wireless Keyboard And Mouse Combo For Windows, 2.4 GHz Wireless, Compact Mouse, 8 Multimedia And Shortcut Keys, For PC, Laptop - Black",4.0,"Functions great, not as many button options as I would like.","Reviewed in the United States 🇺🇸 on April 8, 2023",Size: 1 Pack,True,"This keyboard/mouse combo works perfectly, no observable lag, it’s accurate with no missed key strikes. My only complaint is the mouse doesn’t have any extra buttons, only the standard left click/right click/middle wheel button and while the keyboard does have a start/pause button and volume control, it’s missing the next/previous buttons. It’s not a deal breaker for me at all, just would have been nicer.The most important thing is that it works, and this does well.",
"Logitech MK270 Wireless Keyboard And Mouse Combo For Windows, 2.4 GHz Wireless, Compact Mouse, 8 Multimedia And Shortcut Keys, For PC, Laptop - Black",5.0,Bulletproof,"Reviewed in the United States 🇺🇸 on March 12, 2023",Size: 1 Pack,True,"Recommended by a knowledgeable friend, I needed something to replace my aging Logitech G-15 that was more than 12 years old. Keyboard has a great feel. The mouse is smaller than what I'm used to, but I'm now used to it, and it also works great too. Only problem I had was, it was shipped in its original box without a protective Amazon box around it. Box was in rough shape, but product was fine. One flap was torn completely off. Good thing it wasn't the flap holding the USB transmitter. If possible, get it shipped inside an Amazon box, just in case.",One person found this helpful
