product_name,rating,title,location_and_date,options,verified_purchase,text,helpful_count
Nintendo Switch Lite - Turquoise,4.0,The Future of Nintendo Handhelds?,"Reviewed in the United States on October 18, 2019",Color: Turquoise | Style: Lite Console,True,"Update (Feb. 12, 2020):I originally gave this product 5 stars because the excitement of a brand-new handheld Nintendo console had not yet worn off. Now that I've been using it for a few months, there are a few things I take issue with.The first issue I've noticed is that the eShop is PAINFULLY slow compared to other devices. I understand that the Switch is behind other consoles in general, but I think there's an issue when it can run Minecraft (a CPU-intensive game) better than it can run the eShop. I know that in my original review I said that the eShop lag wasn't too bad, but it can be at times. I really don't see the reason for this. I mean, it's not a smooth experience at all. The icons take a while to load sometimes and if I scroll too fast I have to wait for it to catch up. It's the same thing when I switch between the menus, too. And no, it's not my WiFi.Now, the other issue I have is the home screen. On the 3DS, you could customize the icons however you wanted, you could put things in folders, and you could even have really cool themes! With the Switch, you don't get any of this. You get a dark mode and a light mode. That's it.Now, if you don't care about these features that's fine, but I personally like having the option to personalize my devices. Also, it's painful having to scroll through the games you have installed on your switch because the icons are so large and you can't make them stay where you want them. It's just really clunky and annoying.Another thing is if you're looking to you're looking to use your Switch for anything other than playing games, you're out of luck. There is no internet browser and no streaming apps. There is a YouTube app, but it's kind of bare-bones and you can't look at comments on videos.So, for these reasons I had to knock off a star from my review. The only reason I didn't remove more stars is because I still believe the Switch is a great system with a lot of potential. I still believe that Nintendo should continue with this idea and I hope that they take people's criticism into consideration.Oh, and this isn't really the SL's fault, but the screen is pretty small so certain games can be hard to play on it because it can be hard to see certain parts of the UI. Just something to look out for.Also, I know some people have already been experiencing JoyCon drift with this console, but I personally haven't had a problem with it yet.Original Review (Oct. 2019)I really, REALLY love this system.I don't own the original Nintendo Switch, and I got the Lite because of the lower price point and the lovely colors. I also wanted to play a lot of the games that are on the Switch, but not the 3DS. I was going to wait for the Zacian and Zamazenta edition to come out, but I decided I liked the turquoise edition better and I couldn't wait to get my hands on it.Now that I have it, I must say that I am very pleased with its performance. It runs faster than I expected from a system that is so small. I haven't noticed any severe lag (although it does lag a little bit if I go through the eShop categories too fast).Speaking of size, the Switch Lite is perfect. It's just big enough that I can see the screen just fine, but not too big that it's uncomfortable to hold. Keep in mind that I am someone with fairly small hands, so a person with larger hands may find the buttons and joysticks to be too close/cramped for their liking.The screen resolution is one of the highlights of this system. Compared to my 3DS XL, the screen is fantastic. Seriously, I didn't realize how bad the 3DS screen is until I compared it with this system. All the games look amazing, especially Super Mario Bros. U. Mario Kart 8 also looks great.Another thing I like a lot is the form factor. I like that everything I need to see is just on one screen and that the buttons right there beside it. It's not that I don't like the clam-shell design of the DS line, it's just that this form factor feels more comfortable to me. Of course, the form factor does come with its downsides. For example, it's going to be a lot easier to scratch the screen and the buttons. But that can be remedied if you just get a screen protector and a case to put it in.Another thing I like is that it comes with a charger. It seems like a no-brainer to put something to charge the device in with the packaging of the device itself, but guess what? When I got my 3DS, I had to buy the charger separately. Just another way for Nintendo to get money out of me, I guess. Luckily they did not make the same mistake with the Switch Lite. I also like that the cable on the charger is so long. It makes it easier for me to charge it and play it at the same time because I can get comfortable without worrying about holding my Switch in an awkward position.Although there are a ton of positives about the Switch Lite, I do have one complaint. My screen came with a stuck pixel. That really annoys me, but because it's kind of a light green/white I can't really see it when I'm playing games unless I'm specifically looking for it on the screen. I can only really see it when I'm in the eShop. It does suck though that an otherwise perfect system would have a flaw that can really be annoying at times. And anyway, Nintendo has said that it's a common issue with the screens so I don't expect that they would do much about it anyway.I was pretty disappointed when I figured out that the DS line of systems is pretty much dead now, but after buying the Switch Lite I'm kind of excited for the future of Nintendo handheld systems. I hope that they come out with more colors for the Lite and I also hope they expand upon this system like they did with the DS line.Overall, I think this system is a drastic improvement upon the DS line, but beware of stuck pixels and the fact that Nintendo does not seem to care about them.",113 people found this helpful
Nintendo Switch Lite - Turquoise,5.0,Excellent portable.,"Reviewed in the United States on August 27, 2021",Color: Blue | Style: Lite Console,True,"This is my first handheld since the original Game Boy. I really enjoy my Switch Lite. The eShop is chock full of incredible titles and I'm very impressed at the game selection. From Doom Eternal and classic Quake to Animal Crossing and Chess, the entire spectrum of genres is covered on Nintendo's hardware. It's black magic how this thing can even run some of these 3rd party AAA games. The games play great and I'm impressed at the performance of 3rd party AAA titles. Doom Eternal doesn't run near as good as on my Xbox One S, but I'm impressed how the developers were able to still cram the entire game into this comparatively lightweight hardware. My Switch Lite is very easily pocketable (even with protective case) and I have an excellent protective case for it; the LeyuSmart Protector Case with HD Tempered Glass Screen Protector (https://www.amazon.com/gp/aw/d/B08PBNGWJP?psc=1&ref=ppx_pop_mob_b_asin_image) which I have also reviewed. I run most of my games off a 1TB microSD card and they run perfectly fine, with slightly increased load times, of course, but as a lifelong console gamer, I'm very used to that. For the value of $199, this thing packs a punch out of nowhere and you'll be hard pressed to find a better value among the plethora of portables available nowadays; at least until the arrival of Steam Deck (which is an worse than an apples to oranges comparison, hardware and game library wise - Nintendo does things their own way, they're in a league of their own and they do and excellent job at it).I'm always a fan of the fading 3.5MM headphone jack on any modern hardware, and Nintendo being the ""Apple"" of console gaming hardware, they could have easily omitted it, forcing players to use the USB-C port to jack in a set of earbuds or headphones, but thankfully, they kept it old school. I was pleasantly surprised to see that you can indeed, use the USB-C port to play through a wired headset that way, if you choose (in order for me to use my headset to it's fullest, I unfortunately have to attach the USB dongle which contains the volume controls, so this is very helpful, especially if I play online and voice chat, although the mute and cut mic buttons don't seem to register on the Switch Lite). I'm willing to bet that you could get Ethernet over USB-C with one of the cheap, $15-$20 USB-C to Ethernet adaptors on Amazon to hardline in for faster game downloads (or smoother online multiplayer, if you feel like having it hang from your Switch the whole session) rather than buy the official Nintendo endorsed one, which is overpriced and probably won't fit on that dock with the case I have on my switch, anyway. I plan on purchasing one and will update my review on the experience when I do.I love how you can remap the button and stick assignments in system settings; ensuring that I can play some games using my beloved ""Southpaw"" controller layout (not sure why it's called that, should be the opposite). I was in a doctor's office playing it and somebody remarked they couldn't play on the ""small screen"", but it's fine for me; compared to the regular Switch, I don't have Joy Con rails to worry about breaking like on my son's Switch (he's already on his fourth pair).Nintendo has this thing locked down. You can't customize your home screen (I was hoping for some Android-style customization, here), organize your games, pass messages to friends and Nintendo (again, doing things their own way) seems hesitant to allow other third party apps on it like Prime Video, VLC (I'd love to be able to watch my videos and listen to my music on it), Twitch, Discord, Facebook or Amazon. It is also lacking a basic web browser and there doesn't appear to be a mic built in anywhere; speech to text would have been a nice alternative to smudging your screen or clumsily typing with the buttons and D-pad. I'm a little surprised there aren't any rumble motors it or something for at least a little feedback. Photo sharing to smartphones is very difficult to get working and I end up having to upload my screenshots to Facebook and download them to my phone as a workaround. Unnecessary. There is no review system on the eShop, so you have to look at third party review sites like metacritic before you purchase your games. The speakers are weak, my Pixel 4a has better sound. Another drawback is the lack of a lock; anybody can come along and grab or steal your Switch and have full access to everything on it including buying games on the eShop. The charger that comes with it (while being the tempting USB-C form factor) will ONLY charge a Switch and will instantly short out if you attempt charging any other device with it - I found this out the hard way. I replaced it with a far superior 3rd party option that charges anything.Overall, great hardware with some minor flaws and I plan on getting a pink one for my daughter, which I'm sure she'll enjoy as much as I do.",69 people found this helpful
Nintendo Switch Lite - Turquoise,5.0,Came in exactly as seen/expected,"Reviewed in the United States on March 27, 2023",Color: Coral | Style: Lite Console,True,"Only leaving a 5 star because the product was delivered and came in exactly as advertised.On the other hand, I'm warning you that if you are expecting it to be like a DS.... it's not.Most of the games will need you to consistently connect to wifi, even if the game does not require it.The battery life is pretty bad, unless you have a high quality cable it will loose it's charge when you're using it, even if it's plugged in.Also, as far as I am aware you cannot fully turn it off. The most you can do is ""sleep mode"" which is the equivalent to turning your phone screen off.If you're willing to deal with all of that for the new games it has then its totally worth it! I still like mine and use it fairly frequently but it can be a pain.",7 people found this helpful
Nintendo Switch Lite - Turquoise,5.0,Fantastic Buy With Great Value,"Reviewed in the United States on April 7, 2023",Color: Coral | Style: Lite Console,True,"I’ve had a Switch since 2017 and recently its began to show its age. Seeing as I found the original one slightly too large for my smaller hands, and I had no desire to spend $300, I ordered a Switch Lite. It arrived in excellent condition with no visible or internal damage, and was exceedingly easy to link to my old Switch. I can’t recommend this one enough, especially if you enjoy handheld play as opposed to playing on the TV. This model may not be for everyone though, so I encourage researching which Switch variation best fits your budget and needs.",One person found this helpful
Nintendo Switch Lite - Turquoise,5.0,My grandsons favorite,"Reviewed in the United States on April 17, 2023",Color: Turquoise | Style: Lite Console,True,"My grandson accidentally dropped his first Switch in water, so we needed to order a new one. It came within three days and he was a happy camper.",
Nintendo Switch Lite - Turquoise,5.0,4 year old loves ut,"Reviewed in the United States on April 14, 2023",Color: Blue | Style: Lite Console,True,Lots of game options. Easy to set up.  Battery lasts a long time. Bought a rubber protector case to ensure a long life.,
Nintendo Switch Lite - Turquoise,4.0,So much fun!,"Reviewed in the United States on January 12, 2023",Color: Turquoise | Style: Lite Console,True,"I really love this gadget.  At forty-something, I'm a little embarrassed about how much I love it.  A holiday gift card inspired the purchase; I have to admit, using it to get this was one of the best things I've done for myself in a long time.  There are things in the modern, online Nintendo Switch universe that I wish were more clear.  Maybe all those things were a little more clearly spelled out, for early adopters, but I feel like I'm stumbling in the dark a bit.  A few days after I purchased a physical copy of Luigi's Mansion, I tried to claim points for it.  It returned a message saying the offer had expired, but I had only owned it a few days.  Another annoyance for people in the US with limited incomes is the transaction fees on digital purchases  (if your credit card company charges fees on foreign transactions).  Those little fees can add up.  At times, battery life seems to go quickly.  I'm going to try a few tablet tricks, like turning down screen brightness and disabling WI-FI.  Maybe this shows my age, but I miss the official, printed player's guides.  I only found two (Animal Crossing and Legend of Zelda Breath of Wild), and they were expensive.  I liked those guides, because they were a road map, but the good ones didn't spoil all the game play surprises.  I'm not really into the YouTube walk-through idea.  Even if I was, my ISP has a data cap.  Overall, I'm crazy about my new friend, my Nintendo Switch Lite.  Although, it would have been excellent to have the option to buy a purple one.  Lol",23 people found this helpful
Nintendo Switch Lite - Turquoise,5.0,Perfect!,"Reviewed in the United States on April 15, 2023",Color: Turquoise | Style: Lite Console,True,My boyfriend loved this gift for his birthday. It comes with a charger. Also cheaper than the regular switch!,
Nintendo Switch Lite - Turquoise,5.0,It is what I was expecting to get.,"Reviewed in the United States on April 15, 2023",Color: Blue | Style: Lite Console,True,I like it very much. I'm happy whit it,
Nintendo Switch Lite - Turquoise,5.0,Research what games are lite compatible,"Reviewed in the United States on March 6, 2023",Color: Blue | Style: Lite Console,True,"We bought a switch for the house, but figured our 9y/o son needed a game upgrade of his own (from using our old nintendo ds) so we purchased him the blue switch lite and he was so excited he cried, he wasnt expecting his own. Although very handy there are some game restrictions, like you cant play games where the motion of a joycon is needed (ex. mario party, just dance). It is definitely suitable enough to entertain an elementary schooler for hours on a snow day or long road trip. Currently using game time and purchses as chore payments.",11 people found this helpful
