product_name,rating,title,location_and_date,options,verified_purchase,text,helpful_count
Nintendo Switch – OLED Model w/ Neon Red & Neon Blue Joy-Con,4.0,A lot of fun and very versatile play,"Reviewed in the United States 🇺🇸 on March 13, 2023",Color: White | Style: Console,True,"""Santa"" got this for my son this year and it ended up reignited the gamer in me. I absolutely love how versatile this system is. You can play handheld with controllers attached to the screen, with the controllers separate from the screen and attached to a handheld game controller adapter, or you can dock the screen and play on your TV. It makes it a great activity for my son on long car rides. The screen is bright and colorful. I definitely recommend getting a glass screen protector and carrying case for it, though. The screen is a bit heavy and wouldn't be very hard for a kid to drop this, even while they're playing it. The graphics aren't quite as good on the screen as they are on the TV but that's sort of expected. On the TV, the graphics are excellent depending on the game. Mariokart in particular looks awesome.ERGONOMICS: As versatile as the controllers make this system, the Switch controllers do not lend themselves very well to larger hands. I guess this system is geared more toward kids in that regard. The buttons and joysticks are small and not very ergonomic for adult sized hands. Using the controller adapter isn't bad but using the individual controllers to allow multiplayer is cumbersome. The controllers are just too small. I was able to play only a couple races in Mariokart before my hands began to hurt from trying to hold the controller. I ended up buying an off-brand wireless controller for multiplayer situations, which I even find more comfortable than the adapter so I also recommend buying a second one if you plan on using the system. While playing with the controllers attached to the side of the screen is a bit more comfortable, the screen is a bit heavy as I said before, and holding it up for ten minutes of play got difficult even for me, so I imagine it would be even heaver for a kid to hold.Overall I really like the system for its versatility. With two ways to play on the go and a more stationary option for at home play, it doesn't limit you to one style of playing. You can figure out which style is more comfortable for you depending on your situation.",14 people found this helpful
Nintendo Switch – OLED Model w/ Neon Red & Neon Blue Joy-Con,4.0,"Unimpressive Hardware, Overpriced, But Very Fun","Reviewed in the United States 🇺🇸 on October 18, 2022",Color: Neon Blue and Red | Style: Console,True,"As a kid I owned a Nintendo, an original Gameboy, and a Super Nintendo. I've been aware of the Nintendo consoles since then, but haven't put any time or money into the platform since my Super Nintendo days. Instead Sony has been getting my time and money. Using the PS5 as my benchmark, initially I was very disappointed in the Switch. However, after purchasing the top Nintendo exclusive games and putting considerable time into it, I've come around and I'm definitely happy I purchased the Switch OLED. What I failed to understand when I purchased the Switch is that Nintendo is not competing directly against Sony and Microsoft. Nintendo has essentially become the ""Disney"" of gaming. In that I mean that Nintendo has their characters and storylines that we've all grown up with. Now we want our kids to share in that experience, which doesn't really require an 8k capable GPU. Instead, being a clever company, Nintendo has targeted kids with a comparatively less expensive console, sporting handheld capability, tons of swag, and easy to configure parental controls. For adults that want to play after the kids have gone to sleep, the platform supports some more mature titles, and a regular controller experience.I really like the classic games like Zelda, Mario, & Metroid. The gameplay is improved and the stories are familiar. Nintendo's Pro Controller is fantastic (it's also a must for adults). I like being able to take the console on trips, and dock it at my TV at home. I also really appreciate the use of micro SD storage. Downloaded games seem to average around 5.5 GB in size, so adding a 256 GB micro SD to your built in 64 GB of storage should allow plenty of space for most people. I like the game sales in the eShop, as that's the time to buy. And while I don't recommend it, the ability to purchase cartridges is a bit nostalgic for me.I really dislike the terrible, dated hardware choices that Nintendo made. The OLED screen may be an improvement over the original Switch, but it's still not great at only 720p resolution. The wired network adapter in the dock is slightly faster than the wireless adapter in the console, but both are terribly slow and it takes a long time to download games. The Nintendo network speeds are also laughably slow, and I wonder if they are trying to preserve the nostalgia of the load screen. Keep in mind that unless you want to get up to change your game, or potentially have your kid lose a game, you'll want to download your games from the eShop. So you're really forced to deal with the slow network experience everytime you want something new. It's still worth the suffering up front for the long-term convenience of having it downloaded. Another confusing hardware choice is the Joy-Con controller. These things are overpriced trash. I can see where Nintendo was going, but they have some major shortcomings. To charge the Joy-Con's they need to be connected to the console, or you have to purchase the charging grip (~$35). Nintendo included a grip, but not one with charging capabilities, which means you'll have to switch to handheld mode to keep playing, or stop playing while they charge. Instead of buying a charging grip, I recommend the Pro Controller, which has a USB-C port on the front for charging while playing. It's better than the Joy-Con in every way, and cheaper. Which brings me to my biggest complaint, the price. Just like Disney, Nintendo is fully aware of the grip they have on your kids, and thus they charge accordingly. There is no part of this console that makes it worth the price. You either want to play (or your kids to play) Zelda, Mario, Metroid, etc. or you don't. If you do, then you will pay. Need an extra power adapter so you don't have to disconnect it from the dock everytime...overpriced. Need replacement Joy-Con's because the included ones started to drift...overpriced. Any game at regular price...overpriced. Why would I pay Nintendo more for a game that's going to look and play better on my PS5 for less money?I think you get my point. The Switch is not for everyone. If you have kids, or you love the Nintendo original titles, there's likely a Switch in your future. If you're buying it for you (an adult), get the Pro Controller and don't look back. If you have another ""serious"" console, don't buy any non-exclusive titles for the Switch. They're usually cheaper and better on literally any other console.",385 people found this helpful
Nintendo Switch – OLED Model w/ Neon Red & Neon Blue Joy-Con,5.0,First owning this product,"Reviewed in the United States 🇺🇸 on April 12, 2023",Color: White | Style: Console,True,"Well this is my first buying a switch console, it’s was good experience to have and something new to have a change other than keyboard and mouse. The package will be sent to you but you’ll receive a password in order to let the mail person to unlock it for a successful delivery. The packaging is nice neat with each individual packages in the box. The downside is that console has limited space when purchase so you’ll have to buy storage disk and online service (as well as games) separately.",3 people found this helpful
Nintendo Switch – OLED Model w/ Neon Red & Neon Blue Joy-Con,5.0,Amazing condition. Not in box. Bought used.,"Reviewed in the United States 🇺🇸 on April 10, 2023",Color: White | Style: Console,True,It came better than expected. I figured since it's used it would have scratches.. it didn't. I will update this after a while but for now it's working as it should. I was weary because it was almost $100 less than new.  But I'm very surprised. I purchased the oled white model and so far so good after 7 hours of playing.,7 people found this helpful
Nintendo Switch – OLED Model w/ Neon Red & Neon Blue Joy-Con,5.0,It's just... Squidtastic!,"Reviewed in the United States 🇺🇸 on January 18, 2023",Color: Splatoon | Style: Console,True,"Disclaimer: In my pictures, you can see I received the Japanese version. I bought mine from a third-party seller, no matter the region. Any switch can play any physical or digital game, as they are not region-locked. If you end up getting one overseas, make sure your router's Wi-Fi channel is under 149, or you'll have trouble connecting to the Wi-Fi.Now to start... I myself wasn't interested in upgrading, as I at first didn't see the point since the improvements seemed minor. Oh boy, was I wrong! To start, the main upgrade is the screen, which is so much better than the original. It's way brighter and makes every game you play look better in handheld mode. I couldn't help but want to play on my switch more than my dock just because of how good it looks.This switch is also so beautiful. I love the design of the dock. The joycons and the switch itself as they are based on the game's team colors that are picked each time. The switch also has engravings on the joystick and console so that you can actually feel the texture difference. The work that Nintendo has put into the console is incredible.Don't even get me started on how they changed the power and volume buttons to make them easier to press. I also love the new fully adjustable kickstand and Ethernet port, which make it much easier to dock.Oh, and the sound coming from the switch sounds so much better now that they changed and added another speaker!If you're interested in getting your first switch, I highly recommend this one! But if you're upgrading, I know I said earlier that it's not much of an upgrade; that's still true, as they only made the storage bigger, added a bigger and brighter screen, added Ethernet, and improved kickstand support for old switch owners. It's your choice if you really value the handheld experience or a better kickstand. But if you do, you will not be disappointed!",47 people found this helpful
Nintendo Switch – OLED Model w/ Neon Red & Neon Blue Joy-Con,5.0,Good overall system,"Reviewed in the United States 🇺🇸 on March 29, 2023",Color: Neon Blue and Red | Style: Console,True,"The OLED can irritate the eyes, holding the unit itself can be a chore, and the controllers that come with it are not ergonomic enough or practical that I can say I was totally happy. Otherwise the system is very good and the entertainment has been fun, going back to the days of Mario and other games hard to find on other platforms.",5 people found this helpful
Nintendo Switch – OLED Model w/ Neon Red & Neon Blue Joy-Con,5.0,"Absolutely worth the upgrade for handheld users, and worth considering for docked users too.","Reviewed in the United States 🇺🇸 on February 10, 2023",Color: Neon Blue and Red | Style: Console,True,"I watched and read several reviews of this product before purchasing, and I can tell you that if you primarily use your switch in the handheld configuration, it is absolutely worth the price. The display is much sharper, more vibrant, and has far better low-light characteristics compared to my regular switch, and it almost feels like it is higher-resolution despite being the same. The construction feels higher quality as well, with the surfaces you mainly interact with being made of metal. The kickstand is what the og switch should've had, feels much sturdier and offers adjustable angles. All that and the built in storage is 64 gb instead of the 32 gb the og switch offers, and the dock is allegedly less prone to scratching the screen and body when inserting and removing the switch from the dock compared to the dock that comes with the original. All in all, stellar product, worth the increased price if you're a handheld user. There isn't any noticeable difference when playing in docked mode, so if you're either planning on using or currently use your switch in docked mode, I would still recommend this over the og switch because of the increased internal storage, and the Ethernet port that is built into the dock.It's worth the price difference. Very satisfied with this product.",23 people found this helpful
Nintendo Switch – OLED Model w/ Neon Red & Neon Blue Joy-Con,5.0,My Son Loves it!,"Reviewed in the United States 🇺🇸 on March 22, 2023",Color: White | Style: Console,True,"I purchased for my son at his request, and he really loves it. I cannot personally tell you much about it as I never used it, but my son is happy with it, and this is just another device added to the collection of many.*Note: It seems that it is not uncommon for Switch to get hot. Not to worry, they sell cooling devices specifically for the Switch and  all is well, no more heating up.",7 people found this helpful
Nintendo Switch – OLED Model w/ Neon Red & Neon Blue Joy-Con,5.0,it came in a box,"Reviewed in the United States 🇺🇸 on April 17, 2023",Color: Neon Blue and Red | Style: Console,True,Played both handheld mode and tv mode. It works great. The graphics look great on the tv.,
Nintendo Switch – OLED Model w/ Neon Red & Neon Blue Joy-Con,5.0,AA++,"Reviewed in the United States 🇺🇸 on April 11, 2023",Color: White | Style: Console,True,Had to upgrade to oled for portable gaming on switch games exclusives.  Best choice ever lol.  Now I need to decide what to do with old switch lol,2 people found this helpful
