product_name,rating,title,location_and_date,options,verified_purchase,text,helpful_count
Nintendo USB Switch Pro Controller,5.0,Game-Changing Controller,"Reviewed in the United States on April 13, 2023",Color: Black | Edition: Single,True,"I recently purchased the Nintendo USB Switch Pro Controller, and it has completely changed my gaming experience. As someone who loves playing games on the Nintendo Switch, I've always been a fan of the Joy-Con controllers that come with the console, but I found them to be a bit too small and cramped for extended gaming sessions. That's where the Switch Pro Controller comes in.The first thing I noticed about the controller was how comfortable it is to hold. The grip is smooth and ergonomic, and the buttons are placed in a way that makes them easy to access without feeling like you're reaching too far. The controller also has a good weight to it, making it feel substantial in your hands without being too heavy.One of the standout features of the Switch Pro Controller is its battery life. I've used it for hours on end without needing to charge it, which is a huge improvement over the Joy-Con controllers. And when it does need to be charged, it only takes a couple of hours to get back to full power.The controller is also incredibly responsive, with no noticeable input lag. The buttons and joysticks have a great feel to them, and I've found that it's made a big difference in my gameplay. I'm able to be more precise with my movements and actions, which has helped me improve in games where accuracy is key.Overall, I would highly recommend the Nintendo USB Switch Pro Controller to anyone who spends a lot of time gaming on the Switch. It's a game-changer that will improve your experience and make your gaming sessions more comfortable and enjoyable.",2 people found this helpful
Nintendo USB Switch Pro Controller,5.0,I love this controller,"Reviewed in the United States on April 11, 2023",Color: Black | Edition: Single,True,I've had this thing for awhile and  I haven't had any problems with it yet. It fits in my hands great and lasts awhile before needing to be recharged.,One person found this helpful
Nintendo USB Switch Pro Controller,5.0,Authentic product.,"Reviewed in the United States on April 15, 2023",Color: Black | Edition: Single,True,Great controller and not a knock off.,
Nintendo USB Switch Pro Controller,5.0,Great for tryharding,"Reviewed in the United States on February 16, 2023",Color: Black | Edition: Single,True,"If you intend on tryharding on your switch games this controller is great. Honestly, if you just play on your switch a lot you should probably get it. I've heard drift on the switch's base joycons is a big problem. I've not had to deal with it personally because I've been using this controller. I bought it April 2021. 2yrs ago pretty much and it hasn't had any drifting issues and can last several hours before needing to be charged. I've played super smash bros, pokemon unite, hyrule warriors - just to name some of the more click intensive games on my list. Comfortable to use too, or at least for me it's comfortable. Felt like a natural transition from using the joycons in that lil weird controller combo that comes with the switch to this controller now.",11 people found this helpful
Nintendo USB Switch Pro Controller,5.0,Can't say no to Nintendo,"Reviewed in the United States on March 29, 2023",Color: Black | Edition: Single,True,10/10 is very much good! (Japanese accent). Pretty much beats having to get it in person if you're an introvert like me.,
Nintendo USB Switch Pro Controller,5.0,Great transaction,"Reviewed in the United States on April 8, 2023",Color: Black | Edition: Single,True,It's a great controller. No complaints,
Nintendo USB Switch Pro Controller,5.0,It works,"Reviewed in the United States on March 28, 2023",Color: Black | Edition: Single,True,"It works, I’ve had no issues with it and it’s been about 3 years, kind of losing its charge quicker but that’s expected, would recommend",One person found this helpful
Nintendo USB Switch Pro Controller,5.0,Love it,"Reviewed in the United States on April 6, 2023",Color: Black | Edition: Single,True,Very nice controller,
Nintendo USB Switch Pro Controller,4.0,as advertised,"Reviewed in the United States on April 2, 2023",Color: Black | Edition: Single,True,It's a pro controller from nintendo. It's pretty good. Though there is some bounce to the analog sticks that sometimes make it register an opposite input when releasing the stick.,
Nintendo USB Switch Pro Controller,5.0,The best controller on the market right now,"Reviewed in the United States on January 31, 2019",Color: Black | Edition: Single,True,"I have large hands, and I find that most controllers are smaller than I'd like (many are much smaller than I'd like). It's been years since I used a controller that I thought was large enough to sit well in my hands (Logitech used to make one that I really liked, but it's probably been at least 15 years since they stopped making it, and their more recent controllers are all much smaller). Historically, the Playstation controllers have been particularly bad. The PS4 controller is much better than previous generations, because they adjusted the shape to make it less cramped, but it's still too small. The XBox One controller is a much better size, but for me at least, it hurts my hands to use the RB and LB buttons because of how I have to twist my hands to press them (whereas with the PS4 controller, it's really easy to move my fingers between the R1/L1 and R2/L2 buttons). The Switch Pro Controller is not quite as large as I would like, but it sits far better in my hands then either of those controllers (or any 3rd party controller that I've tried in recent years), and while it's not quite as easy to move my fingers between R/L and ZR/ZL on the Switch Pro Controller as it is  on the PS4 controller, it's close. So, for me at least, the Switch Pro Controller is far more comfortable than either the XBox One or PS4 controllers (or any 3rd party controller that I've found in recent years). So, from a comfort standpoint, this controller is a _huge_ win for me. No other controller is even close.I very much wish that the analog sticks were lined up like they are with the PS systems. Most of the controllers that I've used over the years have had the analog sticks on the same level, and I much prefer that to having them staggered like the XBox systems do and the Switch Pro Controller does. However, the comfort improvements with the shape and size of the controller vastly outweigh that problem for me.I have heard that the dpad on the Switch Pro Controller isn't that great, and some folks end up pressing up or down when they mean to press left or right (or vice versa), but that hasn't been a big problem for me, and there are videos on youtube which show you how to fix that problem. So, it's disappointing that they didn't make a better dpad, but it hasn't been enough of an issue for me to care.Ultimately, the Switch Pro Controller is so much better for me than any other controller currently on the market that I'm actually using it not only on my Switch, but I'm also using it on the PC, PS3, and PS4. I had to get adapters to get it to work on the PS3 and PS4, but it works, and for me at least, it's a huge improvement. If I had an Xbox of any kind, I'd get the appropriate adapter and be using it there too. Right now, the Switch Pro Controller is the only controller that I use.As an interesting bonus, the fact that the Switch Pro Controller has digital triggers actually makes playing games on systems whose official controllers have analog triggers more pleasant (even aside from the comfort improvements that come with the shape of the controller), because all of the games that I play either just treat them as buttons anyway or use them for something like the speed you run at, and I've never wanted to run at anything other than full speed, so having a simple button to press rather than having to push in an analog trigger and make sure that I press it in all the way is a really nice improvement. I'd probably feel differently if I played racing games (which apparently like to use the analog triggers for their throttle), but for the games that I do play, it's been great. And of course, if you only use the Switch Pro Controller on the Switch, then the way the triggers work is never a problem, because that's the way that all of the official Switch controllers are.So, from both a comfort and functionality standpoint, this controller is a huge win for me.",3 people found this helpful
Nintendo USB Switch Pro Controller,5.0,Awesome,"Reviewed in the United States 🇺🇸 on March 11, 2023",Color: Black | Edition: Single,True,Love this thing. Had some drift out of the box but I went into the settings on the Switch and updated the controllers. That fixed it. Upgraded from a third party wired controller and I can’t go back. 🤓,One person found this helpful
Nintendo USB Switch Pro Controller,4.0,Good controller,"Reviewed in the United States 🇺🇸 on April 17, 2023",Color: Black | Edition: Single,True,Works great with my game system,
Nintendo USB Switch Pro Controller,4.0,La mejor opción para no dañar los joycons,"Reviewed in the United States 🇺🇸 on March 25, 2023",Color: Black | Edition: Single,True,"Realmente funciona mucho mejor q usar los joycons que siempre se les dañan los análogos, aunq se a utilizado muy poco un día de estos el personaje de animal crossing empezó a caminar solo",
Nintendo USB Switch Pro Controller,5.0,Best controller,"Reviewed in the United States 🇺🇸 on March 25, 2023",Color: Black | Edition: Single,True,"Don't waste your money on anything else, this is the controller you want... trust me",2 people found this helpful
Nintendo USB Switch Pro Controller,5.0,Most important switch accessory,"Reviewed in the United States 🇺🇸 on February 28, 2023",Color: Black | Edition: Single,True,"If you don't have a pro controller yet and you are on the fence, get one. The pro controller is very easy to use in your switch and is very comfortable to use. The battery life on these is actually really nice and is rechargeable. I'd recommend this to any switch owner.",One person found this helpful
Nintendo USB Switch Pro Controller,5.0,Awesome controller!,"Reviewed in the United States 🇺🇸 on March 16, 2023",Color: Black | Edition: Single,True,This is the gold standard for all wireless Switch Controllers.  Nobody does it better than Nintendo!,
Nintendo USB Switch Pro Controller,5.0,Game changer,"Reviewed in the United States 🇺🇸 on February 20, 2023",Color: Black | Edition: Single,True,"If you’re still playing the switch without a pro controller, you’re missing out. Fits great in the hand and makes playing on tv fee like you’re playing an actual console game. Get Nintendo brand controller, you’ll regret getting the cheaper options",4 people found this helpful
Nintendo USB Switch Pro Controller,5.0,Great,"Reviewed in the United States 🇺🇸 on March 5, 2023",Color: Black | Edition: Single,True,This is one of my favorite controllers of all time.,
Nintendo USB Switch Pro Controller,5.0,Total control,"Reviewed in the United States 🇺🇸 on February 8, 2023",Color: Black | Edition: Single,True,"You get this because you value HD rumble, and NFC capabilities. Mostly for the rumble, as it's quite different than standard rumble. The controller feels well, in the hand, and it is automatically recognized as a pro controller by the system/games.",
Nintendo USB Switch Pro Controller,4.0,Better than Joy-Con,"Reviewed in the United States 🇺🇸 on October 8, 2022",Color: Black | Edition: Single,True,"It's a nice, quality controller, and a much needed upgrade over the Joy-Con controller that's included with the Switch.It's overpriced, like everything Nintendo sells. But I was surprised to see that the quality is far superior to the Joy-Con quality, which costs even more. Obviously, the Joy-Con's have their place. I would say, if you fall into one of these categories, you'll want to pickup the Pro controller:- You're an adult, used to XBOX and/or PS controllers.- Your Switch stays connected to the TV dock all the time.It's very similar to the XBOX controller in button layout. The size is in that sweet spot range for medium/large hands. All the buttons and sticks feel nice. It has a dense feel to it, and I don't feel any plastic creaking...it's quality. I also appreciate the ability to have it charging while I'm playing, without having to pay for a charge grip. My only complaint is the price, as I've already stated. But that's an overall complaint I have with Nintendo in general.As an adult that only plays the Switch connected to my TV, I wouldn't play without this. I definitely recommend it without a doubt for that use case.",16 people found this helpful
Nintendo USB Switch Pro Controller,5.0,"Works perfect, great for ""Adult"" hands","Reviewed in the United States on January 14, 2023",Color: Black | Edition: Single,True,"Our family plays video games.  Not all the time, but we do.  I was raised on them.  From the Atari 2600 then to every version of the PlayStation and almost all versions of Nintendo, except the Wi U, what was that mess?  Then a multitude of portables. My son gave me a Switch for Christmas, playing docked with what it came with is okay, but this is much better.  It's a no brainer, no fumbling over buttons.",2 people found this helpful
Nintendo USB Switch Pro Controller,5.0,Amazing controller,"Reviewed in the United States on February 22, 2023",Color: Black | Edition: Single,True,"I have no complaints, that’s how good it is.",
Nintendo USB Switch Pro Controller,4.0,Great controller with one main problem *UPDATE 07/07/18*,"Reviewed in the United States on May 21, 2018",Color: Black | Edition: Single,True,"*UPDATE*After a day with the controller, I decided to call Nintendo's customer support. They ran me through the typical home diagnostics (update system/controllers, perform ""input test"") and then recommended I send in the controller for repair. So I sent it in.Within a couple weeks, I was opening the box they sent back, and the receipt said ""Service Performed: Product Replacement"". So I guess they just gave me a newer controller? (10 years ago I sent in a Wii, and they returned a replacement Wii, so I guess that's just how they often do it.)I loaded Puyo Puyo Tetris and tried out the controller in Tetris, and the dpad seemed to worked flawlessly. After playing some actual games, I feel like there is still some odd sensitivity that causes me to mess up a direction sometimes, but not like it did before. I will probably still play Puyo Puyo with the JoyCons.I'll leave my rating of the product at 4 stars, since it should have worked that well in the first place, but I am now very happy with my controller.I might want another one someday though, so hopefully this doesn't have to happen again.*END UPDATE*After reading about how the corded controllers tend to have 0-2 frames of input lag, and knowing that I'd rather not play most games with the joycons, I decided to get a pro controller along with my new Switch.Now, the only game I've played is Puyo Puyo Tetris, so I haven't really tested all the functionality of the controller (I'll play Super Mario Odyssey soon though), so I'm not sure about the quality of the control sticks or how well the trigger buttons work yet. But here is what I know:ProsLooks really sleek ( I only see two screws; phillips head)Charging cable plugs into top of controllerTriggers/bumpers have a bit more resistance than the Wii U gamepad bumpers, which were definitely too easy to pressButtons are all pretty big, including dpadSmaller buttons (Plus, Minus, Home, and screenshot) are conveniently located within thumb reachEvery part of it feels good to touchConsCharging cable is USB, but only seems to work if plugged into the switch dock's USB portUp on the dpad is too easy to pressSo that last point is really upsetting; in Puyo Puyo Tetris, you need to press dpad up a lot to instantly drop tetris blocks, but there is a high chance I will drop them accidentally whenever I press left or right on the dpad. Dpad down has significantly more resistance and I will never accidentally press that. For many games this might not be an issue, but I honestly think I'll have to use joycons for Puyo Puyo Tetris. It's not horrible, but I should be able to use this controller well for any game, so there's no way I can give it five stars.I will also note that I prefer to grip gamecube controllers with two fingers up on each hand (i.e. one each for L, R, ZL, and ZR), but this controller seems a bit less comfortable that way, probably because your middle fingers have less leverage, since the trigger buttons are smaller and not curved. However, the buttons are positioned such that having only one finger for two buttons is quite natural (more so than with joycons). Using only your index fingers is probably more ergonomic anyways.Overall I really like this controller. I don't have a lot to compare it to, but I've played Super Smash Bros. Melee competitively for a long time (which means I've gone through a lot of gamecube controllers, and often cleaned them/fixed them myself), and this controller feels like high quality hardware. I'm just really disappointed about the dpad up button being to easy to depress. Maybe other people/pro controllers don't have this problem, but it seems like something that shouldn't have been overlooked.",5 people found this helpful
Nintendo USB Switch Pro Controller,5.0,The Best Controller,"Reviewed in the United States on January 31, 2023",Color: Black | Edition: Single,True,"Pro controllers are the best for a reason. They are rock solid, easy to set up, and work great. If you want the best, go with a branded Nintendo Pro Controller.",One person found this helpful
