product_name,rating,title,location_and_date,options,verified_purchase,text,helpful_count
"SAMSUNG Galaxy Tab A7 Lite 8.7"" 32GB WiFi Android Tablet w/ Long Lasting Battery, Compact, Slim Design, Sturdy Metal Frame, US VersonGray",5.0,Great Tablet for kids,"Reviewed in the United States on April 6, 2023",Style: WiFi Tablet | Color: Gray,True,"I purchase 2 for both of my boys. My youngest tablet worked great for about a month. Then out of nowhere, it wouldn't turn on. It was charged and even tried to factory reset it. It never turned back on. You would think I would give it 1 star because of this .. NOPE.I was out of policy and reached out to Amazon who then reach out to the seller. Because I was still under their policy.Within 10 mins, I was refunded and was able to order a new one and send the old one back. Customer service was AMAZING !!!!! I did purchase a warranty to make sure they are covered.",
"SAMSUNG Galaxy Tab A7 Lite 8.7"" 32GB WiFi Android Tablet w/ Long Lasting Battery, Compact, Slim Design, Sturdy Metal Frame, US VersonGray",5.0,Great product and easy to use.,"Reviewed in the United States on April 1, 2023",Style: WiFi Tablet | Color: Gray,True,"Works just like the larger Samsung tablets which I also have purchased. I bought this one for my grandson who is four years old. I bought it about 14 months ago and it has been dropped, thrown and handled roughly and it still works perfectly and looks great. It charges fast and is long lasting. Be sure to purchase a protective case. The soft cases with handles works best for kids. I prefer the hard cases but be sure to get one that allows easy access to the volume controls Some of the hard cases completely seal over the volume controls making them hard to operate and can damage them. these tablets also have touch screen volume control. This tablet is also very fast.",4 people found this helpful
"SAMSUNG Galaxy Tab A7 Lite 8.7"" 32GB WiFi Android Tablet w/ Long Lasting Battery, Compact, Slim Design, Sturdy Metal Frame, US VersonGray",5.0,Nice Tablet at a Great Price,"Reviewed in the United States on March 23, 2023",Style: WiFi Tablet | Color: Gray,True,"This tablet is not slow, regardless of what some of the reviews say. Of course I don't use it for gaming. I use it for everyday things like browsing, texting, checking Mint Money, email, Netflix, etc. It is not *quite* as zippy as my iPad, but it also didn't cost $600. I was concerned about it slowing down when the Android update came around, but it just updated to Android 13 this morning and it's still plenty fast! I did disable as much of the Samsung bloatware as it would let me and uninstalled or hid the other apps I never use. I'm quite pleased with it. I had an old Tab A that was very slow when browsing and it was capped at Android 9. This one blows that Tab A out of the water and even has a larger, brighter screen. I may use this instead of replacing my iPad (which is having issues). I like the 8.7"" screen. The iPad always seemed a bit big, but I wasn't ready to shell out $500 for a mini.Update 4/12/23: For those finding things to be a bit slow, make sure you turn OFF the RAM Plus ""feature"". It slows everything down. Go to settings->battery and device care->memory->RAM Plus-OFF. It really makes a lot of difference!",29 people found this helpful
"SAMSUNG Galaxy Tab A7 Lite 8.7"" 32GB WiFi Android Tablet w/ Long Lasting Battery, Compact, Slim Design, Sturdy Metal Frame, US VersonGray",5.0,Great Purchase,"Reviewed in the United States on March 23, 2023",Style: WiFi Tablet | Color: Gray,True,"Why Buy On Amazon+ I bought this tablet because my outdated iPad mini two finally gave out on me. Anywhere I tried to purchase the device in-person over charged and required me to purchase another phone/internet line on their carrier or mine. Getting one here on Amazon, where I don't need to pay for all the extras over the course of 2-3 years and where I can enjoy it for my simple internet-based tasks just made sense (and was a lot cheaper).Usefulness- The battery life is nothing like an Apple counterpart, but it still holds a decent charge. Carry a battery pack and a charger cable, and you should be fine for the day.+ It connects to hot-spots well, so if you can use the internet on your phone or connect to wifi, then you should be capable of achieving access to the internet without needing to add a line with your carrier.I am very happy about the purchase.",14 people found this helpful
"SAMSUNG Galaxy Tab A7 Lite 8.7"" 32GB WiFi Android Tablet w/ Long Lasting Battery, Compact, Slim Design, Sturdy Metal Frame, US VersonGray",4.0,Good quality to price,"Reviewed in the United States on March 14, 2023",Style: WiFi Tablet | Color: Silver,True,"I have dropped this thing so many times but it still works very well. It's not good for extensive schoolwork but can be used for some. I got it to hold my digital textbooks and record my lectures as I took notes on my computer. Any app that works on your phone (Android only) works on the tablet. Really good for travel or for something just a little bit bigger than a phone (it is not very big). I use Bluetooth headphones and speakers almost exclusively and it connects so well. It also had a headphone jack. Its Wi-Fi connectivity was good. It even connects to my sketchy campus Wi-Fi. It has a long-lasting battery life (I could use it for 3 days before needing to charge it in most cases), though certain apps will drain it faster just like any other device.",18 people found this helpful
"SAMSUNG Galaxy Tab A7 Lite 8.7"" 32GB WiFi Android Tablet w/ Long Lasting Battery, Compact, Slim Design, Sturdy Metal Frame, US VersonGray",4.0,Perfectly satisfactory tablet; terrible setup routine,"Reviewed in the United States on February 18, 2023",Style: WiFi Tablet | Color: Gray,True,"The tablet is just fine. But the setup procedure is so frustrating that I almost sent it back. The problem is that after you go through the setup steps that you encounter when you first turn the device on--and the device tells you that you are all set--they download update after update in the background. If you try to download the app for which you bought the tablet--say, Kindle--the device just appears to hang. The same if you try to download a book to your Kindle. If you pull down the notifications panel you get a hint about what's going on, but nothing to suggest that the process is going to bring your device to its knees. It is this sneaky kind of bandwidth theft that I waists my time trying to figure out that really frustrates me. If they had just said, ""Look, we have to download a bunch of updates. It will take about an hour. So just set the device aside and do something else until we finish,"" I would have been perfectly satisfied. It is the way they mislead you that is unacceptable. It's also unnecessary. Stupid!",58 people found this helpful
"SAMSUNG Galaxy Tab A7 Lite 8.7"" 32GB WiFi Android Tablet w/ Long Lasting Battery, Compact, Slim Design, Sturdy Metal Frame, US VersonGray",4.0,Battery dies quickly!,"Reviewed in the United States on March 27, 2023",Style: WiFi Tablet | Color: Silver,True,"I bought this tablet because of the size and comments said it had a great battery. I use it to read books, watch teaching videos and check my email.  I'm not using it for hours at a time but i have to charge it quite often.  The touch screen seems slow when I change the page. I realize it is a cheaper tablet so I probably shouldn't expect perfection, but I am disappointed in the battery.",3 people found this helpful
"SAMSUNG Galaxy Tab A7 Lite 8.7"" 32GB WiFi Android Tablet w/ Long Lasting Battery, Compact, Slim Design, Sturdy Metal Frame, US VersonGray",4.0,Great - for the price,"Reviewed in the United States on February 1, 2023",Style: WiFi Tablet w/Cover | Color: Silver,True,"I really like this tablet for what I paid for it (at the time it was on sale for $99) - it does everything I need.  HOWEVER - it's a bottom of the line product and there are a few places where it shows:Lagginess - booting up, installing apps, opening apps is slow.  However once the tablet settles down and has everything loaded, it runs fine.Touchscreen - a little bit of lag on the touchscreen too.Display- good enough but not incredibly sharp.  Pales compared to say an iPhone or a more expensive android phone.With that said the tablet was extremely inexpensive and is great for basic use.  Simple games, shows, web browsing all work well.  There is an actual headphone jack, which is great to have these days.  It's a good size and weight, not too large to be unwieldy but more comfortable for viewing than a phone.I think this tablet is an extremely good value despite its flaws.  I would buy it again for my needs and recommend it for anyone looking for something inexpensive for casual use.",34 people found this helpful
"SAMSUNG Galaxy Tab A7 Lite 8.7"" 32GB WiFi Android Tablet w/ Long Lasting Battery, Compact, Slim Design, Sturdy Metal Frame, US VersonGray",4.0,Decent,"Reviewed in the United States on March 24, 2023",Style: WiFi/LTE Tablet (Verizon) | Color: Gray,True,Not a high end tablet so it works fairly well.  If you want something that is fast then this is not the tablet for you.  It runs well but can be sluggish at times. Only real thing I wish for in the next version is more memory.  The included 32 is not enough now a days and I the memory card that was in it went bad.,4 people found this helpful
"SAMSUNG Galaxy Tab A7 Lite 8.7"" 32GB WiFi Android Tablet w/ Long Lasting Battery, Compact, Slim Design, Sturdy Metal Frame, US VersonGray",5.0,great tablet,"Reviewed in the United States on March 28, 2023",Style: WiFi Tablet | Color: Silver,True,"This is a replacement for a previous Samsung tablet that I purchased for traveling.  The previous 8 inch tablet served the purpose well, but is no longer being updated by Samsung.  This one is lightweight, has a larger screen size, updated to new Android version, and will be updated by Samsung for a while longer.  I think it will be perfect for my travels.",4 people found this helpful
