product_name,rating,title,location_and_date,options,verified_purchase,text,helpful_count
"SAMSUNG Galaxy Tab A8 10.5” 32GB Android Tablet w/ LCD Screen, Long Lasting Battery, Kids Content, Smart Switch, Expandable Memory, US Version, Silver, Amazon Exclusive",5.0,Bought for Gaming - Works Great,"Reviewed in the United States 🇺🇸 on April 12, 2023",Color: Silver | Size: 64GB,True,"If you're looking for a good gaming tablet with little to no fuss and happiness, ignore the year this thing came out. It's still top notch!We've only had this about a month. I'll need to update this review down the line, but I wanted to get the basic review up for anyone looking like I was.Hubby plays one game. ONE. He plays an MMO game with RTS that is persistent, meaning it continues even when he isn't logged in. Lags are literally deadly to his account. I hate reviews that say ""I play games"" but don't tell you if the game is an MMO or freaking Wordle/Solitaire, so I'm making it clear.All that said, his eyesight isn't the greatest, and he needed a size-up from his phone. He decided this was what he wanted. He ADORES it!Great picture quality, fantastic battery life, no lag to speak of that isn't from the game server itself, gorgeous sound that will terrify your other half if you forget you had it turned up and randomly start playing something at 2am while laying next to them!It has an extra memory slot, but as he is only playing the one game for now, I haven't installed the card I bought for it, so I can't speak to that as yet.The only complaint I have is that his game field doesn't expand when turning the tablet to landscape. It stays the same size it would be on his phone. When playing the game on the PC, the field is enlarged. On this tablet, you don't get that. Whatever Google has set up for a mobile game is what you'll see. However, it'll still be larger and easier to see because the tablet is larger than your phone, so there is that!I hope this helps you decide!",8 people found this helpful
"SAMSUNG Galaxy Tab A8 10.5” 32GB Android Tablet w/ LCD Screen, Long Lasting Battery, Kids Content, Smart Switch, Expandable Memory, US Version, Silver, Amazon Exclusive",4.0,Experience the Ultimate Entertainment Hub with the SAMSUNG Galaxy Tab A8,"Reviewed in the United States 🇺🇸 on April 9, 2023",Color: Dark Gray | Size: 32GB,True,"As a technology enthusiast, I am always on the lookout for the latest and greatest devices that offer exceptional performance and features. That's why I was excited to try out the SAMSUNG Galaxy Tab A8 10.5” Android Tablet, and let me tell you, it did not disappoint!Firstly, the 10.5-inch LCD screen is nothing short of stunning. The colors are vibrant, the images are crisp and clear, and the viewing angles are excellent. Whether you're streaming your favorite movies or playing games, the screen provides an immersive experience that will leave you feeling completely engaged.Under the hood, the tablet is powered by a Snapdragon 450 processor and 3GB of RAM, providing snappy performance that can handle anything from web browsing to multitasking with ease. The 32GB of internal storage is also a welcome addition, allowing you to store all your favorite apps, games, and media files without having to worry about running out of space.Another standout feature of this tablet is its long-lasting battery life. With a 7300mAh battery, you can use the tablet for up to 14 hours on a single charge, which means you can binge-watch your favorite shows or movies without having to worry about running out of juice.But what really sets the SAMSUNG Galaxy Tab A8 10.5” apart from other tablets on the market is its entertainment-focused features. The tablet comes with Dolby Atmos surround sound technology, providing an immersive audio experience that will make you feel like you're in the middle of the action. The tablet also has a Kids Mode, which allows you to set up a safe and fun environment for your little ones to enjoy games and apps without accidentally accessing inappropriate content.Overall, I would highly recommend the SAMSUNG Galaxy Tab A8 10.5” Android Tablet to anyone looking for a high-performance device that offers exceptional entertainment features. It is the ultimate entertainment hub that will keep you and your family entertained for hours on end!",5 people found this helpful
"SAMSUNG Galaxy Tab A8 10.5” 32GB Android Tablet w/ LCD Screen, Long Lasting Battery, Kids Content, Smart Switch, Expandable Memory, US Version, Silver, Amazon Exclusive",5.0,"Samsung Galazy tab A8 10.5"" works well for reading the newspaper","Reviewed in the United States 🇺🇸 on April 12, 2023",Color: Dark Gray | Size: 32GB,True,"I probably don't use the Samsung Galaxy 10"" Tab A8 for much except reading the newspaper, but the app works great on it and it doesn't well well on my other devices (kindle and ipad).  I also travel with it since it weighs less than my laptop and does mostly the same things.  Since I have a Samsung phone, it was an easy learning experience and the apps for other things transferred over.  Kind of slow for surfing the web, but that is forgivable because of the overall convenience.  Bought a very protective inexpensive cover (and glass screen) from Amazon so the tablet will hopefully last a long time.",2 people found this helpful
"SAMSUNG Galaxy Tab A8 10.5” 32GB Android Tablet w/ LCD Screen, Long Lasting Battery, Kids Content, Smart Switch, Expandable Memory, US Version, Silver, Amazon Exclusive",4.0,"We LOVE this tablet itself, but I recommend you choose a seller & condition wisely!","Reviewed in the United States 🇺🇸 on April 7, 2023",Color: Silver | Size: 32GB,True,"This was our 2nd purchase of this tablet because this tab is great AND just right for our young kids (7 & 4 years old)! I took a gamble & ordered 'Like New in Original Box' for our 2nd purchase (due to my budget at the time) except what we received actually had pretty severe damage of the box itself. Personally, it's hard to imagine this kind of damage to packaging without any effects to the tablet. Reluctantly we set it up & gave it a go, but the screen would just randomly turn black or restart, so we returned it pretty quickly (although I am still waiting for my refund despite the tablet has been delivered to return center already). Needless to say I bought a 'NEW' tablet & we are back up & running😉",2 people found this helpful
"SAMSUNG Galaxy Tab A8 10.5” 32GB Android Tablet w/ LCD Screen, Long Lasting Battery, Kids Content, Smart Switch, Expandable Memory, US Version, Silver, Amazon Exclusive",5.0,Great value for the money!,"Reviewed in the United States 🇺🇸 on April 13, 2023",Color: Pink Gold | Size: 128GB,True,"I had a couple of pixel c's, but eventually, they both bricked on me. I have no idea why they did that.Since the only thing I can get is a used pixel c, I ordered this as a replacement. I found it be very good! I would buy this over pixel c.",One person found this helpful
"SAMSUNG Galaxy Tab A8 10.5” 32GB Android Tablet w/ LCD Screen, Long Lasting Battery, Kids Content, Smart Switch, Expandable Memory, US Version, Silver, Amazon Exclusive",4.0,Low vision user,"Reviewed in the United States 🇺🇸 on February 5, 2023",Color: Silver | Size: 64GB,True,"I am a low vision user and I have used devices that cost between 1000 and $1400 in the past. I’m sure you all know what those devices are and I found this for the price to be very helpful as a back up device to my more expensive device. It has some issues that you need to work around like the sign in screen where you need to be able to see the numbers to sign in, but that can be changed to facial acceptance. Overall, it’s relatively easy to work with if you’ve had an analog phone otherwise it takes a while. You cannot set this up if you can’t see so far I’ve had two people help me along the way with simple things to get over some speed bumps that are in there  But they probably spend 10 minutes for one person and a half hour for the other person so you can set it up pretty much as a visually impaired person because of the voice over speak feature. Again it’s not simple it’s not 100% wonderful but it’s doable and if you just take the time and work on it over a few days, rather than trying to get it all done in one day you’ll be better off and less aggravated. Amazon does provide an 800 number for assistance. I have not called it yet , but I will in the future if I need to. Overall, I am satisfied with the device for the price and it is a great secondary device to my primary device if that makes sense. Also, I have use Siri to write this, so sometimes it puts in strange words or things out of space  But I’m sure you can figure it out. Thanks for taking the time to read my review. Take care again just take your time setting this thing up. If you can’t see and even if you can see sometimes you need to just put it down and walk away :-) thanks for reading my review be well",101 people found this helpful
"SAMSUNG Galaxy Tab A8 10.5” 32GB Android Tablet w/ LCD Screen, Long Lasting Battery, Kids Content, Smart Switch, Expandable Memory, US Version, Silver, Amazon Exclusive",5.0,Great Digital Picture Frame,"Reviewed in the United States 🇺🇸 on April 5, 2023",Color: Dark Gray | Size: 32GB,True,We wanted a picture frame but they are all over 100 bucks. So I bought this on warehouse deals for around the same price.  Make a goodle drive folder with images and get an app from the store to make it into a photo frame.  Wala.  And you get a tablet to play with too.  Made more sense.  Nice and thin and well made.,One person found this helpful
"SAMSUNG Galaxy Tab A8 10.5” 32GB Android Tablet w/ LCD Screen, Long Lasting Battery, Kids Content, Smart Switch, Expandable Memory, US Version, Silver, Amazon Exclusive",4.0,OK but slowwwwwwwww to boot up!,"Reviewed in the United States 🇺🇸 on April 13, 2023",Color: Silver | Size: 128GB,True,"Once booted up this tablet is easy to use and we've streamed a few services which were mirrored (shared) on our Samsung TV with no problem whatsoever. However, to boot up this baby you must be patient. Very patient. It takes minutes to fully boot up. Even our old desktop PC is faster. We tried to find what software is causing this but nothing seems obvious. Anyone out there in Amazon Land have a solution???",2 people found this helpful
"SAMSUNG Galaxy Tab A8 10.5” 32GB Android Tablet w/ LCD Screen, Long Lasting Battery, Kids Content, Smart Switch, Expandable Memory, US Version, Silver, Amazon Exclusive",5.0,I was skeptical,"Reviewed in the United States 🇺🇸 on March 27, 2023",Color: Silver | Size: 32GB,True,"So far I love my new tablet. The touchscreen is great . Transferring all of my information was easy . Also,I found the directions how to get everything set up on the Samsung list on the tablet. Samsung does it all except for pushing the keyboard for ya. I'm not very tech smart so I need all the help I can get 😀 I was skeptical after seeing a couple of bad reviews. But I knew Samsung has good products. I'm glad I made the choice of purchasing. 👌",6 people found this helpful
"SAMSUNG Galaxy Tab A8 10.5” 32GB Android Tablet w/ LCD Screen, Long Lasting Battery, Kids Content, Smart Switch, Expandable Memory, US Version, Silver, Amazon Exclusive",5.0,Does everything I need it to do,"Reviewed in the United States 🇺🇸 on April 3, 2023",Color: Dark Gray | Size: 32GB,True,"Bought this so I can have an on the go digital player sheet for D&D and to use for other D&D stuff. Does all that very well and the batterie last a good long while. Lots of bloat data though, only ha e a few things on it and it's over 50% of its storage, nothing a micro SD didn't solve though",2 people found this helpful
"SAMSUNG Galaxy Tab A8 10.5” 32GB Android Tablet w/ LCD Screen, Long Lasting Battery, Kids Content, Smart Switch, Expandable Memory, US Version, Silver, Amazon Exclusive",4.0,Easy to use,"Reviewed in the United States 🇺🇸 on April 11, 2023",Color: Silver | Size: 32GB,True,This was a gift for my 82 year old mother who loves to play solitary daily.  It is all that she wanted it to be.  The screen is big enough to see and it is light enough for her to handle.  For a person that does not like technology she loves her tablet and never leaves home without it.,2 people found this helpful
