product_name,rating,title,location_and_date,options,verified_purchase,text,helpful_count
"SanDisk 256GB Extreme microSDXC UHS-I Memory Card with Adapter - Up to 190MB/s, C10, U3, V30, 4K, 5K, A2, Micro SD Card - SDSQXAV-256G-GN6MA",5.0,Which size and how many do you really only need?,"Reviewed in the United States 🇺🇸 on April 16, 2023",Capacity: 128GB | Style: Memory Card Only,True,"I recently purchased the SanDisk 128GB Extreme microSDXC UHS-I Memory Card with Adapter and have been thoroughly impressed with its performance. This memory card boasts impressive speeds of up to 190MB/s read speeds, which is powered by SanDisk QuickFlow Technology. I was skeptical at first, but after testing it out with my compatible devices, I can confirm that the speed is lightning-fast and saves me a lot of time during file transfers.One thing I appreciate about this memory card is that it pairs perfectly with the SanDisk Professional PRO-READER SD and microSD to achieve maximum speeds (sold separately). If you're someone who values fast transfer speeds, I would definitely recommend investing in this reader to make the most out of your SanDisk memory card.Another aspect of this memory card that I find impressive is the fast write speeds of up to 90MB/s. This is particularly helpful for fast shooting and quick data transfers. I have used this memory card in my DSLR and it has not disappointed me in terms of speed or storage capacity.The SanDisk 128GB Extreme microSDXC UHS-I Memory Card is also 4K and 5K UHD-ready with UHS Speed Class 3 (U3) and Video Speed Class 30 (V30). This means that it is perfect for recording high-quality videos and taking high-resolution photos. I have used this memory card to capture 4K videos on my compatible device and the results have been fantastic.In addition to its impressive speed and performance, the SanDisk 128GB Extreme microSDXC UHS-I Memory Card is also rated A2 for faster loading and in-app performance. This is particularly helpful for those who frequently use apps or games that require a lot of memory and speed.Overall, I would highly recommend the SanDisk 128GB Extreme microSDXC UHS-I Memory Card with Adapter for anyone who needs a reliable and fast memory card. Its speed and performance are top-notch, and the extra features like A2 performance and compatibility with SanDisk Professional PRO-READER SD and microSD make it a worthwhile investment.",
"SanDisk 256GB Extreme microSDXC UHS-I Memory Card with Adapter - Up to 190MB/s, C10, U3, V30, 4K, 5K, A2, Micro SD Card - SDSQXAV-256G-GN6MA",5.0,It’s Sooo Convenient to Have an Extra 128GB SD Card in Your Phone!,"Reviewed in the United States 🇺🇸 on March 2, 2023",Capacity: 128GB | Style: Memory Card Only,True,"I tend to fill up all the available memory space on my devices, so I really appreciate the ability to add memory to my phone (or anything else, actually), but especially my phone.  I use an app that stores all of my encrypted messages as backups on my phone (up to 12GB now), and it backs them up on a daily basis, keeping the older copies of the backup.  That adds up to serious memory use after a short time!  The only thing to do it to have to delete the old ones every few days or give up current backups…or get a new 128 GB SD card to put in the phone.  So, when I saw this SanDisk 128GB Extreme microSDXC, I ordered it.Whenever I get a new SD card the first thing I do is to fill it up with large files.  That tells me two important things:  1.  The write speed of the drive or card (in this case averaging about 30 MB/sec – you need their card reader for the much faster advertised speeds), and 2.  Whether or not it’s really the size it claims to be.  I’ve bought four different SD cards/Thumb drives that claimed to be huge (1 TB) but were actually 32 GB drives that had the hardware on the card jimmied so as to appear to be larger.  The drives would appear to copy the files correctly, but anything over the actual capacity was not really copied, only its name.  I didn’t expect that there would be any difficulty with this card (it being SanDisk and sold by Amazon), and there wasn’t.  I’m glad to say that this 128 GB SD Card actually stores the correct number of bytes (about 117 GB which is really what the 128 GB means – advertising!  Yikes!).  I just popped it into my phone and formatted it as an internal drive (I could have not formatted it and just used it as storage, but I prefer that it be integrated more closely with the phone).So, I’m very glad that I got this SanDisk 128GB card.  It’s everything that it claims to be!",15 people found this helpful
"SanDisk 256GB Extreme microSDXC UHS-I Memory Card with Adapter - Up to 190MB/s, C10, U3, V30, 4K, 5K, A2, Micro SD Card - SDSQXAV-256G-GN6MA",5.0,Required reformatting before use on Mac OS,"Reviewed in the United States 🇺🇸 on March 30, 2023",Capacity: 1TB | Style: Memory Card Only,True,"I bought this disk for Mac OS TimeMachine backup.  When I went to reformat using the Mac diskutil applications the option for APFS was not presented.  The APFS format is required for efficient backups.  However, I was able to reformat to APFS on the commandline.Use ""diskutil list"" to show what the disk names are. Mine was disk4% diskutil partitionDisk disk4 GPT APFS  FooBar  100%  (Note: GPT is requried on this command.)Once this was completed the disk had a proper GUID ""Scheme"" so an APFS was creatable. And normal ""diskutil"" operations are available.",2 people found this helpful
"SanDisk 256GB Extreme microSDXC UHS-I Memory Card with Adapter - Up to 190MB/s, C10, U3, V30, 4K, 5K, A2, Micro SD Card - SDSQXAV-256G-GN6MA",5.0,Works great,"Reviewed in the United States 🇺🇸 on April 12, 2023",Capacity: 64GB | Style: Memory Card Only,True,"Does exactly what I was wanting it to.  I needed this size card for my Sena 10C Pro and was glad to get the 2 pack so I can rotate them in/out of the camera as they fill up.  I read reviews that some cards wouldn't be compatible for my use, but I formatted the card as instructed by the Sena instructions and have not had any issues. Great product.",
"SanDisk 256GB Extreme microSDXC UHS-I Memory Card with Adapter - Up to 190MB/s, C10, U3, V30, 4K, 5K, A2, Micro SD Card - SDSQXAV-256G-GN6MA",5.0,nothing compares!,"Reviewed in the United States 🇺🇸 on April 13, 2023",Capacity: 64GB | Style: Memory Card Only,True,"the write speeds were consistently in the mid 80s. this exceeds what's reported!! no other uhs-3 micro sd of mine comes close. i have samsung and pny. so far, being acquired by wd hasn't hurt their performance. only time will tell regarding reliability. and yes, i came completely outta pocket for this purchase.",
"SanDisk 256GB Extreme microSDXC UHS-I Memory Card with Adapter - Up to 190MB/s, C10, U3, V30, 4K, 5K, A2, Micro SD Card - SDSQXAV-256G-GN6MA",5.0,"Steam deck, better than expected","Reviewed in the United States 🇺🇸 on April 10, 2023",Capacity: 1TB | Style: Memory Card Only,True,"This chip is pretty Amazzing. It does everything as advertised except the space, which turned out to be something around 930/1tb, which is pretty standard since they have read/write software built in for higher speeds. Speaking of speeds, formatting this took less than 20 seconds and loads just as fast as the 256version internal storage which is stupid fast. I have like 2 second load times in re4 remake and Spider-Man miles morales",5 people found this helpful
"SanDisk 256GB Extreme microSDXC UHS-I Memory Card with Adapter - Up to 190MB/s, C10, U3, V30, 4K, 5K, A2, Micro SD Card - SDSQXAV-256G-GN6MA",5.0,Good upgrade,"Reviewed in the United States 🇺🇸 on April 1, 2023",Capacity: 256GB | Style: Memory Card Only,True,"So I bought a new phone and it has a 128GB internal storage, but it has a 256GB capacity hold for a micro SD card. So I got this, because my previous phone did both for 128 GB internal and SD. So I usually put my music, movies, shows and comic books and regular books on it. Super fast, hopefully it'll last for years to come. Will up date if needed.",One person found this helpful
"SanDisk 256GB Extreme microSDXC UHS-I Memory Card with Adapter - Up to 190MB/s, C10, U3, V30, 4K, 5K, A2, Micro SD Card - SDSQXAV-256G-GN6MA",4.0,Not Formatted,"Reviewed in the United States 🇺🇸 on April 10, 2023",Capacity: 256GB | Style: Memory Card Only,True,"I’ve never had a card come un-formatted so I had to google how to format before I could use. I think the advertisement should tell u up front so that u can be prepared and not have to rush to figure it out right before a meeting!! Turns out it only takes a few clicks to format so not that big of a deal, just would have been nice to no… or maybe I missed it. Anywhoo, it works as designed so no other complaints!",
"SanDisk 256GB Extreme microSDXC UHS-I Memory Card with Adapter - Up to 190MB/s, C10, U3, V30, 4K, 5K, A2, Micro SD Card - SDSQXAV-256G-GN6MA",5.0,"So far, so good","Reviewed in the United States 🇺🇸 on March 27, 2023",Capacity: 1TB | Style: Memory Card Only,True,After a few weeks of use it seems to be holding up. I hope it holds up for quite sometime. My phone can take 2tb cards but this was the only large card I could find. I have to use my phone as a security camera while I sleep because we have a few peeping tom's and it records all night every night (takes forever to go back through the footage). I can't afford security cameras but this is working so far.,4 people found this helpful
"SanDisk 256GB Extreme microSDXC UHS-I Memory Card with Adapter - Up to 190MB/s, C10, U3, V30, 4K, 5K, A2, Micro SD Card - SDSQXAV-256G-GN6MA",5.0,Like the other Sandisk extremes : this one works great.,"Reviewed in the United States 🇺🇸 on April 7, 2023",Capacity: 256GB | Style: Memory Card Only,True,"I like that these have decent speed and accept multiple rewrites without failing. One can write and rewrite to the Sandisk Extremes  hundreds of times without loss of data or complete failure. This is better than the numerous cheap alternatives for sale, that tend to fail after writing to a few times.",One person found this helpful
