product_name,rating,title,location_and_date,options,verified_purchase,text,helpful_count
"Seagate Portable 2TB External Hard Drive HDD — USB 3.0 for PC, Mac, PlayStation, & Xbox -1-Year Rescue Service (STGX2000400)",5.0,"Lightweight, Fast, Portable","Reviewed in the United States 🇺🇸 on April 3, 2023",,True,"I really love this hard-drive!Pros:The storage capacity of this hard drive is truly impressive. I was able to back up all my important files, including photos, videos, music, and documents, with plenty of space to spare.The transfer speed is very fast thanks to the USB 3.0 connection. I was able to transfer large files, such as high-resolution videos and RAW photo files, quickly and easily.The hard drive is very lightweight and compact, making it easy to carry around with me. I appreciate that it doesn't take up much space on my desk or in my bag.The design of the hard drive is sleek and modern, with a brushed metal finish that looks great. It matches well with my Mac mini and other devices.Setting up the hard drive was extremely easy. I simply plugged it into my MacBook Pro and was able to start transferring files immediately. I didn't have to install any software or drivers.The price of this hard drive is very reasonable, especially considering the large storage capacity and fast transfer speeds.Cons:While the hard drive isn't particularly loud, it can be a bit noisy when it's in use. I noticed a slight humming sound when transferring large files.The hard drive doesn't come with a protective case or cover, which could be a concern if you plan to travel with it frequently. I would recommend purchasing a separate case or sleeve to protect it from scratches and damage.This thing provides plenty of storage space and fast transfer speeds, making it an excellent choice for anyone who needs to back up large amounts of data. The hard drive is extremely lightweight, compact, and easy to use, with a sleek design that looks great. While the noise level and lack of a protective case are minor concerns, they do not detract from the overall quality and value of the product. I would highly recommend the Seagate Portable 2TB External Hard Drive HDD to anyone in need of a reliable and high-capacity external hard drive.",18 people found this helpful
"Seagate Portable 2TB External Hard Drive HDD — USB 3.0 for PC, Mac, PlayStation, & Xbox -1-Year Rescue Service (STGX2000400)",5.0,Great External Hard Drive!! A+++++,"Reviewed in the United States 🇺🇸 on April 10, 2023",,True,"I use this 2TB Seagate Portable Hard Drive for my Gaming PC! It works absolutely great! It's so easy to use and you can just drag all your files to it. I use this for gaming, and the performance is absolutely amazing!! This is the one of the best things I've invested in, as my PC has no more storage left. It's great quality!",One person found this helpful
"Seagate Portable 2TB External Hard Drive HDD — USB 3.0 for PC, Mac, PlayStation, & Xbox -1-Year Rescue Service (STGX2000400)",5.0,Easy to use!,"Reviewed in the United States 🇺🇸 on March 27, 2023",,True,"After reading the reviews and questions/answers on this drive I thought I'd give it a try as I needed something to back up my macbook quickly and easily.  The easy part was most important as I'm not too tech savy at 83.  It worked perfectly!  Was easy to set up and was very fast.  It's now my go-to drive for backups and important files.  Very tiny in size, about as big as my cell phone.  With 2 T of storage, it should hold me for a while.  Great purchase.",5 people found this helpful
"Seagate Portable 2TB External Hard Drive HDD — USB 3.0 for PC, Mac, PlayStation, & Xbox -1-Year Rescue Service (STGX2000400)",5.0,Extra PS5 storage,"Reviewed in the United States 🇺🇸 on March 18, 2023",,True,"Bought this (2T) as extra storage for PS5 games.My son was frustrated with this at 1st. He wanted an internal storage unit but I talked him into this one. It is external but he won't be moving it around. Also preferred this price over the others.He figured out how to move the games over pretty quickly after plugging into the unit. You can move more than one over at a time so he loaded up 4 and it came up 100 min to move! Frustration #2. Frustration #3 was accessibility of those games and loading them back to the console to play. He didn't belive the games could be accessed when they were on the storage device.  So I talked him into lunch. :) Somethings they just need to experience the whole process to understand.Come back with a happy tummy and the games are moved over. He also figured out how to access/play the ones saved on this device so now we have no more frustration. Woo Hoo! Lol!Yes I would recommend this storage unit and my son really would too, but he won't tell me...I overheard him telling a friend about it.",50 people found this helpful
"Seagate Portable 2TB External Hard Drive HDD — USB 3.0 for PC, Mac, PlayStation, & Xbox -1-Year Rescue Service (STGX2000400)",5.0,Get what u payed for,"Reviewed in the United States 🇺🇸 on April 2, 2023",,True,not much to say but u get what u payed for 2tb HDD storage plug in/out pc. Needed a place to put alot of files and whatnot onto outside of my computers SSD's and this thing achieves what it was built for simple as that if ur confused by what that is its called READING the descriptions and other info that they have on the webpage they sell the item to u,
"Seagate Portable 2TB External Hard Drive HDD — USB 3.0 for PC, Mac, PlayStation, & Xbox -1-Year Rescue Service (STGX2000400)",5.0,This package is a fantastic deal!!,"Reviewed in the United States 🇺🇸 on March 7, 2023",,True,"The produce arrived on time.  I have already backed up tons of jpg pictures, home videos and I've hardly made a dent in the storage capacity.  I think the price for the amount of storage space is a great deal.  Hard to believe my first computer had an 8 GB hard drive. No typo- I did say ""eight"".  It was a HP desktop with a dial up modem and it ran on Windows 98.  I would reccomend this to a friend or family member.  It might be a lie if I say ""I would buy it again"" because at 63 this one will last the rest of my life!  Still hard to believe the cheap price for 2 terabytes of storage.  The unit is solid and looks well made. My ONLY complaint is the USB cable should be longer.  Buy one- you'll be satisfied!!!",14 people found this helpful
"Seagate Portable 2TB External Hard Drive HDD — USB 3.0 for PC, Mac, PlayStation, & Xbox -1-Year Rescue Service (STGX2000400)",5.0,Good quality,"Reviewed in the United States 🇺🇸 on April 14, 2023",,True,"Good quality, this purchase was my third Seagate external drive, last one was just like this slimline one.  None have ever had any problem after years of use.  Just can't really rate their Tech Support because I never had reason to contact them!",
"Seagate Portable 2TB External Hard Drive HDD — USB 3.0 for PC, Mac, PlayStation, & Xbox -1-Year Rescue Service (STGX2000400)",5.0,Great purchase,"Reviewed in the United States 🇺🇸 on March 25, 2023",,True,"Has lasted me a long time, still works great, its not that slow, but sometimes games take a bit longer to boot up when i save them to the hdd but that's what hdd do so not really docking points for that, good bang for buck, if you get one and you plug it in and is show's a lower number on windows its because of the way the windows reads the space its the 2tb it'll just show up as like 1.8tb or sum just a warning.",4 people found this helpful
"Seagate Portable 2TB External Hard Drive HDD — USB 3.0 for PC, Mac, PlayStation, & Xbox -1-Year Rescue Service (STGX2000400)",5.0,Amazing,"Reviewed in the United States 🇺🇸 on April 13, 2023",,True,finally I can play all the games I've wanted to on my Xbox for the past few years I've owned an Xbox I never knew about these and finally I can play all these games I own without having to uninstall 3 games,
"Seagate Portable 2TB External Hard Drive HDD — USB 3.0 for PC, Mac, PlayStation, & Xbox -1-Year Rescue Service (STGX2000400)",5.0,As Advertised,"Reviewed in the United States 🇺🇸 on April 4, 2023",,True,"What is there to say.  It is a commodity portable drive, worked as advertised, Amazon delivered (via USPS) several days before committed date.  Can't rate tech support because I haven't needed it.  I did change the Format from NTFS to FAT but that is no big deal (It will be changed several other times over its life",
"Seagate Portable 2TB External Hard Drive HDD — USB 3.0 for PC, Mac, PlayStation, & Xbox -1-Year Rescue Service (STGX2000400)",5.0,Being able to put all my photos & documents in one place.,"Reviewed in the United States on April 8, 2023",,True,"I'm relocating to another state.  I want everything: photos, documents & tax information in one location.  I have two of these.  I can't chance losing my photos.  I sent one ahead & taking one with me on my 3 month road trip to use with my lap top.",
"Seagate Portable 2TB External Hard Drive HDD — USB 3.0 for PC, Mac, PlayStation, & Xbox -1-Year Rescue Service (STGX2000400)",5.0,"Lightweight, Portable and Easy Connection","Reviewed in the United States on April 10, 2023",,True,I have one at my office for one computer and a second I carry in my laptop bag for my laptop. I love how lightweight and portable it is and how easy it is to plug in. I would definitely purchase another one if needed.,
"Seagate Portable 2TB External Hard Drive HDD — USB 3.0 for PC, Mac, PlayStation, & Xbox -1-Year Rescue Service (STGX2000400)",5.0,CORRECTION:  DRIVE RECEIVED FROM AMAZON IS GOOD,"Reviewed in the United States on April 5, 2023",,True,The Seagate drive received from Amazon is functioning correctly and resolves a need for external storage.  My previous review incorrectly identified a faulty drive as being shipped from Amazon.  (That one came from a different source.  It is unusual in my experience to have trouble with a Seagate external drive.),
"Seagate Portable 2TB External Hard Drive HDD — USB 3.0 for PC, Mac, PlayStation, & Xbox -1-Year Rescue Service (STGX2000400)",5.0,used on an Xbox one,"Reviewed in the United States on April 3, 2023",,True,"Works great, able to transfer things that just would not fit on the 500gb drive.  Plugged it in and the Xbox automatically set everything up, nothing to do....Now all the stuff goes to the 2tb drive, which makes life easier.  Also I see no change in load-up or running time, everything just works as it did...",
"Seagate Portable 2TB External Hard Drive HDD — USB 3.0 for PC, Mac, PlayStation, & Xbox -1-Year Rescue Service (STGX2000400)",5.0,"Works well, but a little slow","Reviewed in the United States on April 13, 2023",,True,"It goes slower than my PC does when downloading, but that's too be expected. It's not too slow though. It took about an hour to download a game with high storage.",
"Seagate Portable 2TB External Hard Drive HDD — USB 3.0 for PC, Mac, PlayStation, & Xbox -1-Year Rescue Service (STGX2000400)",5.0,Can't go wrong with this brand,"Reviewed in the United States on April 16, 2023",,True,I tried going cheaper but paid the cost on returns and fails. Just pay the difference and be worry free. True plug n play. Ready to go,
"Seagate Portable 2TB External Hard Drive HDD — USB 3.0 for PC, Mac, PlayStation, & Xbox -1-Year Rescue Service (STGX2000400)",5.0,Works for all my devices:,"Reviewed in the United States on March 10, 2023",,True,"These are great. I use the 2TB capacity on almost every device in the home.It works for my following devices flawlessly and successfully:Nintendo WiiXbox 360 S (360 Slim)Xbox OneXbox Series X (for all non Series X installs, backwards compatible games only. Xbox Series X Seagate Storage Expansion Card required for Series X games.)PS4PS4 ProPS5 (for all non PS5 installs, backwards compatible games only. PS5 WD_BLACK SSD required for PS5 games.)Windows 10 LaptopI have quite a few, and have yet to ever encounter a problem.I plan on getting more as I go.tagsnintendo playstation microsoft xbox sony msi usb storage wii",10 people found this helpful
"Seagate Portable 2TB External Hard Drive HDD — USB 3.0 for PC, Mac, PlayStation, & Xbox -1-Year Rescue Service (STGX2000400)",5.0,External Hard Drive,"Reviewed in the United States on April 11, 2023",,True,"I would recommend this product to anyone. It is Portable and the storage space is 2TB just great. I use it to store work, personal and game files. Wonderful choice...",
"Seagate Portable 2TB External Hard Drive HDD — USB 3.0 for PC, Mac, PlayStation, & Xbox -1-Year Rescue Service (STGX2000400)",5.0,It's a HDD.,"Reviewed in the United States on April 7, 2023",,True,"It stores data, take up almost no space and there's no setup or maintenance to really do. I wish it was a little faster reading, but for what I paid, I can certainly live with it.",
