product_name,rating,title,location_and_date,options,verified_purchase,text,helpful_count
"Kindle Paperwhite (8 GB) – Now with a 6.8"" display and adjustable warm light – Black",5.0,Reading Is Fun Again,"Reviewed in the United States 🇺🇸 on March 23, 2023",Option: Without Kindle Unlimited | Digital Storage Capacity: 8 GB | Offer Type: Lockscreen Ad-Supported | Color: Black,True,"The first thing I thought of when I saw an e-reader was AWESOME! But that was before they introduced the paperwhite models. In essence, they were amazon branded android tablets. They were slow and clunky and incredibly cheap. I'm further embarrassed to admit my first e-reader was actually a Barnes & Noble Nook. Which - if anything - was worse than the original Kindle's.I also discovered that I just plain missed holding a book. I couldn't explain it but I know a lot of people understand what I'm talking about. There is just something about being able to physically hold that book in my hands that just felt ""right"" and the e-readers just did not provide that.Finally amazon introduced the paperwhite and that was an absolute game changer. The ability to read a Kindle in direct sunlight was just unheard of. The older color versions were essentially useless in direct sun, or even marginally cloudy days as well. I still preferred holding a book in my hands though. But that all changed one night when I couldn't sleep and I tried to read at 1am and couldn't get ANY light to work well enough while also trying to hold my hard back book and not wake up my wife. It became a challenge of monumental proportions (at least for me it was). Slowly, over the course of the next 6 months, I began to warm up to the idea of giving the Kindle another try.This is where I made a big mistake however. Instead of buying it new, I went with a reputable company that sold reconditioned electronics for a deep discount. My reasoning seemed solid (at the time), if I ended up not truly enjoying my Kindle, at least I hadn't wasted too much $$ on buying a new one. Unfortunately, the model I received was tied to the account of the former owner, and I wasn't able to correct that with a simple master reset. It took several days to work thru that problem, but once I did, I was off and running. I got a slightly smaller model (6"" screen) and while it functioned, it stuttered so often I forgot just how smooth it really should've been. But still, even with the issues, the hiccups and stuttering, I grew to really enjoy using it and more importantly, I loved the battery life it offered.I decided it was time for an upgrade, and this time I was going all-in. I got the 6.8"" screen, which isn't that much bigger, but it DOES make a difference. Since I ordered directly from amazon this time, imagine my absolute surprise when I turned it on I was worried that it was going to take forever to link up to my WiFi and have to add my amazon account information...but that did not happen. Not sure if amazon pre-programmed it, but as soon as I turned it on it said, ""Welcome Jeff"" and I was stunned. How did it know???  Well, no matter, the set-up was a friggin' breeze and I was thrilled how seamless it was.Operation was so much easier and while it still offers a little stuttering (which in all honesty is simply due to the black & white screen and how it operates) but it was decidedly better than the older model. Battery life is stellar, though not as good as amazon claims. I think what they say is almost absurdly optimistic. But, the truth is, a paperwhite will give you pretty great life on a full charge.It operates well, and I love how I can invert the screen so more of it is black. Not sure if that uses less battery like it does on an amoled phone screen, but I'm going to see and test it just in case. My old Kindle did not have this option.All in all, reading is fun again for me and I love how I don't need a special light to read in the middle of the night like I did with a hard back. Kudos to amazon, I love my Kindle.",46 people found this helpful
"Kindle Paperwhite (8 GB) – Now with a 6.8"" display and adjustable warm light – Black",4.0,"First impressions, should you buy one, and how to save money","Reviewed in the United States 🇺🇸 on July 23, 2022",Option: Without Kindle Unlimited | Digital Storage Capacity: 8 GB | Offer Type: Lockscreen Ad-Supported | Color: Black,True,"OK, I fouled up with my Kindle Paperwhite 11th edition purchase. It was Prime Day and the Kindle was marked WAY DOWN, and I opted for the bundle: Kindle + Charger + fabric cover. Now don't get me wrong, the Charger is nice and the fabric cover is very nice, but for a device Amazon says you only need to charge 5 times a year, getting a premium charger doesn't really make much sense. I already have plenty of chargers, and the Kindle will charge overnight whether I use their super-fast premium charger or something else. And while the case is undeniably nice, you can get one for less than half the money from other sellers on Amazon.I did not make the mistake of getting the ad-free version. The ad appears on the lock screen and as soon as you swipe the screen, it goes away and stays away for your entire reading session. It's 100% unobtrusive. Other people have given the Kindle one star because they bought the ad-free version, and were angry there are still ""suggestions"" on the Home screen that they  consider ads. All I can say is that you get that no matter what, and the solution is to switch to the Library screen rather than the Home screen; that's very easy on the latest software version.The other huge mistake I made over 4 years ago was subscribing to Kindle Unlimited and somehow not knowing that it was automatically renewing silently every month (for $9.99). I paid enough to buy several Kindles. I guess I thought it was part of Amazon Prime or just something that comes with a Kindle. You can bundle Kindle Unlimited ""Free"" for 3 months with your Kindle purchase, but just watch out when that 3 months are over. I have generally found Kindle Unlimited books second rate (with a few exceptions).I bought one of the original Kindle Fire versions and the first Kindle Fire HD. They were cool, but I didn't end up using them much. They didn't have good battery life, they were hard to read outdoors, and Kindle software on other portable devices was fine. I think the first one eventually failed, and I gave the HD away to someone who needed to do something that required a Kindle. I have a nice Windows tablet.But I have always wanted a Paperwhite because of its long battery life and superb readability outdoors. Plus it was heavily discounted on Prime Day and I bought one.So how did it live up to expectations? Pretty well. The ""10 weeks"" battery life claim seems exaggerated, but still if you pick it up to go somewhere, it will probably be charged and last another day. Outdoor readability is simply amazing.After receiving the device, the software updated. I think it updated twice. My ""Experimental Web Browser"" turned into the ""Web Browser"" and the navigation improved markedly (addressing issues I read in other 1-star reviews). The web browser is still very limited and doesn't display some web pages correctly (like the Internet  Archive), and error messages still mention the ""Experimental"" browser. You can't access YouTube, for example, Twitter doesn't seem to work at all, and the New York Times is not readable.On books, three-level table of contents don't work on the Kindle, although they work on Kindle for PC.I had a very good experience emailing a PDF document downloaded from our local Planning Commission to the Kindle. Things you send to the Kindle arrive very fast. Amazon did, however, require me to verify myself as a sender before it would deliver email attachments to the Kindle, even though my email address is on the approved senders list at Amazon. Also plugging the Kindle to a PC lets you drag and drop supported document types (notably MOBI and PDF) to the Kindle where the immediately appear in your Library. The Send to Kindle for PC app is currently broken as reported by me and others on Amazon forums.The device is somewhat sluggish in general with a 1-second delay for most things: swipes, scrolls and navigation. That's certainly not something that would interfere with reading a book. There are so many different ways to navigate, that it can appear jumbled and confusing, plus the software updates I got changed everything, making me re-learn the UI. I think in the end that I will be accustomed to it and it will appear more natural.One severe limitation is that you cannot play audio files in general. While it supports Bluetooth headphones for books from Audible, it cannot play music or audio books in general. (I hope this is enhanced in a future software update.)So should you buy one of these? If you want to sit outdoors under a tree or at the beach for hours on end reading a book, a Kindle Paperwhite makes a lot of sense. The reading experience is good, it's visually sharp and the charge lasts a long time. If you want to listen to music, or do much of anything else you can do on a phone or a tablet computer, you're out of luck.","2,025 people found this helpful"
"Kindle Paperwhite (8 GB) – Now with a 6.8"" display and adjustable warm light – Black",5.0,Kindle 8GB versus 32GB,"Reviewed in the United States 🇺🇸 on March 19, 2022",Option: Without Kindle Unlimited | Digital Storage Capacity: 8 GB | Offer Type: Lockscreen Ad-Supported | Color: Black,True,"Kindle Signature Paperwhite plus Charging StandI own the 11th Gen (newest model 2022) standard Kindle Paperwhite and the Signature Paperwhite. I love them both. If dough is not the issue, I would buy the Signature model for fifty bucks more. Here’s some of my particular findings in use.Cases: Note that I do not like the Amazon cases because I don’t like folding over cover type cases; I prefer cases that simply help with holding the device.  I purchased the “MoKo Case for 6.8"" Kindle Paperwhite (11th Generation-2021) and Kindle Paperwhite Signature Edition, Ultra Clear Soft Flexible Transparent TPU Skin Bumper Back Cover Shell, Clear” from Amazon and it fits the Kindle ideally, and most importantly this case DOES go on the proprietary charging stand made by Anker and the charge does go through the case (that is, I do not need to remove the case to charge the Kindle in that charging stand).Battery: Amazon states that the Kindle 11th gen will hold a charge for 10 weeks, when used at limited brightness for 90 minutes a day (and a lot of other stipulations, like WiFi and Bluetooth off, etc). In reality, many may turn up the brightness, read more than 90 minutes, and Airplane mode on, or use other features that drain the battery faster (See audiobooks below). I have found that my battery drains faster than 10 weeks, but I am using the device with Airplane mode off, Wifi on, Bluetooth On. I do not like turning off wifi in particular because it MUST Be on to sync books between devices, and since I have two Kindle 11th gens, plus a MacBook, iPhone, iPad, and I read 5 books at a time simultaneously, I have no desire to turn wi-fi off.  Thus, having Qi charging is helpful…not mandatory but helpful.  Another BIG reason for the Qi charging is Audible audiobooks. I do listen to them through the Kindle itself, and the battery drains fairly quickly when listening to audiobooks.Memory Storage: The Kindle has 8 GB storage, but only 5.8 GB after their software OS.  The Signature Kindle has 32 GB storage, but only 28 GB after their software OS (there is slightly different software between the two models as the Signature supports more menu and charging features). So if you love downloaded “off-line” reading, and in particular if you enjoy having audiobooks in your downloaded library (they take much more storage than an e-book), the 32 GB is reassuring.Auto-light adjust: I can’t even detect that it’s doing anything, but if one rides a train daily to work and it passes through dark tunnels, this feature may be of benefit to you.Advertising free: Many forget the $20 value of the ad-free that is part of the Kindle Signature.  Even those that wouldn’t pony up for it on their own may enjoy it here as “icing on the cake” for the price difference.  I like seeing my own book cover on the sleep screen, and that is not possible with the “with ads” version. I thought I enjoyed the ads for editors choice books and book sales and stuff, but I much prefer the ad-free model.  And, little discussed fact, the ad-free version has one less swipe to get to your Library or current book every single time you turn on the Kindle. True!Dedicated Signature Charger Stand: I bought the Qi charging stand and like it greatly.  It does work with my “MoKo Case for 6.8"" Kindle Paperwhite (11th Generation-2021) and the Kindle Paperwhite Signature Edition, Ultra Clear Soft Flexible Transparent TPU Skin Bumper Back Cover Shell, Clear”., and charges through the case and the case fits the stand (but not quite as bump-proof as the Kindle without the case). I like that the stand sits quietly on my desk as I am working, or on my coffee table while I’m watching sports do I can read during commercials. I do not need to keep the AC cord attached to the stand at all times; sometimes I use the charger stand as simply a free-standing stand for either of my Kindles. I like that it can hold my Kindle 11th generation normal edition without Qi charging and I can read on it as an easel stand.  I feel the utility as an easel stand is underrated. Qi chargers in general are not free, and neither are easel stands, so coupling those two together, you get the price of this Anker model.  I find no issues with the size of the “wall wart” or the plug in the back of the stand. Some people complain with the charging stand that the white light indicator does not turn to another color, such as green, to indicate full charge.  A “work around” for this is to place the charging Kindle on the stand upside down; now the LED light at the bottom of the Kindle device itself, which does change color when fully charged, is face upward and easily seen. Frankly, there is no issue with simply assuming the Signature PW is charged after an hour or two. I like this stand much more than I thought I would.I’ve owned every Kindle since the first one! I use library Libby, and am an Audible and Kindle Unlimited subscribers. I guess you could say I’m a “power user”. I definitely prefer the Signature version, but both are good readers.  If I could change one thing about these Kindles, it would be to add a physical button like the Oasis. I realize that sounds outdated, but to reach and switch with the other hand, or reach thumb across screen to scrub, every page turn is a chore that is solved with an under-thumb button like Oasis. Additionally, the e-ink is good, but after two decades, one would think the text versus background contrast would be better…that is, darker text, whiter background. Instead, it remains darkest gray text in lightest gray background, not ideal.  Happy reading!",582 people found this helpful
"Kindle Paperwhite (8 GB) – Now with a 6.8"" display and adjustable warm light – Black",5.0,Somehow better than last one,"Reviewed in the United States 🇺🇸 on March 22, 2023",Option: Without Kindle Unlimited | Digital Storage Capacity: 8 GB | Offer Type: Lockscreen Ad-Supported | Color: Black,True,"I have two of these, one to keep at work and one to keep at home.  So far, I like the bigger screen size compared to the last model from 2018 (Paperwhite 4 gen 10). I did like the last model’s weight a little better, but the slightly heavier weight is not a deal breaker in order to have a larger easier to read screen. Also an improvement over the previous one that I had is the page turning responsiveness. Almost instant with a touch when the other one was often clunky in its responsiveness to touch.The night light for reading in a dark room is nice. Also the ability to set times when it automatically goes to a warmer light is nice as well.I do recommend this reader, although I wouldn’t have bought it at the current full price.  Mine were purchased via Amazon warehouse as used, (almost half the price) and I honestly couldn’t tell the difference. Even if I could discern a difference in condition, I was planning on and did place a decalgirl skin over it so it would have covered any potential scuffs (there were none).  I definitely recommend anyone put these on their kindle to give a little personality and scuff protection to the plain kindle.",3 people found this helpful
"Kindle Paperwhite (8 GB) – Now with a 6.8"" display and adjustable warm light – Black",4.0,Mostly Pleased but Small Things Annoy,"Reviewed in the United States 🇺🇸 on February 10, 2023",Option: Without Kindle Unlimited | Digital Storage Capacity: 16 GB | Offer Type: Lockscreen Ad-Supported | Color: Denim,True,"I don't like upgrades. Every time I'm forced to get some new piece of electronic equipment, I dread the experience. I still haven't switched to Windows 11, even. Tried it once, couldn't delete it fast enough!You have to understand, I've only had one Kindle, and it's about 12 years old. I took good care of it, and had to replace the battery once, but it still worked.  Sort of. But turning pages took longer and longer. Often, it took so long, poor Kindle would just send an error message and give up. I wasn't even able to open some of the newer books. The replacement battery was losing its ability to hold a charge. Even worse, my Kindle case was literally falling apart, but my Kindle was so old, I couldn't find a replacement.So when I could postpone the inevitable no longer, I ordered the 11th Generation Paperwhite.When it came time to actually make the purchase, my palms sweated madly, but discovering the 16G was on sale—making it cheaper than the 8G I'd decided was more financially affordable—cheered me right up. Getting a trade-in that equaled one payment, and receiving a gift card that pretty much covered the cost of a new case, made it even better.The new Kindle arrived on time, and I was actually excited to try it out. There was just enough power in the battery to set it up before it needed charging. I'm quadriplegic, so the touch screen was a welcome change. I worried I'd be constantly swiping and wearing out my arm, but a tap is enough to turn pages. I like the lighted backscreen, which I didn't have before, and the wider size is easier for me to hold.Someone complained about the edge being too narrow to hold on to, but that's what the cases are for. I wouldn't recommend trying to use this product without a case to cover it. Not only does it protect the Kindle, but it makes it much easier to hold. I really love the way this Kindle sleeps when I close the cover, and wakes when I open it.I'm clumsy from nerve damage, so I sometimes touch the screen by accident, causing it to skip pages. But this device is so fast, I find my place again without difficulties. That was one of the things I worried about, before the purchase, but it's not a problem.What I don't like: the clock down in the bottom left corner. I turned it off, and when I briefly looked at another book, it turned back on again. When I turn something off, I want it to STAY OFF. And if I don't like it for one book, then I don't want it on any books—but you have to turn off each book separately. And apparently, if you leave the book for any reason, then you have to turn it back off, AGAIN. When you've got issues with hands/arms, any extra click is too much.Let me turn it off in the device for ALL books, please, not just one book at a time.The other thing I hate is the way collections are managed. Before, when I added a book to a collection, that title was taken off the list. Now it stays on the list, so I have to scroll through EVERY book on the list, EVERY TIME. Since many book titles are similar—especially books in the same genres—that gets very confusing, very quickly. Not to mention, it's time consuming. Especially if you own over 1000 books!Just let me add a book to a collection, then take it off the complete list. Maybe you think I want to put it in multiple collections, Amazon, but I'd trade that option for ease and simplicity of use, any day.Also, I can't seem to get the highlight function to work. When I try, all I can get it to do is make a note. I've gone through the Kindle guide several times, and I've also searched online for an answer, but I can't find anything to explain why it won't give me a way to save a highlight. I often highlight passages to read to my sister; I don't want to make notes about them, just read them to her!Overall, I'm very pleased with this product. There are just a few, small annoyances that I'm apparently going to have to live with, I guess. I'd really, really like it if—just once—a new product kept all the good features and only 'improved' the bad ones. It's all about choice. Most of my unhappiness stems from the loss of a choice that I considered crucial.If Amazon had just left those easy little things unchanged, and given me the choice to do things the way I had become accustomed to doing, this would be a perfect product.",280 people found this helpful
"Kindle Paperwhite (8 GB) – Now with a 6.8"" display and adjustable warm light – Black",5.0,"The long battery life, which can last for weeks with daily use, making it an ideal travel companion.","Reviewed in the United States 🇺🇸 on March 24, 2023",Option: Without Kindle Unlimited | Digital Storage Capacity: 8 GB | Offer Type: Lockscreen Ad-Supported | Color: Black,True,"The Kindle Paperwhite is a fantastic e-reader that has revolutionized the way many people read. As an avid reader myself, I can attest to the fact that the Paperwhite is an incredibly convenient device to have. It's lightweight, portable, and easy to use, and the display is easy on the eyes, even after hours of reading.One of the things I appreciate about the Kindle Paperwhite is its long battery life. With a single charge, the device can last for weeks, even with daily use. This makes it an ideal travel companion, as you don't need to worry about carrying around extra chargers or finding an outlet.Another feature I love about the Kindle Paperwhite is its integration with Amazon's Kindle store. It's incredibly easy to browse and purchase books from the store, and the selection of titles is vast. Plus, with Amazon's Kindle Unlimited subscription service, you have access to a massive library of books for a flat monthly fee.Overall, I highly recommend the Kindle Paperwhite to anyone who loves to read. It's a great device that provides an excellent reading experience and makes it easy to carry your entire library with you wherever you go.",2 people found this helpful
"Kindle Paperwhite (8 GB) – Now with a 6.8"" display and adjustable warm light – Black",5.0,I finally got one!,"Reviewed in the United States 🇺🇸 on March 18, 2023",Option: Without Kindle Unlimited | Digital Storage Capacity: 16 GB | Offer Type: Lockscreen Ad-Supported | Color: Denim,True,"I had one of the earlier kindles, and the screen was so tiny, reading on it was a pain. So then I went to Android tablets with moon + reader and kindle app, and I really liked that combo, but I would find myself replacing my (used) tablet almost every year with another used tablet. Not sure why I was so reluctant to spend money on an ereader, because I use it every night for over a decade when I got my first ereader.One of the main reasons I wanted an ereader was because like I said, I read at night, and I had probably gone thru 10 different book lights. Most of them had issues with not wanting to stay where I positioned it, being too heavy to be supported by a paperback, or they would just finally run out of batteries and it was cheaper to get something else than to try to figure out how to put new ones in (always specialized batteries). I also didn’t like holding the book, keeping the page open, and I have sensory issues where I HATE the feeling of dry paper against my skin. So the reader took care of all of these things for me.I’ve been lusting after a paperwhite since they came out, because reading a regular tablet in the sun is almost impossible. When I first opened the package with the tablet, I thought the lock screen was a sticker. Then I realized, nope, that’s all screen! Large, beautiful, non-reflective screen! My near vision is going, so enlarging the font is nice, and I really love being able to look up the definition/pronunciation of a word from from the reader. I got denim blue and a cheap, cute case.",28 people found this helpful
"Kindle Paperwhite (8 GB) – Now with a 6.8"" display and adjustable warm light – Black",5.0,Seemly endless battery life but horrible touch screen.,"Reviewed in the United States 🇺🇸 on March 15, 2023",Option: Without Kindle Unlimited | Digital Storage Capacity: 8 GB | Offer Type: Lockscreen Ad-Supported | Color: Black,True,"I've never been a reader. I never saw the appeal of ""wasting a day"" with my head buried in a book. However, I received a Kindle Paperwhite as a gift and my opinion changed. It's lightweight and ultra thin making it very easy to carry around in my laptop bag. The battery never seems to die. Only when using the backlight does it seem to move at all. Most of my reading is at night while in bed with my fiancee asleep beside me. The backlight is adjustable so I don't wake her up, which is ideal. The page temperature can be adjusted from cool to warm on a sliding scale. I have very sensitive eyes, but even in the dark I can stare at this thing for hour after hour without strain. The only complaint is that it's a bit slow. The touch screen is overly sensitive and the device is kinda slow making accidental page turns a common (if not frequent) reality. Otherwise it's a great travel companion for when you have down time. It also can be connected to Wi-Fi and Bluetooth which allows you to sync your kindle with the kindle phone app for easy switching back and forth. It's not perfect and I find it has to be manually sync'd to be a useful feature. But cool nonetheless. If they'd fix the speed/twitchy screen it would be perfect.",17 people found this helpful
"Kindle Paperwhite (8 GB) – Now with a 6.8"" display and adjustable warm light – Black",5.0,Love my kindle reader!!,"Reviewed in the United States 🇺🇸 on March 25, 2023",Option: Without Kindle Unlimited | Digital Storage Capacity: 8 GB | Offer Type: Lockscreen Ad-Supported | Color: Black,True,"Only thing I would change would be to have the page turning buttons on the side of the reader. So many times I accidentally touch the screen and it will jump to different pages. That being said, the ease of a touchscreen when searching for books makes it easier to navigate. Wish you could access the books that are free for kindle purchase from the actual kindle. If you can, I have yet to find a way. I have to go to the Amazon website from a computer to ""purchase"" the free kindle books. Most of the time I come across them by accident when shopping on Prime, or happen to see them posted in my book related fb groups,  or I wouldn't know they are offered free. Not KU free, actually free to purchase. The point in having a kindle is not to have to have another device for Kindle deals/freebies and purchases.",2 people found this helpful
"Kindle Paperwhite (8 GB) – Now with a 6.8"" display and adjustable warm light – Black",4.0,a lot nicer than 7th gen...but a bug exists,"Reviewed in the United States 🇺🇸 on November 10, 2021",Option: Without Kindle Unlimited | Digital Storage Capacity: 8 GB | Offer Type: Lockscreen Ad-Supported | Color: Black,True,"PROS: Well, I REALLY like the 11th Gen over my 7th Gen.  I'll do it in 4 points:1-Larger Screen.. Nice2-Color Temp adjustment for the screen.  My background is photography so to me the new screen goes from say 8000 degrees Kelvin to about 2500 degrees Kelvin.  I'm happy around 4700-50003-LONGER battery life.. like 2 months vs 3 weeks4- USB-C!! YES! (my old microUSB was always getting wobbly.I did not mention the increase from ""4""GB to ""8""GB..because ..well. in the 7th Gen  the 4GB  is actually 3.1GB  with the rest taken up by the OS  on the new one.. it's actually...wait for it.. 6.25GB! Yep  the OS went from .9GB to 1.75GB!  A bit piggy for me.  I made a joke with a few of the Kindle Tech people that they got ideas from Windows Vista!.  Most got the joke.CONS: Now  onto issues..several which are really for how I use my Kindle:1- ok  the not quite 8GB issue.  Hey  I understand the increase in size..but how about making Audible a CHOICE.. you can add it or make it optional.  If you take away Bluetooth support and Audible..maybe we might gain some space back.  (Personally I use nice plug-in headphones.  I really only see Audible BT when on a long drive in the car..like music.  But then again, you can just put it in a format like MP3 and play it thru the car.  I have the entire Hitchhiker's Guide Radio Broadcasts like that)2- BIG (to me ) BUG  the issue?  as in the photograph.. I use Amazon Cloud Collections.  I organize my ebooks (most I got before I got the kindles)  using Calibre.  So  when I set up series, I use the Series name, or I use the Author, or Subject as a title for the Collections.  sometimes, (as in the case of the Dune series), books are added that happened in-between earlier books that came out.  So when that happens I will add the book. And when you have a series of say 11 books, 9 of which came out years ago, I'll add the book as the following:  01-Dune  02-Dune Messiah  03-Children of Dunethen 3 books were added.. Tales of Dune. Paul of Dune, and The Winds of Dune.In my older 7th Gen PW it showed like this:  00-Tales of Dune  01-Dune  01.5-Paul of Dune  02-Dune Messiah  02.5-the Winds of Dune  03-Children of DuneBUT, As the photograph shows, the new 11th Gen PaperWhite has a bug!  00-Tales of Dune  01.5-Paul of Dune  01-Dune  02.5-the Winds of Dune  02-Dune Messiah  03-Children of DuneThis should REALLY be addressed!3-This is not so much a Kindle PW issue, as so much it's an Amazon issue.  and it deals with the Amazon Cloud Collections.  As I use Calibre, and I have a LOT of books that were originally Epubs, I used Calibre to convert them and organize them into series.  And after various different methods, including sideloading from the computer, I decided to use the Cloud Collections.  So I sent ALL of my converted epubs (now mobi files) to Amazon and used the website to organize them into the collections.  Which went very well ....at first.First..about 2-3 years ago, Amazon removed the ability to send the Collection to Device.  So now I HAVE to use the actual PW to get my Collections onto my Kindle.  Recently, Amazon changed the display format on the pages  on how they show books and doc files. And if you want to add a book or doc to a collection, it's now incredibly tedious! Formally when you did  a box would open that would let you start typing the name of the collection, or make a new collection.  All in one box.  NOW, a box open which shows 2 or 3 collections.. not in any order other than Recent..with a check box!  You can't find the collection by typing the title.. you can only scroll..and it only shows 2 collections at a time.  That's fine if you have 6 collections.. but I have 49 page of 5 COLLECTIONS EACH!!!  PLEASE PLEASE PUT BACK THE OLD WAY OR ADD A SEARCH OPTION!!  You've actually found a way that is so much more tedious than the actual Paperwhite!!!!! you can't even make a new one on there.. you have to go back to the collection Tab.. THEN go back to the doc or book tab and start all over!  Please go back to the old way !!!4- the new Library Series option.  It only works for purchased books, not docs.  also, I had to call up because it grouped two books together, in a series..(nice), but then stuck on e of the GRAYED OUT, above the first collection.. only in Download.  I found out I had to do a Reboot after turning Library option off. (I ended up putting the two books in a collection.. like I like.Well  that's about it.  btw  I  ALWAYS use the LIST vs GRID option.. and using HOME is no longer a nice choice.  I prefer when HOME was the same as LIBRARY .. in my case..the first collection, and all the collections after which comes the books in Recent ordernow... waiting for a dark brown cork case.______________________________________Slight update or comment on the software version.  My wife and I both upgraded to the 11th Gen.  Her's came with her case..Amazon Black Leather,  while I wait for the cork.  Her 11th gen came with 5.14.1 1,  while mine came with 5.14.0 .  I was a bit surprised since both were ordered at the same time. And arrived together.  But, not a big issue, since eventually all units will be on the latest software.  So? What to do?  I've read a LOT on here about complaints  it's so hard, I know.Since my ""update"" was grayed out,  I just downloaded the latest version and put it on my 11th gen,  and rebooted..and BINGO!  No problem,  I now have the latest software.Now fix the real BUG I addressed and fix the ""Manage Your Content"" pages regarding using Cloud Collections.  Oh, while you're at it, fix the damn Amazon Android App so I can work with Cloud Collections via the App. And not just my tower.  Thanks",349 people found this helpful
