product_name,rating,title,location_and_date,options,verified_purchase,text,helpful_count
"Kindle Paperwhite Signature Edition (32 GB) – With a 6.8"" display, wireless charging, and auto-adjusting front light – Without Lockscreen Ads – Black",4.0,A step up from the 8GB version if you must use your Kindle for audio.,"Reviewed in the United States 🇺🇸 on November 14, 2021",Color: Black | Option: Without Kindle Unlimited,True,"This is a copy of my main review in the 8GB device category appended with differences for this 32GB version. 4 stars unless you don't need the space, and then it becomes redundant and too expensive.The 32GB version is in my opinion a bit overboard for most people, but if you have money to spend, it is probably the version you should get, especially if you enjoy audio books. The extra memory to me amounts to useless space, but I personally do not use audiobooks or books with larger file sizes.I have a fairly large library, and that still was working out alright on my 7th gen with 4GB or less. For certain users, this will be the proper device to get. For others, they should look at the 8GB model, or perhaps using your phone for audio. I highly recommend the ""essentials"" bundles to save money.A normal user could have 2000-3000 normal books on their device with the 8GB. Seeing as a ton of my books are Delphi collections, this amounts to even more books relative to the average sizing around 2-4MB or so. Fact is, most people simply don't need this space, and it is useless for most by the time they upgrade due to batteries becoming less efficient. Audiobooks tend to take a lot more space, and it might be for this user that the 32GB is most appropriate.You can hold 20-40 audiobooks on an 8GB device, so for people that must have audiobooks on a Kindle, as opposed to their smartphone with better speakers and more memory, then maybe this is for you. But I would prefer audio on a device of my choosing that had better options for sound.The wireless charging is basically not a deal changer for me. I highly recommend having wireless off on the Kindle to save battery. Charging it works much the same as any device, but cords work fine for me as well, especially with the updated USB-C design. The auto-light is awkward mostly, and I have never used it on any device with one. For the extra money, I only find this device useful for people that absolutely need audio for their Paperwhite device.In full I simply will not use the extra space, and the other features are useless. Others may find them more appropriate. I don't see the point in paying Amazon more money. The lifeline of this device depends on the battery, and by the time I need 32GB, if that ever happens, I will be getting a new device. Not bad, but too expensive, as I mostly use physical books anyway.Overall Review for the Paperwhite 2021 (Four Stars):Summary:+ Best screen of any Paperwhite or Kindle released to date+ Best response time of any Paperwhite or Kindle+ UI improvements+ Weight and feel are exceptional- Screen has uneven area with color temp on high brightness- Expensive- Previous Kindles still do things in much the same wayComing from the 7th gen Kindle, this is a gigantic improvement on all fronts. The Paperwhite 2021 also handily beats the pulp out of the Paperwhite 2018 version due to its new LED array, and for my money it's a better choice than the Oasis 3 as well due to ergonomics. Add in some extra screen real estate compared to previous Paperwhites, a much nicer bezel, a few more options for the UI, and what we have is an extremely polished device for reading digital books. It's never going to make me switch totally from physical, but I will definitely be using this to read a lot more than my previous Kindle.The screen here is nearly perfect, and it will be the main factor attracting those coming from the previous 2018 model. If things were cheaper, this would be an essential upgrade for most people. I would not do without it if given the choice. Feel free to browse all the negative reviews from 2018. They were all right. But now it seems Amazon has finally finished their beta device. The screen itself is more matte than shiny, easy to wipe off, clear but not distracting, and fully able to replicate a physical book with its expanded dimensions. The Oasis 3 for instance irritates me with its form factor. The Paperwhite 2018 has an ugly bezel as well. This is exactly what I wanted out of an E-Reader.The Paperwhite 2021 is lit by 17 LEDs compared to 5 LEDs in the 2018 model, which leads to vastly superior balance. There are 24 gradations for both brightness and warmth, from off to mango warm, and they make a tangible and visible difference in proper aesthetics related to actual physical books. The color options are great, but after some use there still seems to be a portion equating to about the bottom half of the screen on mine that is a very slightly greener hue as opposed to a warmer hue on top. Very hard to pick up for some people, but it's worth noting for users that want to use this on high brightness. I usually only use around 6-12 brightness to get proper coloring, and it's not really noticeable in lit rooms with these settings. I usually use the lovely dark mode at night, so in the end I'll say this issue really doesn't affect me much.Make no mistake, though, the 2018 Paperwhite had an awful screen, with a horrendous LED array, and this one is a massive upgrade. This 2021 version still  has a fully stable lighting array that doesn't evoke a poor production run or haste in design, yet it's not perfect either. Blacks could definitely be deeper with an OLED screen or something of the sort. Dark Mode still looks good, but on higher brightness it appears a little too grey. Overall, I am satisfied at the advances that have been made, and my usual settings all look fantastic and so much better than anything before.6.8 inches of screen along with 300 PPI is definitely enough to satisfy most demands for resolution, and the extra space may be convincing for one to switch from physical books. The bezel itself also looks properly designed finally. That alone is also another huge deal. The sides are thin, the screen is the main attraction, and there is no awkwardness in reading versus a real book. All additions that make this is a positive buy over the other Kindles.There is an extremely tiny trail of adhesive in one corner and edge at the very bottom right near the backing material and black area of the bezel. Pretty minor all told. Most won't even notice things like this, and most Kindles will probably have such a minor flaw. Compared to the 2018 version, this thing seems like an actual professional product.The UI responsiveness was another issue in previous models, and I am happy to report this one is very fast. Massively faster than my 7th gen, and a decent improvement over the older model. The Paperwhite 2018 uses a Freescale/NXP i.MX6 SoloLite 1 GHz processor. Not terrible, but also not quite enough to match the newer NXP i.MX7D 1 GHz chip used in the Oasis 3 and this model. Again, a more refined version at every level compared to the older Paperwhite.For memory and storage, I can't see many people needing more than 8GB. I did fine on my last Kindle with much less. Unless you plan on starting a small library, 8GB of memory is a perfect fit for anyone's lifetime.As for the user interface, major changes have resulted in a much better flow in overall design for most Kindles from 2015 onward. The swipe down mechanic is leagues better than anything they've had before. The library UI that you tap in the upper left is again fast and finally consistent. These UI details are easy to spot in the included pictures with various lighting values. But they are available to most users outside of this product.Response and animation are a cut above their predecessors, and that should not be understated. I finally feel the Kindle is quick enough for my needs with digital reading. My 7th gen was abysmal. The 2018 version was slightly problematic. The newer page turn animation, however, was not to my liking, and I ended up sticking with the normal style. As a plus, the web browser is snappy and usable for those that need to quickly look something up on a search engine. Exiting in and out of menus is a breeze, and opening or downloading books was efficient. I still wish there was a download all option, so I will be downloading from the website instead.And speaking of default, the designers have made sure that this Kindle is ready to use without even touching a setting. They clearly invested a lot in understanding how people want their Kindle to look. I found almost all default options to be optimal. I added one step to boldness in fonts, and have toyed with the variable warmth quite a bit. Bookerly is a great font for reading, but there are obviously other options if you prefer. These things are basically as good as they need to be on this digital reader. More improvements with font selection could be possible, but are entirely superfluous to the current experience.Updating the firmware was painless for me past having to click no thanks for all the subscriptions Amazon wants to get you hooked on. No thanks. No issues with connections or anything of the sort. Charging works perfectly via USB-C, a far better connector than the micro version. Adding and subtracting to the library was fast and convenient.Aesthetics and materials are premium for the most part. Other than the aforementioned pinprick trail of adhesive, there were no outright imperfections that I can see. I don't really like the Oasis 3, but it's definitely similar to that version, with a better form factor.The leather case included with this bundle is what it is: completely overpriced but nearly mandatory for the perfect feel and weight. I can't stand the feel of the device without the included case. I highly recommend the bundle. The aesthetics look nice, and overall it's mostly the same as my last one. A bit easier to get in and out compared to 7th gen.At the heart of it all, this is still just another updated version of the Paperwhite. But it could be mandatory because it polishes the lighting and page turning to a degree that makes the old devices feel awkward. I don't see myself getting another one for a decade. And that leaves two questions remaining: How is the battery life, and is this worth the upgrade if you own the 2018 version...Battery life seems improved. I wouldn't call it all that great on full brightness, but it's definitely an upgrade from anything before. Battery life is critical, I have run into few issues with my normal settings. Right now, I can see that it drains decently fast on max brightness, but it also has an array of 17 LEDs lighting it. On lower brightness, it appears to be very conservative with battery life, much the same as last time but probably better. It's tough to say when you are comparing older batteries to newer ones. This will be an ongoing process to be updated in the review every now and then. On the lowest brightness it is off of course, for those that prefer the older Kindle experience and extended usage without a charge. This produces a charge that lasts a very long time.For me I see no reason to keep Wi-Fi on, and the complaints about that particular setting, coming from 2018, seem slightly obtuse. Shut it off when your library is downloaded. Problem solved. With full brightness, you aren't going to get a ton of life, but I also recommend against full brightness as it doesn't really resemble paper at that point. On medium settings, which I prefer, battery life seems completely acceptable and better than before.If you are currently using a device below the Paperwhite 2018, then definitely you could think about an upgrade if you are in the market for a new E-Reader. I cannot overstate how much better this is than my 7th gen. I rarely even used that model, and I will definitely be clocking in some time with this one due to the screen and response time. It's a huge motivating factor to actually take out my Kindle now. Previous versions do not match up, and this is the first time I can say I am impressed by a Kindle.Coming from 2018, I would say this is a fairly huge upgrade, and most will want to eventually make the change. The screen is too versatile to pass up, and the faster response time basically nails the previous version in its coffin. I don't think an immediate upgrade is necessary, but most will want this as their baseline going forward. The 2018 version has too many issues, and this fixes most of them.Economically, this might not be an option for many. To somewhat help out, you definitely will want to get this in the bundle with the leather case, which I included a picture of at the bottom. It's a nice case, way too expensive by itself, and kind of mandatory in my experience. The bundle also includes a trade-in option. Definitely DO NOT buy the case separately. No need to give Amazon any more of your money than necessary.Outside of that you can be sure I will remain critical of this device. If anything goes wrong, becomes damaged or defective, I will immediately add that info to my review. No shilling is allowed here. Freezes have gone completely away as of the recent firmware update in 1.14.1.1.For those on the fence, it is best to wait a few months to see how things turn out. For now, I enjoy the device and have only a few issues. Going forward I hope to actually use a Kindle consistently for the first time. If I rated the Paperwhite 2018 one star, then this one is around four stars. A worthy upgrade for anybody in the market. Will it replace my physical collection? Never. Paper lives on forever.""A beggar's book outworths a noble's blood.""",645 people found this helpful
"Kindle Paperwhite Signature Edition (32 GB) – With a 6.8"" display, wireless charging, and auto-adjusting front light – Without Lockscreen Ads – Black",5.0,Love my Kindle Paperwhite!,"Reviewed in the United States 🇺🇸 on March 18, 2023",Color: Agave Green | Option: Without Kindle Unlimited,True,"I love having a Kindle Paperwhite! I was gifted this for my birthday and love it so much!My only complaint is the flashing white every couple of pages when set to dark mode, and the flashing black every few pages when in standard mode. It’s pretty dang jarring when reading in a dark, quiet room to have the screen flash white.I turned the page refresh button on & off & restarted my Kindle which luckily changed the flashing from every single page turn, to every few pages, but it’s still a “flaw” in this product that should be redesigned/fixed if possible. (Though from what I’ve read, it’s just how the tech is for Kindle.)I chose the Paperwhite over Oasis when reading reviews for the Oasis. Seems like a better buy but I’ll have to check out to see if the page lighting up in dark mode is a feature with Kindle Oasis too.Overall I am very happy with my Kindle Paperwhite. It’s radically improved my sleep cycles & quality of sleep. Now instead of scrolling on my phone at night, I’ve got my Paperwhite which is easy on my eyes. Reading my kindle on my phone still fatigued my eyes even in warm tone with dark background.I’m also pleased with how big the font can get. I’ve got Diabetic retinopathy & am blind in one eye with huge vision loss/blurry vision in the other eye. The big writing is so helpful for me to be able to still read.Even with the jarring, flashing light every couple of pages with this model, I would still rather have a Kindle than not.",8 people found this helpful
"Kindle Paperwhite Signature Edition (32 GB) – With a 6.8"" display, wireless charging, and auto-adjusting front light – Without Lockscreen Ads – Black",5.0,Signature vs Paperwhite: Observations from Owning Both,"Reviewed in the United States 🇺🇸 on March 19, 2022",Color: Black | Option: Without Kindle Unlimited,True,"I own the 11th Gen (newest model 2022) standard Kindle Paperwhite and the Signature Paperwhite. I love them both. If dough is not the issue, I would buy the Signature model for fifty bucks more. Here’s some of my particular findings in use.Cases: Note that I do not like the Amazon cases because I don’t like folding over cover type cases; I prefer cases that simply help with holding the device.  I purchased the “MoKo Case for 6.8"" Kindle Paperwhite (11th Generation-2021) and Kindle Paperwhite Signature Edition, Ultra Clear Soft Flexible Transparent TPU Skin Bumper Back Cover Shell, Clear” from Amazon and it fits the Kindle ideally, and most importantly this case DOES go on the proprietary charging stand made by Anker and the charge does go through the case (that is, I do not need to remove the case to charge the Kindle in that charging stand).Battery: Amazon states that the Kindle 11th gen will hold a charge for 10 weeks, when used at limited brightness for 90 minutes a day (and a lot of other stipulations, like WiFi and Bluetooth off, etc). In reality, many may turn up the brightness, read more than 90 minutes, and Airplane mode on, or use other features that drain the battery faster (See audiobooks below). I have found that my battery drains faster than 10 weeks, but I am using the device with Airplane mode off, Wifi on, Bluetooth On. I do not like turning off wifi in particular because it MUST Be on to sync books between devices, and since I have two Kindle 11th gens, plus a MacBook, iPhone, iPad, and I read 5 books at a time simultaneously, I have no desire to turn wi-fi off.  Thus, having Qi charging is helpful…not mandatory but helpful.  Another BIG reason for the Qi charging is Audible audiobooks. I do listen to them through the Kindle itself, and the battery drains fairly quickly when listening to audiobooks.Memory Storage: The Kindle has 8 GB storage, but only 5.8 GB after their software OS.  The Signature Kindle has 32 GB storage, but only 28 GB after their software OS (there is slightly different software between the two models as the Signature supports more menu and charging features). So if you love downloaded “off-line” reading, and in particular if you enjoy having audiobooks in your downloaded library (they take much more storage than an e-book), the 32 GB is reassuring.Auto-light adjust: I can’t even detect that it’s doing anything, but if one rides a train daily to work and it passes through dark tunnels, this feature may be of benefit to you.Advertising free: Many forget the $20 value of the ad-free that is part of the Kindle Signature.  Even those that wouldn’t pony up for it on their own may enjoy it here as “icing on the cake” for the price difference.  I like seeing my own book cover on the sleep screen, and that is not possible with the “with ads” version. I thought I enjoyed the ads for editors choice books and book sales and stuff, but I much prefer the ad-free model.  And, little discussed fact, the ad-free version has one less swipe to get to your Library or current book every single time you turn on the Kindle. True!Dedicated Signature Charger Stand: I bought the Qi charging stand and like it greatly.  It does work with my “MoKo Case for 6.8"" Kindle Paperwhite (11th Generation-2021) and the Kindle Paperwhite Signature Edition, Ultra Clear Soft Flexible Transparent TPU Skin Bumper Back Cover Shell, Clear”., and charges through the case and the case fits the stand (but not quite as bump-proof as the Kindle without the case). I like that the stand sits quietly on my desk as I am working, or on my coffee table while I’m watching sports do I can read during commercials. I do not need to keep the AC cord attached to the stand at all times; sometimes I use the charger stand as simply a free-standing stand for either of my Kindles. I like that it can hold my Kindle 11th generation normal edition without Qi charging and I can read on it as an easel stand.  I feel the utility as an easel stand is underrated. Qi chargers in general are not free, and neither are easel stands, so coupling those two together, you get the price of this Anker model.  I find no issues with the size of the “wall wart” or the plug in the back of the stand. Some people complain with the charging stand that the white light indicator does not turn to another color, such as green, to indicate full charge.  A “work around” for this is to place the charging Kindle on the stand upside down; now the LED light at the bottom of the Kindle device itself, which does change color when fully charged, is face upward and easily seen. Frankly, there is no issue with simply assuming the Signature PW is charged after an hour or two. I like this stand much more than I thought I would.I’ve owned every Kindle since the first one! I use library Libby, and am an Audible and Kindle Unlimited subscribers. I guess you could say I’m a “power user”. I definitely prefer the Signature version, but both are good readers.  If I could change one thing about these Kindles, it would be to add a physical button like the Oasis. I realize that sounds outdated, but to reach and switch with the other hand, or reach thumb across screen to scrub, every page turn is a chore that is solved with an under-thumb button like Oasis. Additionally, the e-ink is good, but after two decades, one would think the text versus background contrast would be better…that is, darker text, whiter background. Instead, it remains darkest gray text in lightest gray background, not ideal.  Happy reading!",748 people found this helpful
"Kindle Paperwhite Signature Edition (32 GB) – With a 6.8"" display, wireless charging, and auto-adjusting front light – Without Lockscreen Ads – Black",5.0,Warm Option is a Game Changer,"Reviewed in the United States 🇺🇸 on March 29, 2023",Color: Denim | Option: Without Kindle Unlimited,True,"I recently took to reading on a Kindle for convenience and because we have tons of books and they just take up too much space. I have adjusted quickly and really like it but on the previous device I used, my eyes got tired from the brightness and whiteness of the screen. I'm also concerned about anything that could affect sleep and I can't definitively say the light did but I can say I've had fewer bad nights since switching to this device and maxing out the warm light setting ( this feature is a game changer!).  I can read longer without my eyes getting kind of watery and tired. My only tiny complaint is the increased size and weight but this is by no means a deal breaker and I'm already used to it (plus I got a case with elastic bands for your hands which helps with one handed reading). I also prefer that this doesn't have ads. Overall thrilled with this purchase and highly recommend if you're considering starting or upgrading your kindle experience. I also love that I can still read Library books through whatever service the Library uses as well. Finally, I have only had to charge once since I purchased a couple weeks ago so the battery life is no joke.",
"Kindle Paperwhite Signature Edition (32 GB) – With a 6.8"" display, wireless charging, and auto-adjusting front light – Without Lockscreen Ads – Black",5.0,So easy!,"Reviewed in the United States 🇺🇸 on March 11, 2023",Color: Agave Green | Option: Without Kindle Unlimited,True,"I grew up being an avid reader as a child, which continued into adulthood.  After a couple of moves, with books packed away in boxes and other things that interfered with reading as often as I used to, I started thinking about the fact that I haven’t read anything significant in years.I realized how much I missed it, and how much time I was wasting with my “nose in my cell phone,” rather than a book!  With those things in mind, I started reading reviews on Amazon to compare the various versions of Kindle.I’m so happy with my new Kindle Paperwhite!  I love the fact that there is significant storage to hold books to read without depending on Wi-Fi.  The auto adjust feature for various lighting conditions is very handy.  For me, the very best part is that when I pick it up, I can immediately begin reading where I left off!  No more opening a book to two (2) side by side pages, and having to think about where I left off, or worse, having a bookmark fall out.  No more having to decide which book to take with me, which I wasn’t doing anyway… I can have them all with me, any time I want, wherever I am.  I can drop it in my purse any time I go out;  you never know when you’ll find a few minutes to read, instead of wasting that time playing on a cell phone!Years ago, I resisted switching over to a Kindle because I preferred the feel of a book in my hand, and the satisfaction of physically turning each page.As the years passed, while becoming accustomed to electronic devices being part of everyday life, I now realize that physically holding a book, and the tactile pleasure of turning pages was not being enjoyed because I was no longer reading at all.Getting my Kindle has shown me what’s most important:  It has given back to me the ability to enjoy reading again.I am particularly pleased with the features of the new Kindle Paperwhite, but for anyone with a more limited budget, I have no doubt that the less expensive versions can also bring the joy of reading back into anyone’s life if they experienced the same gradual straying away from daily reading that I did.  I highly recommend it!",40 people found this helpful
"Kindle Paperwhite Signature Edition (32 GB) – With a 6.8"" display, wireless charging, and auto-adjusting front light – Without Lockscreen Ads – Black",5.0,Best purchase ever,"Reviewed in the United States 🇺🇸 on March 30, 2023",Color: Black | Option: Without Kindle Unlimited,True,"Don’t get me wrong i love the feel of a real book, i love turning the pages, the smell. There is nothing like a good book. But i don’t have time to do it as often as i like.  But my kindle paper white makes it easier for me read more! I don’t understand it, maybe it’s the screen that feels like i am reading an actual book, or the backlight that doesn’t hurt my eyes and lets me read at night when the house is quiet and the kids are in bed without disturbing my husband with a light. Possible it’s the feature in the corner that lets me set time left in chapter that makes the books seem more manageable.  Whatever it is, i a refound my love of reading and i couldn’t be happier! (I do use the kindle app on my home only to set my reading goals and watch my progress earning those cute book mark badges,  pics of that included to show my progress since my purchase in January)",One person found this helpful
"Kindle Paperwhite Signature Edition (32 GB) – With a 6.8"" display, wireless charging, and auto-adjusting front light – Without Lockscreen Ads – Black",5.0,I love this edition.,"Reviewed in the United States 🇺🇸 on March 21, 2023",Color: Black | Option: With 3 Months Free Kindle Unlimited,True,"It is my second of three Kindles. The first one (2nd generation) was great, but really slow and the OS was terrible. My second one, this one, I love for reading and taking with me. It is still very slow and to organize books, it is awful. I got on to the Amazon website and was able to sync things pretty well and it was much faster. The Whispersync is a great addition, but Amazon, you have go to know that there are easier and quicker ways to do this and to auto download everything I buy is such a bad idea. There should be easier ways to do it and to force one way on someone is poor UX. Put it in the welcome part of setting up your Kindle. The third Kindle I have is the 10th generation fire and it does not have whispersync and everything gets installed on it and all the organization setup on my second kindle does not work on the Kindle Fire 10th generation. There is a lot of UX that Amazon needs to figure out. BTW, I do not use my 2nd gen anymore. It was mentioned as a for reference.",One person found this helpful
"Kindle Paperwhite Signature Edition (32 GB) – With a 6.8"" display, wireless charging, and auto-adjusting front light – Without Lockscreen Ads – Black",5.0,Way better then NOOK glow light 4!,"Reviewed in the United States 🇺🇸 on March 6, 2023",Color: Agave Green | Option: Without Kindle Unlimited,True,"Okay so I’ve had this for one whole day total and haven’t stopped reading on this lol so my review isn’t long term but I will update this in a few months! But I had just bought the nook glow light 4 a couple months ago and the screen on it wasn’t that saturated and things were hard to see on it and almost seemed blurry, I had to refresh the nook over and over to get it to load and that’s when I started researching KINDLE. I was hesitant but I decided to go for it! IM SOOOOO GLAD I DID! This thing is light weight, the screen is Saturated and easy to read, fast when turning pages and feels ALOT like a real book! Compared to the glow light the screen on this is more of a white colored light rather then blue like the glow light! This kindle is very very nice! It’s battery has only gone down 3% and I’ve read on this thing for 4 hours yesterday afternoon and 3 hours today! The agave green color is also very beautiful! It’s like a greyish greenish color. I got the 32gb signature edition with no ads and when I ordered this I DIDNT get the 3 months free one for kindle but when I set up my kindle it offered it to me so I took it. I’d like to mention it DOES connect to LIBBY library app and it sent my book right over to my kindle and I read a book off it already! I did check the box to have it set up with my account already through prime and that helped. I also want to say it has Goodreads on it already and you can actually scroll through Goodreads on the kindle! As of right now I’m VERY GLAD I made the switch from nook to kindle!",25 people found this helpful
"Kindle Paperwhite Signature Edition (32 GB) – With a 6.8"" display, wireless charging, and auto-adjusting front light – Without Lockscreen Ads – Black",5.0,"Hands Down the BEST Paperwhite Made to Date!!! And, I've Owned a Few!","Reviewed in the United States 🇺🇸 on February 1, 2023",Color: Black | Option: Without Kindle Unlimited,True,"If you saw something good written about this device, There ya go! I have had a number of Kindles over the years. I had a Touch, first. One of the grey ones, not a touch screen. It was fantastic! Enter the Paperwhite, I waited until the 2 before I got one. It was a game changer for reading. Having the light built in! I sadly lost it, and got a 3. I had always liked my 2 better. The 4 came along, and though I had lost a 3 to a storm while thru hiking, I still had insurance on it. BUT!!! The 5, 11th gen, Signature Edition came along... Well, another gripe I had with my 3v2, was that the 3 had a reduction in storage, and a smaller battery. That is why I liked my 2 better. Plus, the light was this greenish tinted colour I had preferred. BACK TO THE PWSE!What attracted me:+++ MUCHO storage!+++ Water resistance (I know the 4 had it, but remember, I had skipped)+++ USB C - Long over due (many other companies are still guilty of this (Apple, I am pointing at you)+++ Battery life CLAIMS - they were merely Amazon statements at this point. Now, I have not known  claims, by companies in this department to be typically truthful, beyond ""lab conditions"". The battery  life lived up to it!+++ BIGGER SCREEEN!!! I knew I would love it, when I saw one next to a 4/3/2/1 sized model, I was sold.Things that I didn't think I cared about but seemed like they could be neat:+++ Adjustable lighting - I like it much more than I thought I would! It has never been perfect on any  device by any company, and it isn't here. But, it does learn, and it does well. It definitely adds value+++ Warm lighting - Now this one, I though ""woopidy doooooooo"" But, after actually experiencing it, it is  something I LOVE, and would NOT give up! It is a WOOO HOOOOOO!!!!Something I thought I wanted, but only used it once to see if it worked:+++ Wireless charging. Although I like this on other devices, on my PWSE, the case I went with doesn't  allow for it. But, I really don't care. the USB C is readily available as most of my other devices use it.  And, it charges up in an hour or less. As I only charge it between 3 - 7 weeks at a time, and I have a  charger by my bed, it is no inconvenience to charge it that way. Some people do love it for theirs  though. Not at all anything to with Amazon or the Paperwhite, just my personal experience. It's there  should I ever change my mind, I suppose.As I have had this device since January of 2022, I can say without a doubt that it has met every expectation, and definitely deserves the high rating it maintains in reviews.",91 people found this helpful
"Kindle Paperwhite Signature Edition (32 GB) – With a 6.8"" display, wireless charging, and auto-adjusting front light – Without Lockscreen Ads – Black",5.0,Soooo in love,"Reviewed in the United States 🇺🇸 on March 30, 2023",Color: Black | Option: Without Kindle Unlimited,True,"So to start I was very hesitant to buy. I love the smell and feel of a book & paper in hand. What caught my attention was the fact that you can connect to Libby on the Kindle then sign into different Public Libraries & borrow eBooks which has already saved e a ton of money on books. I will throw in though, most libraries only have 1 or 2 eBooks to loan so sometimes you have to put a hold to be notified when it becomes available. It is a bit of a leaning curve but wasn't horrible & the kind lady at the library helped me get it all set up which was awesome! If you're on the fence with this purchase I say it's so worth it! I'm so happy that I made the leap & tried it!",One person found this helpful
