product_name,rating,title,location_and_date,options,verified_purchase,text,helpful_count
"Kindle (2022 release) – The lightest and most compact Kindle, now with a 6” 300 ppi high-resolution display, and 2x the storage - Black",5.0,So much better than print,"Reviewed in the United States on December 7, 2022",Color: Denim | Option: Without Kindle Unlimited | Offer Type: Lockscreen Ad-Supported,True,"If you’re considering this, and reading this review, you’re probably considering your first foray into Kindle reading. Good choice. A few things to note about this.The ads are not pop ups. I know some dead tree fans would have you believe, right in the middle of a tense scene, an ad will interrupt the page. That’s not how this works. What happens is, when you put the device in sleep mode, rather than say the cover or the portrait of a famous author, you see an ad. If you use the physical cover to turn on and off the device, you won’t see much if any of the ads.  And yes, you can dog ear a page.I have no idea why memes keep popping up to say you can’t. Actually, the things you can do with a print book that you can’t with a Kindle book are: Donate them to the library if the library starts taking books again, give used copies to a friend, sell used copies, have a bookmark accidentally fall out, and use them for, well, kindling. Kindle can do everything else. Things you can do on a Kindle and not a print book are: read in the dark, search for text, carry dozens of books in your pocket, create notes of virtually unlimited size (you run out of room in the margin of a print book), pick up a new book nearly anywhere, anytime, and instantly convert your entire library to large print.Most library systems can send any borrowed e-book directly to your Kindle. And your place and notes are stored in case you borrow the book again or buy a copy. You don’t get that with print.Amazon recently improved their send to Kindle features with a drag and drop web page that makes moving your own documents to the device extremely simple.This comes with a USB-C cable, but not a charger (aka wall wort) so if you don’t have one lying around (I think the expectation is most of us do) you will need to pick one up.16 gig might not sound like a lot, but most books fall under 2K.  I’ve seen public libraries (I’m looking at you, Florida) with fewer books than this can hold. Audible eats the memory a bit more, but I find this to be more than enough.You don’t get cellular connectivity with this, but that’s only with the premium Oasis line now. Scribe even missed out on that. I find it convenient, but I understand wifi is ubiquitous enough these days it’s not a big deal for most users. I have an annoying habit of finishing a book on the crosstown bus, then needing the next in the series. Yes, the cell phone tether works. No, that’s not as convenient as built-in cellular.It has fewer LEDs than most, but that’s not a big deal. Four lets you read in the dark. The scribe has 35. Guys, it’s an e-reader, not a disco, no one needs that many separate lights on that small a device. The absence of a warm light and auto adjusting lights are a bigger issue here. The warm light makes a big difference when you’re reading before bed.It doesn’t have the waterproofing, which I thought was a bigger deal when that first came out, but in all the time since I’ve yet to (knock wood) get a Kindle wet. It’s a nice to have, not a have to have.The size can throw people at first. The screen approximates two things – an index card turned portrait and a mass market paperback page. The occasional “ghosting” mirrors the see-through element of the cheaper mass market paperbacks, except on the device it refreshes quickly, and the ghosting goes away.There were some studies done that suggest memory is improved from reading from print rather than e-book. I want to point out a few issues and cite my own experience. First, all the studies I could find cite pop ups and other distractions as the primary issue. That is, the test is on a general-purpose tablet, not a single purpose e-reader. When they either do a study on an actual e-reader or compare with pop ups on the tablet vs someone coming over just as often and tossing brochures on their print book I’ll believe it. Unless all factors are equal, the study is inherently flawed. To my experience, my ability to absorb and either use the information (if it’s non-fiction) or retain it over time (if it’s fiction) is nearly identical in both, with the slight advantage of the e-book being able to search back in the text for prior information. It drives me nuts when a quote resurfaces in a print book, and I can’t find the prior mention again. Or when I need to find a code snippet in a shelf full of computer books rather than just search on device and have it in seconds.So, if you’re comfortable with the mass market paperback format, the size, the quality, then this is a huge step up. If you want to lay your hands on information quickly, then this is a huge step up.If you want portability, then this is a huge step up. I just had to help an elderly woman move into assisted living and the loss of space cost her nearly all of her much-loved library. I find it comforting that nearly all of mine fits in my purse. No more culling the library for space, then finding you need to buy a new copy. If you delete an e-book from your Kindle, you can download it again for free. I remember, in the dark days before the Kindle was invented, being stuck on a flight from Arizona to New York with nothing to read but the most misogynistic, worst written mystery novel I’d ever encountered. If I had a Kindle, I’d have had at least a dozen better choices at hand, not to mention rereads.The downside here is twofold. First, Dune and The Great Gatsby look the same size on the reader, so it’s hard to eyeball that one is a super-fast read and the other a meaty novel. It’s also a little too easy to build up a massive TBR pile, given it takes no physical space, the device memory is ample, and Amazon keeps offering free books to Prime members every month, sometimes more than one, and a crazy number of deeply discounted books Prime or not.If you are concerned about the environment, then this is a matter of economics of scale. On the last study I checked, the magic number was 20. At 20 books the manufacture and transport impact of the e-reader ties the impact of manufacturing and transporting print books. At 21 and beyond, the e-reader has almost no further impact as compared to the printing and transporting of physical books. E-readers have boasted substantial improvements in reducing their carbon footprint since that study, but I can find no more recent information. Even at 20, the worst number, it’s clear that e-readers are a pure win for the environment.It’s a great device. If you want to go with this one as the entry level, you won’t be disappointed.","1,020 people found this helpful"
"Kindle (2022 release) – The lightest and most compact Kindle, now with a 6” 300 ppi high-resolution display, and 2x the storage - Black",5.0,I love this!,"Reviewed in the United States on March 31, 2023",Color: Black | Option: Without Kindle Unlimited | Offer Type: Lockscreen Ad-Supported,True,"It took me a long time to convince myself to buy a kindle or nook or any other electronic reading device. I always felt like it was a silly spend when I have hardcopy books, and kindle on my phone.I happened to walk by a display for this at Target a couple of weeks ago and it really caught my attention. It felt so easy on my eyes to read, and I liked that it was small and portable. I still couldn't convince myself..I read every day so my mind kept naturally going back to it. I talked myself into by looking at it as a time and learning investment 😆 I've stopped paying attention to social media a while back and cut down TV time so I can focus on something more productive. I like the idea that this is only for reading. There's not texts on it or social media, or notifications or apps to get distracted. I love that about this. I really like being able to silence my phone at night and read in the dark. Or read in a park and leave my phone in the car.If you're having a hard time justifying it, just go for it. You'll use it!",7 people found this helpful
"Kindle (2022 release) – The lightest and most compact Kindle, now with a 6” 300 ppi high-resolution display, and 2x the storage - Black",5.0,"TY Kindle Tech support ... Correcting my previous review 6"" and 6.8"" models","Reviewed in the United States on March 27, 2023",Color: Denim | Option: Without Kindle Unlimited | Offer Type: Lockscreen Ad-Supported,True,"I was so frustrated.  I love the 6"" Paperwhite for me...my hands are smaller and reading with the 6"" is easier to hold.  Meanwhile, my husband loves his 6.8"" paperwhite.  Both are 11th generation, did not come with the correct plug for the faster charging station, I must retract my comment about them not coming with charging cords.  They did.  I needed to pull out the brown cardboard bit inside the package to see the cord at the bottom. I didn't know that, but feel dumb anyway.  The frustration was increased by an intermittent issue with our Network.  All our devices showed we were consistently online...but the Paperwhite would not connect.  Intermittent issues are always difficult, we seemed to get on,one for everything except Kindle.  Our provider finally saw the failure happen not on our router but in network after many hours over 2 days of trying to explain.  I want to thank Annie and Maggie, at Kindle Tech Support for their patience and their help, for sticking it out with me through trying to figure this out.  We Love our Kindle Paperwhite... have had several generations over the years...this one is my favorite.",3 people found this helpful
"Kindle (2022 release) – The lightest and most compact Kindle, now with a 6” 300 ppi high-resolution display, and 2x the storage - Black",5.0,Read anytime anywhere!,"Reviewed in the United States on February 16, 2023",Color: Black | Option: Without Kindle Unlimited | Offer Type: Lockscreen Ad-Supported,True,"If you just love to read and are not a print purest when it comes to your books, get this thing.I love to read, but I absolutely loathe trying to read a printed book when there is not excellent lighting. I don't know about you, but I cannot stand it when there is a shadow over half of the page or I can't get just the right angle towards the lamp to be able to see the page correctly. I have tried reading lights that clip to my book and hang around my neck but I have never been able to get it right. I felt weird spending a lot of money on a device just to read on but I am so happy that I did.I freaking love this thing. I can read in any lighting and the page is perfectly clear. My wife loves it also because when I stay up late reading in the bed I can turn off all of the lights and not disturb her. The backlight is great. I can read outside and it looks the same as it does inside. Very little glare even in direct sunlight. I also really like that I can have the exact same text size and font no matter what book I am currently reading.The size of this kindle is great because I can slide it in my back pocket if I am somewhere out and about. I can hold it in one hand without feeling like I am holding a giant tablet that I might drop at any moment. Obviously, the touch screen and refresh rate can be a little annoying at times because they seem so out of date, but when all I am doing is reading I do not mind it 99% of the time.Finally, I love that I can turn off/on the page number and I can see how long (in minutes) it may take me to read a chapter. I hate having to close my book in the middle of a chapter because I run out of time. Now that I can see an estimate of how long it will take me to read a chapter I can gage whether I need to start the next chapter or go ahead and set the book down until later.The ads are not bothersome at all so don't worry that they may ruin the kindle in some way. They are not pop ups and are only displayed when you are not reading.If you just love to read and are not a print purest when it comes to your books, get this thing.",78 people found this helpful
"Kindle (2022 release) – The lightest and most compact Kindle, now with a 6” 300 ppi high-resolution display, and 2x the storage - Black",4.0,Great Upgrade but could be a little smaller,"Reviewed in the United States on March 4, 2023",Color: Black | Option: Without Kindle Unlimited | Offer Type: Lockscreen Ad-Supported,True,"I love when Amazon continues to support their kindle e-ink devices. And with every new e-ink release, I always pick them up. They are such a niche product that doesn’t get enough credit. They are perfect devices that remind you to be more productive in life and help you disconnect and read!The Amazon kindle 2022 version comes with a USB C port and it is long overdue! Now I can finally pack away my micro usb cables for good! The device charges quickly and the battery life is great.The operating system is the same from previous devices but with some new quality of life improvements including a dark mode. I never knew I needed dark mode and I love it.I think the biggest critique I have for this kindle is the screen size. I wish that Amazon would release a smaller e-Ink device that’s the size of an iPhone. I love the idea of a smaller, more pocket sized kindle that can fit alongside my iPhone.I feel like Amazon is getting really close to an even better device and I hope they consider it. I truly think that a smaller e-ink screen the size of an iPhone would do great.Another suggestion I have for Amazon is to look at the PlayDate device. The playdate is an amazing device. Seriously amazing. I love how animated, and pretty the playdate is and how small it is too.Imagine if the next kindle functioned like a playdate and had more animated menus and sounds and book titles were more pretty. I think there’s so much possibility there.Anyway thanks for reading my review!",11 people found this helpful
"Kindle (2022 release) – The lightest and most compact Kindle, now with a 6” 300 ppi high-resolution display, and 2x the storage - Black",5.0,Love it,"Reviewed in the United States on April 4, 2023",Color: Denim | Option: Without Kindle Unlimited | Offer Type: Lockscreen Ad-Supported,True,"I admit, I love to read.  I love the feel of a book in my hand.  That being said I have 405 books on my kindle right now and never will need to build more bookshelves.I set the pages up for white print on a dark background, easier on the eyes.  I can make the print bigger or smaller.I can go crazy and order every one of the Longmire series books, then came 2 more different series.  It's sort of like binge-watching Netflix, except I get to read it.  For me there is something about reading, over hearing, that makes my heart sing, after all I've been reading for 70 years now.",2 people found this helpful
"Kindle (2022 release) – The lightest and most compact Kindle, now with a 6” 300 ppi high-resolution display, and 2x the storage - Black",5.0,Perfect size for portability,"Reviewed in the United States on March 20, 2023",Color: Black | Option: Without Kindle Unlimited | Offer Type: Lockscreen Ad-Supported,True,"I really love the size and weight of this kindle. I have the Oasis which I have used for years now, but I bought this one because I wanted to have a kindle I could easily throw in a bag or a coat pocket. It’s perfect for that, but it’s actually much more pleasant to hold while reading than the Oasis is. That’s while using the clear case on it. It’s a little slippery and hard to grip without the case. I imagine the case with a cover would make it even easier to hold. I definitely recommend this Kindle over the Oasis and possibly the Paperwhite (which I haven’t tried) because it’s so comfortable to hold for hours at a time. I would go without the premium features of the other Kindles I mentioned just to have a Kindle that is this lightweight and small. I can only imagine how much I would love it if this little Kindle did come with those features. It would be absolutely perfect. As it is, it’s a delight.",11 people found this helpful
"Kindle (2022 release) – The lightest and most compact Kindle, now with a 6” 300 ppi high-resolution display, and 2x the storage - Black",5.0,A device with a single purpose: reading,"Reviewed in the United States on December 26, 2022",Color: Black | Option: Without Kindle Unlimited | Offer Type: Lockscreen Ad-Supported,True,"Everyone has a smartphone these days, so at this point the Kindle is for one very particular audience: people who want to read a lot of books, and read them with a minimum of distractions.  With this version, Amazon has refined the Kindle to the point where it's just about ideal for this purpose.  I've owned several previous Kindles, including an early Paperwhite, and currently own a couple of iPads, an iPhone, and a MacBook.  For the purposes of long, immersive reading sessions, this Kindle is my best option.  The battery life is long enough so that even with constant reading you only have to recharge once or twice a week (you can extend that by turning off wireless).  The Kindle also has by far the best screen for immersive reading: it's sharp and clear, with many options for different lighting conditions ranging from bright sunlight (Kindles leave tablets in the dust as far as bright-sun reading is concerned) to pitch black (the dark mode format is ideal for this).  You can choose whether to read with a vertical orientation or a horizontal one -- and this option of a horizontal orientation allows you (among other things) to read poetry on a Kindle without imposing premature line breaks.  This Kindle is also extremely light and easy to hold for hours on end (my iPad mini is too heavy for that).  And as with all Kindles, you can adjust the type size and font so that reading is comfortable for you - I love paper books, I really do, but I need bigger type.In a way, though, what's best about this Kindle is what it doesn't have.  You can't read your email.  You can't go on social media.  Amazon's Kindle browser is perpetually ""experimental"" -- good!  I pick up the Kindle when I want to read books, not when I want to lose my afternoon down an internet rabbit hole.  That said, you do get just enough of the internet to assist in your reading.  From within any book you can look up unfamiliar names/places on Wikipedia, and there's a great built-in dictionary too.  (You can download dictionaries for any language you read, and set them as your default in settings).  But apart from those features, the internet might as well be on Mars.  Fine by me. If I want to look at videos of puppies or lose my temper about politics,  I have my phone (and several other machines, unfortunately).  When I look at my Kindle, I can feel my blood pressure go down.  More to the point, I can hide my phone under a cat and read books for hours and hours.That might not be your idea of an ideal afternoon.  If it is, and you know who you are, this Kindle is pretty inexpensive and much lighter and easier to carry than tablets or physical books.  It allows you to carry thousands of books around with you and then sit and read them without distractions.  It's limited in its other functions - and that's exactly what makes it ideal.As you can probably tell from the above review, I have the patience of a gnat when it comes to content I don't want to see, and for that reason I opted for the ad-free version.  This allows me to have the lock screen be the cover of the current book I'm reading, which is extremely endearing.  That said, the version with ads does not insert ads into your books; they're not obtrusive in that way.  So you can definitely save a few bucks by getting the version with ads - it won't mess with your reading experience.",302 people found this helpful
"Kindle (2022 release) – The lightest and most compact Kindle, now with a 6” 300 ppi high-resolution display, and 2x the storage - Black",4.0,pleasantly surprised,"Reviewed in the United States on April 3, 2023",Color: Denim | Option: Without Kindle Unlimited | Offer Type: Lockscreen Ad-Supported,True,Had an OLD kindle which I loved. But it was starting to hang up and the battery life was significantly diminished. Considered every kindle offered and chose the simpliest as the one most like what I had. I the back lighting is superior and plenty bright. I confess to frustration navigating pages at times. The touch screen is so sensitive it can be over-zealous and advance too far. I'm not a fan of the home page but think I need to spend a littl more time setting it up for me. One recommendation - DO NOT pay to avoid ads! Bless the person who wrote a review and said this as I was ready to pay for no ads. They are NOT intrusive and only appear on the home screen until it wakes up - about 5 seconds. Absolutely not a problem. Recommended.,One person found this helpful
"Kindle (2022 release) – The lightest and most compact Kindle, now with a 6” 300 ppi high-resolution display, and 2x the storage - Black",5.0,Love it!,"Reviewed in the United States on March 16, 2023",Color: Denim | Option: Without Kindle Unlimited | Offer Type: Lockscreen Ad-Supported,True,"I love this kindle! I only recently got into reading as a hobby so I decided to purchase the base model and it’s a great device for a fair price. I tend to read for an hour or more most days a week and find myself charging it every 10-14 days. Great battery life. The low light/dark mode option is great for reading in bed at night so if you have someone sharing the bed with you it won’t disturb them. I haven’t used it in the bright sunlight yet so I can’t exactly speak to how legible it is in the sunlight but I’m sure it would be fine, as I keep the brightness level anywhere from 3-5 and there’s a lot more room to go up.Love the dictionary, Wikipedia, and translation features for unfamiliar words. Also like how it tells you when a lot of people have highlighted a sentence — makes you focus up because it’s probably significant!All in all I’m thrilled with my purchase. It’s a simple yet fantastic e-reader.",13 people found this helpful
